"","category","item","stim","condition","edv","gid","dyad","pid1","pid2","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT","catH","win","TREND","t","use"
"1","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",9.9112426035503,NA,0,0,0,NA,NA,0,0,NA,1,NA,0.666666666666667,1
"2","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",7.24852071005917,8.16326530612245,1,4,4,0,NA,6.12244897959184,3,NA,2,NA,1.33333333333333,1
"3","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",6.50887573964497,9.09090909090909,1,4,4,0,NA,31.8181818181818,2,NA,3,NA,2,1
"4","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",6.21301775147929,9.52380952380952,1,4,4,0,NA,66.6666666666667,2.33333333333333,NA,4,NA,2.66666666666667,1
"5","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",36.8343195266272,94.3775100401606,24,9.79166666666667,9.79166666666667,2.4554608908739,0.957313595190827,100,9.57692307692308,NA,5,NA,3.33333333333333,1
"6","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",30.6213017751479,93.2367149758454,15,12.8666666666667,12.8666666666667,2.52321095295289,0.983727396259413,100,7.96153846153846,NA,6,NA,4,1
"7","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",31.0650887573964,96.6666666666667,14,14.5,14.5,2.54003630382098,0.990287116754144,100,8.07692307692308,NA,7,NA,4.66666666666667,1
"8","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",32.6923076923077,94.5701357466063,17,12.2941176470588,12.2941176470588,2.36392110328395,0.951311834384453,97.737556561086,8.64,NA,8,NA,5.33333333333333,1
"9","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",17.0118343195266,40,9,5.11111111111111,5.11111111111111,1.21488965394912,0.876357639489852,82.6086956521739,3.51851851851852,NA,9,NA,6,1
"10","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",13.6094674556213,43.4782608695652,7,5.71428571428571,5.71428571428571,1.07899220787758,0.982141032834875,67.3913043478261,2.95238095238095,NA,10,NA,6.66666666666667,1
"11","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",6.06508875739645,NA,0,0,0,NA,NA,0,0,NA,11,NA,7.33333333333333,1
"12","narrative_order","benz","LATE_MB.mp4","end","EA","narrative_order§benz§LATE_MB.mp4§end",1,"10370290","10370446",7.54437869822485,37.2549019607843,4,4.75,4.75,0.562335144618808,0.811278124459133,39.2156862745098,3.33333333333333,NA,12,NA,8,1
