EpochTimestamp,TypeTag,AX,AY,AZ,ACC
1707824237.32646,ACC,-0.698571428571429,-0.522571428571429,0.555857142857143,1.03443709428888
1707824237.36631,ACC,-0.696,-0.524,0.552,1.03135638845164
1707824237.40616,ACC,-0.696,-0.522,0.557,1.03302904121811
1707824237.44601,ACC,-0.699,-0.526,0.55,1.03333295698918
1707824237.48672,ACC,-0.701,-0.518,0.556,1.03385734025541
1707824237.52743,ACC,-0.698,-0.529,0.552,1.03525310914771
1707824237.56797,ACC,-0.698,-0.525,0.545,1.02949210778908
1707824237.6085,ACC,-0.698,-0.524,0.547,1.03004320297743
1707824237.64904,ACC,-0.696,-0.527,0.549,1.03128366611714
1707824237.68889,ACC,-0.694,-0.524,0.551,1.02947219486492
1707824237.72875,ACC,-0.701,-0.53,0.546,1.03460958820224
1707824237.7686,ACC,-0.701,-0.517,0.555,1.03281895799796
1707824237.80828,ACC,-0.7,-0.526,0.554,1.03614284729472
1707824237.84795,ACC,-0.697,-0.525,0.55,1.03147176403429
1707824237.88781,ACC,-0.701,-0.523,0.55,1.03316504005894
1707824237.92766,ACC,-0.699,-0.526,0.551,1.03386556185995
1707824237.96751,ACC,-0.697,-0.523,0.546,1.02832582385156
1707824238.0077,ACC,-0.7,-0.524,0.547,1.03139953461304
1707824238.0479,ACC,-0.7,-0.511,0.571,1.0378641529603
1707824238.08775,ACC,-0.689,-0.528,0.555,1.03030577985373
1707824238.1276,ACC,-0.7,-0.522,0.548,1.03091609745895
1707824238.16745,ACC,-0.704,-0.523,0.552,1.03626685752271
1707824238.20799,ACC,-0.696,-0.525,0.554,1.03293610644609
1707824238.24853,ACC,-0.7,-0.524,0.547,1.03139953461304
1707824238.28906,ACC,-0.698,-0.522,0.558,1.03491642174622
1707824238.32892,ACC,-0.701,-0.521,0.554,1.03429106154892
1707824238.36877,ACC,-0.703,-0.523,0.552,1.03558775581792
1707824238.40862,ACC,-0.698,-0.522,0.55,1.03062505306246
1707824238.44881,ACC,-0.701,-0.52,0.553,1.03325214734836
