LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707824238.385943,623552.000,31768,2,AK,1,100,30947
1707824238.385943,623552.000,31768,2,AK,1,100,RD
1707824238.398311,623564.000,31771,2,AK,1,100,31769
1707824238.410679,623576.000,31771,2,AK,1,100,RD
1707824241.052185,626139.000,32607,2,AK,1,100,31769
1707824243.693691,628702.000,32607,2,AK,1,100,RD
1707824243.706574,628714.500,32610,2,AK,1,100,32608
1707824243.719456,628727.000,32610,2,AK,1,100,RD
1707824246.338289,631268.000,33372,2,AK,1,100,32608
1707824248.957121,633809.000,33372,2,AK,1,100,RD
1707824248.968458,633820.000,33375,2,AK,1,100,33373
1707824248.979795,633831.000,33375,2,AK,1,100,RD
1707824251.601204,636374.500,34212,2,AK,1,100,33373
1707824254.222612,638918.000,34212,2,AK,1,100,RD
1707824254.233949,638929.000,34215,2,AK,1,100,34213
1707824254.245286,638940.000,34215,2,AK,1,100,RD
1707824256.886792,641503.000,35050,2,AK,1,100,34213
1707824259.528298,644066.000,35050,2,AK,1,100,RD
1707824259.540666,644078.000,35053,2,AK,1,100,35051
1707824259.553034,644090.000,35053,2,AK,1,100,RD
1707824262.179595,646638.500,35874,2,AK,1,100,35051
1707824264.806157,649187.000,35874,2,AK,1,100,RD
1707824264.818010,649198.500,35877,2,AK,1,100,35875
1707824264.829862,649210.000,35877,2,AK,1,100,RD
1707824267.451786,651754.000,36714,2,AK,1,100,35875
1707824270.073710,654298.000,36714,2,AK,1,100,RD
1707824270.087624,654311.500,36717,2,AK,1,100,36715
1707824270.101537,654325.000,36717,2,AK,1,100,RD
1707824272.723977,656869.500,37551,2,AK,1,100,36715
1707824275.346416,659414.000,37551,2,AK,1,100,RD
1707824275.357753,659425.000,37554,2,AK,1,100,37552
1707824275.369090,659436.000,37554,2,AK,1,100,RD
1707824278.010081,661998.500,38342,2,AK,1,100,38340
1707824280.651071,664561.000,38342,2,AK,1,100,RD
1707824283.280725,667112.500,39119,2,AK,1,100,39117
1707824285.910379,669664.000,39119,2,AK,1,100,RD
1707824288.571982,672246.500,39967,2,AK,1,100,39965
1707824291.233586,674829.000,39967,2,AK,1,100,RD
1707824293.846234,677364.000,40790,2,AK,1,100,40788
1707824296.458883,679899.000,40790,2,AK,1,100,RD
1707824299.083383,682445.500,41609,2,AK,1,100,40788
1707824301.707884,684992.000,41609,2,AK,1,100,RD
1707824304.344752,687550.500,42445,2,AK,1,100,41610
1707824306.981621,690109.000,42445,2,AK,1,100,RD
1707824309.613851,692663.000,43251,2,AK,1,100,42446
1707824312.246081,695217.000,43251,2,AK,1,100,RD
1707824314.879858,697772.500,43996,2,AK,1,100,43252
1707824317.513634,700328.000,43996,2,AK,1,100,RD
1707824320.159778,702895.500,44836,2,AK,1,100,43997
1707824322.805922,705463.000,44836,2,AK,1,100,RD
1707824322.818289,705475.000,44839,2,AK,1,100,44837
1707824322.830657,705487.000,44839,2,AK,1,100,RD
