LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1707824237.722217,622908.000,31682,1,B%,1,100, 2
1707824242.704285,627742.000,32471,1,B%,1,100, 1
1707824247.696660,632586.000,33204,1,B%,1,100, 1
1707824252.673575,637415.000,33978,1,B%,1,100, 1
1707824257.672133,642265.000,34781,1,B%,1,100, 1
1707824262.650078,647095.000,35537,1,B%,1,100, 1
1707824267.642453,651939.000,36344,1,B%,1,100, 2
1707824272.626582,656775.000,37136,1,B%,1,100, 1
1707824277.612773,661613.000,37906,1,B%,1,100, 1
1707824282.596902,666449.000,38598,1,B%,1,100, 1
1707824287.585154,671289.000,39407,1,B%,1,100, 0
1707824292.569283,676125.000,40204,1,B%,1,100, 0
1707824297.555474,680963.000,40977,1,B%,1,100, 2
1707824302.541664,685801.000,41744,1,B%,1,100, 1
1707824307.523732,690635.000,42548,1,B%,1,100, 1
1707824312.503739,695467.000,43305,1,B%,1,100, 0
1707824317.490960,700306.000,44018,1,B%,1,100, 0
1707824322.473028,705140.000,44803,1,B%,1,100, 0
1707824327.458188,709977.000,45591,1,B%,1,100, 0
1707824332.441287,714812.000,46349,1,B%,1,100, 1
1707824337.426447,719649.000,47140,1,B%,1,100, 0
1707824342.413668,724488.000,47928,1,B%,1,100, 0
1707824347.400889,729327.000,48702,1,B%,1,100, 0
1707824352.383988,734162.000,49429,1,B%,1,100, 0
1707824357.374301,739004.000,50217,1,B%,1,100, 0
1707824362.352247,743834.000,51007,1,B%,1,100, 1
1707824367.336376,748670.000,51780,1,B%,1,100, 4
1707824372.317413,753503.000,52555,1,B%,1,100, 0
1707824377.302573,758340.000,53360,1,B%,1,100, 0
1707824382.285672,763175.000,54093,1,B%,1,100, 2
1707824387.267740,768009.000,54802,1,B%,1,100, 2
1707824392.251869,772845.000,55573,1,B%,1,100, 0
1707824397.234968,777680.000,56366,1,B%,1,100, 1
1707824402.217036,782514.000,57141,1,B%,1,100, 1
1707824407.209410,787358.000,57950,1,B%,1,100, 0
1707824412.183233,792184.000,58718,1,B%,1,100, 0
1707824417.175608,797028.000,59457,1,B%,1,100, 1
1707824422.153553,801858.000,60157,1,B%,1,100, 0
1707824427.142836,806699.000,60941,1,B%,1,100, 0
1707824432.127996,811536.000,61736,1,B%,1,100, 0
1707824437.105941,816366.000,62494,1,B%,1,100, 0
1707824442.096254,821208.000,63286,1,B%,1,100, 0
1707824447.079353,826043.000,64073,1,B%,1,100, 0
1707824452.064513,830880.000,64805,1,B%,1,100, 0
1707824457.049673,835717.000,65517,1,B%,1,100, 2
1707824462.029680,840549.000,771,1,B%,1,100, 0
1707824467.015870,845387.000,1560,1,B%,1,100, 0
1707824471.998969,850222.000,2349,1,B%,1,100, 0
1707824476.982068,855057.000,3154,1,B%,1,100, 0
1707824481.966197,859893.000,3946,1,B%,1,100, 1
1707824486.952387,864731.000,4676,1,B%,1,100, 2
1707824491.934455,869565.000,5418,1,B%,1,100, 0
