LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1707824237.297598,622496,31597,1,BI,1,100,800
1707824238.032437,623209,31716,1,BI,1,100,720
1707824238.914657,624065,31854,1,BI,1,100,880
1707824239.665987,624794,31986,1,BI,1,100,760
1707824240.499767,625603,32121,1,BI,1,100,840
1707824241.354159,626432,32253,1,BI,1,100,840
1707824242.153929,627208,32369,1,BI,1,100,800
1707824242.949575,627980,32506,1,BI,1,100,800
1707824243.829734,628834,32628,1,BI,1,100,880
1707824244.682065,629661,32763,1,BI,1,100,840
1707824245.513784,630468,32896,1,BI,1,100,840
1707824246.393943,631322,33030,1,BI,1,100,880
1707824247.229784,632133,33149,1,BI,1,100,840
1707824248.126433,633003,33236,1,BI,1,100,880
1707824248.959182,633811,33376,1,BI,1,100,840
1707824249.834187,634660,33511,1,BI,1,100,880
1707824250.709193,635509,33643,1,BI,1,100,880
1707824251.603780,636377,33793,1,BI,1,100,880
1707824252.482908,637230,33926,1,BI,1,100,880
1707824253.320811,638043,34060,1,BI,1,100,840
1707824254.161805,638859,34195,1,BI,1,100,840
1707824255.053301,639724,34347,1,BI,1,100,880
1707824255.889142,640535,34479,1,BI,1,100,840
1707824256.729106,641350,34614,1,BI,1,100,840
1707824257.613387,642208,34746,1,BI,1,100,880
1707824258.461596,643031,34881,1,BI,1,100,840
1707824259.292284,643837,35015,1,BI,1,100,840
1707824260.166259,644685,35154,1,BI,1,100,880
1707824261.057754,645550,35287,1,BI,1,100,880
1707824261.936882,646403,35420,1,BI,1,100,880
1707824262.817040,647257,35556,1,BI,1,100,880
1707824263.694107,648108,35688,1,BI,1,100,880
1707824264.543347,648932,35837,1,BI,1,100,840
1707824265.422474,649785,35960,1,BI,1,100,880
1707824266.302633,650639,36109,1,BI,1,100,880
1707824267.140536,651452,36244,1,BI,1,100,840
1707824268.033062,652318,36378,1,BI,1,100,880
1707824268.907036,653166,36528,1,BI,1,100,880
1707824269.820175,654052,36677,1,BI,1,100,920
1707824270.660139,654867,36800,1,BI,1,100,840
1707824271.555757,655736,36950,1,BI,1,100,880
1707824272.357587,656514,37067,1,BI,1,100,800
1707824273.227440,657358,37219,1,BI,1,100,880
1707824274.024117,658131,37334,1,BI,1,100,800
1707824274.876448,658958,37484,1,BI,1,100,840
1707824275.714351,659771,37605,1,BI,1,100,840
1707824276.511028,660544,37721,1,BI,1,100,800
1707824277.393248,661400,37855,1,BI,1,100,880
1707824278.240427,662222,37990,1,BI,1,100,840
1707824279.120585,663076,38107,1,BI,1,100,880
1707824279.995590,663925,38239,1,BI,1,100,880
1707824280.878841,664782,38377,1,BI,1,100,880
1707824281.771367,665648,38448,1,BI,1,100,880
1707824282.641219,666492,38600,1,BI,1,100,880
1707824283.518286,667343,38735,1,BI,1,100,880
1707824284.328361,668129,38867,1,BI,1,100,800
1707824285.166264,668942,39000,1,BI,1,100,840
1707824285.965002,669717,39120,1,BI,1,100,800
1707824286.765802,670494,39253,1,BI,1,100,800
1707824287.577939,671282,39386,1,BI,1,100,800
1707824288.377709,672058,39513,1,BI,1,100,800
1707824289.291878,672945,39664,1,BI,1,100,920
1707824290.214292,673840,39816,1,BI,1,100,920
1707824291.101665,674701,39969,1,BI,1,100,880
1707824292.017896,675590,40103,1,BI,1,100,920
1707824292.933096,676478,40237,1,BI,1,100,920
1707824293.846234,677364,40388,1,BI,1,100,920
1707824294.781016,678271,40538,1,BI,1,100,920
1707824295.698277,679161,40687,1,BI,1,100,920
1707824296.656764,680091,40826,1,BI,1,100,960
1707824297.548259,680956,40958,1,BI,1,100,880
1707824298.427387,681809,41093,1,BI,1,100,880
1707824299.345679,682700,41225,1,BI,1,100,920
1707824300.305196,683631,41392,1,BI,1,100,960
1707824301.234825,684533,41540,1,BI,1,100,920
1707824302.151055,685422,41676,1,BI,1,100,920
1707824303.061102,686305,41828,1,BI,1,100,920
1707824303.952597,687170,41961,1,BI,1,100,880
1707824304.875012,688065,42110,1,BI,1,100,920
1707824305.789181,688952,42261,1,BI,1,100,920
1707824306.670370,689807,42394,1,BI,1,100,880
1707824307.557743,690668,42530,1,BI,1,100,880
1707824308.438932,691523,42665,1,BI,1,100,880
1707824309.312907,692371,42815,1,BI,1,100,880
1707824310.232229,693263,42963,1,BI,1,100,920
1707824311.157735,694161,43096,1,BI,1,100,920
1707824312.035833,695013,43215,1,BI,1,100,880
1707824312.951033,695901,43355,1,BI,1,100,920
1707824313.883753,696806,43489,1,BI,1,100,920
1707824314.806168,697701,43624,1,BI,1,100,920
1707824315.753317,698620,43744,1,BI,1,100,960
1707824316.632445,699473,43862,1,BI,1,100,880
1707824317.565166,700378,43998,1,BI,1,100,920
1707824318.404099,701192,44133,1,BI,1,100,840
1707824319.359493,702119,44283,1,BI,1,100,960
1707824320.172661,702908,44417,1,BI,1,100,800
1707824320.929144,703642,44533,1,BI,1,100,760
1707824321.644401,704336,44651,1,BI,1,100,720
1707824322.400884,705070,44766,1,BI,1,100,760
1707824323.278981,705922,44907,1,BI,1,100,880
1707824324.134405,706752,45039,1,BI,1,100,840
1707824324.974369,707567,45173,1,BI,1,100,840
1707824325.806087,708374,45306,1,BI,1,100,840
1707824326.651204,709194,45439,1,BI,1,100,840
1707824327.492199,710010,45571,1,BI,1,100,840
1707824328.330102,710823,45699,1,BI,1,100,840
1707824329.168004,711636,45831,1,BI,1,100,840
1707824330.015183,712458,45966,1,BI,1,100,840
1707824330.851024,713269,46099,1,BI,1,100,840
1707824331.692018,714085,46216,1,BI,1,100,840
1707824332.564963,714932,46368,1,BI,1,100,880
1707824333.421416,715763,46490,1,BI,1,100,840
1707824334.298483,716614,46640,1,BI,1,100,880
1707824335.214714,717503,46773,1,BI,1,100,920
1707824336.098995,718361,46923,1,BI,1,100,880
1707824336.942050,719179,47056,1,BI,1,100,840
1707824337.819117,720030,47190,1,BI,1,100,880
1707824338.659081,720845,47329,1,BI,1,100,840
