LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1707824237.722217,622908.000,31681,1,BV,1,100,3.57
1707824242.704285,627742.000,32470,1,BV,1,100,3.57
1707824247.696660,632586.000,33203,1,BV,1,100,3.57
1707824252.673575,637415.000,33977,1,BV,1,100,3.57
1707824257.672133,642265.000,34780,1,BV,1,100,3.57
1707824262.650078,647095.000,35536,1,BV,1,100,3.57
1707824267.642453,651939.000,36343,1,BV,1,100,3.57
1707824272.626582,656775.000,37135,1,BV,1,100,3.57
1707824277.612773,661613.000,37905,1,BV,1,100,3.57
1707824282.596902,666449.000,38597,1,BV,1,100,3.57
1707824287.585154,671289.000,39406,1,BV,1,100,3.55
1707824292.569283,676125.000,40203,1,BV,1,100,3.55
1707824297.555474,680963.000,40976,1,BV,1,100,3.56
1707824302.541664,685801.000,41743,1,BV,1,100,3.55
1707824307.523732,690635.000,42547,1,BV,1,100,3.56
1707824312.503739,695467.000,43304,1,BV,1,100,3.55
1707824317.490960,700306.000,44017,1,BV,1,100,3.55
1707824322.473028,705140.000,44802,1,BV,1,100,3.55
1707824327.458188,709977.000,45590,1,BV,1,100,3.55
1707824332.441287,714812.000,46348,1,BV,1,100,3.55
1707824337.426447,719649.000,47139,1,BV,1,100,3.54
1707824342.413668,724488.000,47927,1,BV,1,100,3.55
1707824347.400889,729327.000,48701,1,BV,1,100,3.55
1707824352.383988,734162.000,49428,1,BV,1,100,3.55
1707824357.374301,739004.000,50216,1,BV,1,100,3.56
1707824362.352247,743834.000,51006,1,BV,1,100,3.56
1707824367.336376,748670.000,51779,1,BV,1,100,3.58
1707824372.317413,753503.000,52554,1,BV,1,100,3.56
1707824377.302573,758340.000,53359,1,BV,1,100,3.57
1707824382.285672,763175.000,54092,1,BV,1,100,3.56
1707824387.267740,768009.000,54801,1,BV,1,100,3.55
1707824392.251869,772845.000,55572,1,BV,1,100,3.56
1707824397.234968,777680.000,56365,1,BV,1,100,3.56
1707824402.217036,782514.000,57140,1,BV,1,100,3.56
1707824407.209410,787358.000,57949,1,BV,1,100,3.55
1707824412.183233,792184.000,58717,1,BV,1,100,3.55
1707824417.175608,797028.000,59456,1,BV,1,100,3.56
1707824422.153553,801858.000,60156,1,BV,1,100,3.55
1707824427.142836,806699.000,60940,1,BV,1,100,3.55
1707824432.127996,811536.000,61735,1,BV,1,100,3.55
1707824437.105941,816366.000,62493,1,BV,1,100,3.53
1707824442.096254,821208.000,63285,1,BV,1,100,3.55
1707824447.079353,826043.000,64072,1,BV,1,100,3.54
1707824452.064513,830880.000,64804,1,BV,1,100,3.55
1707824457.049673,835717.000,65516,1,BV,1,100,3.56
1707824462.029680,840549.000,770,1,BV,1,100,3.55
1707824467.015870,845387.000,1559,1,BV,1,100,3.54
1707824471.998969,850222.000,2348,1,BV,1,100,3.54
1707824476.982068,855057.000,3153,1,BV,1,100,3.56
1707824481.966197,859893.000,3945,1,BV,1,100,3.56
1707824486.952387,864731.000,4675,1,BV,1,100,3.56
1707824491.934455,869565.000,5417,1,BV,1,100,3.55
