LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1707824237.287291,622486.000,31602,1,EA,1,100,4.210225
1707824237.353252,622550.000,31619,2,EA,1,100,4.194877
1707824237.419212,622614.000,31619,2,EA,1,100,4.207656
1707824237.486718,622679.500,31636,2,EA,1,100,4.189816
1707824237.554225,622745.000,31636,2,EA,1,100,4.177145
1707824237.622246,622811.000,31652,1,EA,1,100,4.197448
1707824237.688722,622875.500,31668,2,EA,1,100,4.202546
1707824237.755197,622940.000,31668,2,EA,1,100,4.182193
1707824237.822188,623005.000,31686,1,EA,1,100,4.207656
1707824237.888664,623069.500,31703,2,EA,1,100,4.207656
1707824237.955140,623134.000,31703,2,EA,1,100,4.182193
1707824238.020070,623197.000,31721,1,EA,1,100,4.194877
1707824238.086545,623261.500,31738,2,EA,1,100,4.177145
1707824238.153021,623326.000,31738,2,EA,1,100,4.169568
1707824238.222073,623393.000,31753,1,EA,1,100,4.199986
1707824238.289064,623458.000,31775,2,EA,1,100,4.172108
1707824238.356055,623523.000,31775,2,EA,1,100,4.167066
1707824238.422531,623587.500,31792,2,EA,1,100,4.187254
1707824238.489006,623652.000,31792,2,EA,1,100,4.205108
1707824238.554967,623716.000,31809,1,EA,1,100,4.177145
1707824238.620927,623780.000,31824,2,EA,1,100,4.184731
1707824238.686888,623844.000,31824,2,EA,1,100,4.199986
1707824238.753878,623909.000,31841,2,EA,1,100,4.182193
1707824238.820869,623974.000,31841,2,EA,1,100,4.189816
1707824238.888891,624040.000,31859,1,EA,1,100,4.194877
1707824238.955367,624104.500,31876,2,EA,1,100,4.184731
1707824239.021842,624169.000,31876,2,EA,1,100,4.192345
1707824239.086772,624232.000,31893,1,EA,1,100,4.199986
1707824239.153248,624296.500,31908,2,EA,1,100,4.167066
1707824239.219723,624361.000,31908,2,EA,1,100,4.172108
1707824239.286714,624426.000,31924,1,EA,1,100,4.192345
1707824239.351644,624489.000,31942,2,EA,1,100,4.184731
1707824239.416574,624552.000,31942,2,EA,1,100,4.187254
1707824239.483050,624616.500,31958,2,EA,1,100,4.189816
1707824239.549525,624681.000,31958,2,EA,1,100,4.159544
1707824239.615486,624745.000,31975,1,EA,1,100,4.167066
1707824239.681961,624809.500,31992,2,EA,1,100,4.194877
1707824239.748437,624874.000,31992,2,EA,1,100,4.172108
1707824239.814397,624938.000,32009,1,EA,1,100,4.172108
1707824239.880873,625002.500,32025,2,EA,1,100,4.184731
1707824239.947349,625067.000,32025,2,EA,1,100,4.162036
1707824240.012278,625130.000,32042,1,EA,1,100,4.162036
1707824240.078754,625194.500,32058,2,EA,1,100,4.177145
1707824240.145230,625259.000,32058,2,EA,1,100,4.152048
1707824240.211190,625323.000,32074,2,EA,1,100,4.164567
1707824240.277150,625387.000,32074,2,EA,1,100,4.174616
1707824240.345172,625453.000,32090,1,EA,1,100,4.154549
1707824240.411132,625517.000,32108,2,EA,1,100,4.152048
1707824240.477093,625581.000,32108,2,EA,1,100,4.179676
1707824240.543053,625645.000,32126,1,EA,1,100,4.159544
1707824240.609013,625709.000,32141,2,EA,1,100,4.159544
1707824240.674974,625773.000,32141,2,EA,1,100,4.182193
1707824240.741965,625838.000,32158,1,EA,1,100,4.159544
1707824240.807925,625902.000,32175,2,EA,1,100,4.149550
1707824240.873886,625966.000,32175,2,EA,1,100,4.169568
1707824240.940361,626030.500,32191,2,EA,1,100,4.152048
1707824241.006837,626095.000,32191,2,EA,1,100,4.142090
1707824241.074858,626161.000,32209,1,EA,1,100,4.177145
1707824241.142365,626226.500,32223,2,EA,1,100,4.159544
1707824241.209871,626292.000,32223,2,EA,1,100,4.149550
1707824241.276862,626357.000,32240,1,EA,1,100,4.179676
1707824241.342822,626421.000,32259,2,EA,1,100,4.162036
1707824241.408783,626485.000,32259,2,EA,1,100,4.139621
1707824241.473712,626548.000,32276,1,EA,1,100,4.154549
1707824241.540188,626612.500,32290,2,EA,1,100,4.154549
1707824241.606664,626677.000,32290,2,EA,1,100,4.134657
1707824241.675716,626744.000,32307,1,EA,1,100,4.172108
1707824241.743222,626809.500,32324,2,EA,1,100,4.159544
1707824241.810729,626875.000,32324,2,EA,1,100,4.152048
1707824241.877204,626939.500,32341,2,EA,1,100,4.172108
1707824241.943680,627004.000,32341,2,EA,1,100,4.172108
1707824242.008610,627067.000,32357,1,EA,1,100,4.132180
1707824242.074570,627131.000,32375,2,EA,1,100,4.167066
1707824242.140530,627195.000,32375,2,EA,1,100,4.162036
1707824242.208552,627261.000,32391,1,EA,1,100,4.144562
1707824242.275028,627325.500,32408,2,EA,1,100,4.159544
1707824242.341503,627390.000,32408,2,EA,1,100,4.179676
1707824242.407979,627454.500,32425,2,EA,1,100,4.157036
1707824242.474455,627519.000,32425,2,EA,1,100,4.174616
1707824242.540930,627583.500,32442,2,EA,1,100,4.167066
1707824242.607406,627648.000,32442,2,EA,1,100,4.132180
