LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1707824237.261525,622461.000,31596,4,EM,1,100,RS
1707824237.261525,622461.000,31596,4,EM,1,100,RB
1707824237.261525,622461.000,31596,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824237.261525,622461.000,31596,4,EM,1,100,PS
1707824237.322333,622520.000,31632,4,EM,1,100,RS
1707824237.383140,622579.000,31632,4,EM,1,100,RB
1707824237.443947,622638.000,31632,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824237.504754,622697.000,31632,4,EM,1,100,PS
1707824237.556543,622747.250,31663,4,EM,1,100,RS
1707824237.608333,622797.500,31663,4,EM,1,100,RB
1707824237.660122,622847.750,31663,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824237.711911,622898.000,31663,4,EM,1,100,PS
1707824237.763700,622948.250,31699,4,EM,1,100,RS
1707824237.815489,622998.500,31699,4,EM,1,100,RB
1707824237.867279,623048.750,31699,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824237.919068,623099.000,31699,4,EM,1,100,PS
1707824237.972403,623150.750,31733,4,EM,1,100,RS
1707824238.025738,623202.500,31733,4,EM,1,100,RB
1707824238.079073,623254.250,31733,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824238.132408,623306.000,31733,4,EM,1,100,PS
1707824238.184197,623356.250,31766,4,EM,1,100,RS
1707824238.235987,623406.500,31766,4,EM,1,100,RB
1707824238.287776,623456.750,31766,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824238.339565,623507.000,31766,4,EM,1,100,PS
1707824238.402691,623568.250,31805,4,EM,1,100,RS
1707824238.465817,623629.500,31805,4,EM,1,100,RB
1707824238.528943,623690.750,31805,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824238.592069,623752.000,31805,4,EM,1,100,PS
1707824238.643859,623802.250,31836,4,EM,1,100,RS
1707824238.695648,623852.500,31836,4,EM,1,100,RB
1707824238.747437,623902.750,31836,4,EM,1,100,2024-02-13_11-37-17-064291.csv
1707824238.799226,623953.000,31836,4,EM,1,100,PS
1707824238.851015,624003.250,31872,4,EM,1,100,RS
1707824238.902805,624053.500,31872,4,EM,1,100,RB
