LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1707824237.326455,622524.000,31610,7,GY,1,100,-2.838
1707824237.326455,622524.000,31610,7,GY,1,100,-4.883
1707824237.326455,622524.000,31610,7,GY,1,100,-4.517
1707824237.326455,622524.000,31610,7,GY,1,100,-3.143
1707824237.326455,622524.000,31610,7,GY,1,100,-1.434
1707824237.326455,622524.000,31610,7,GY,1,100,0.397
1707824237.326455,622524.000,31610,7,GY,1,100,1.434
1707824237.366306,622562.667,31627,3,GY,1,100,1.312
1707824237.406157,622601.333,31627,3,GY,1,100,0.519
1707824237.446008,622640.000,31627,3,GY,1,100,0.854
1707824237.486718,622679.500,31644,2,GY,1,100,0.458
1707824237.527428,622719.000,31644,2,GY,1,100,0.183
1707824237.567966,622758.333,31658,3,GY,1,100,0.885
1707824237.608504,622797.667,31658,3,GY,1,100,0.580
1707824237.649043,622837.000,31658,3,GY,1,100,-0.519
1707824237.688894,622875.667,31676,3,GY,1,100,-0.488
1707824237.728745,622914.333,31676,3,GY,1,100,0.183
1707824237.768596,622953.000,31676,3,GY,1,100,-0.641
1707824237.808275,622991.500,31694,2,GY,1,100,-0.702
1707824237.847954,623030.000,31694,2,GY,1,100,0.336
1707824237.887805,623068.667,31711,3,GY,1,100,0.214
1707824237.927656,623107.333,31711,3,GY,1,100,-0.763
1707824237.967507,623146.000,31711,3,GY,1,100,-0.702
1707824238.007702,623185.000,31728,2,GY,1,100,-1.007
1707824238.047897,623224.000,31728,2,GY,1,100,-2.350
1707824238.087748,623262.667,31745,3,GY,1,100,-1.923
1707824238.127599,623301.333,31745,3,GY,1,100,1.343
1707824238.167450,623340.000,31745,3,GY,1,100,1.343
1707824238.207988,623379.333,31761,3,GY,1,100,-1.282
1707824238.248526,623418.667,31761,3,GY,1,100,-1.404
1707824238.289064,623458.000,31761,3,GY,1,100,-0.854
1707824238.328915,623496.667,31783,3,GY,1,100,-0.916
1707824238.368766,623535.333,31783,3,GY,1,100,-0.183
1707824238.408617,623574.000,31783,3,GY,1,100,0.092
1707824238.448812,623613.000,31800,2,GY,1,100,0.092
1707824238.489006,623652.000,31800,2,GY,1,100,-0.336
1707824238.528857,623690.667,31816,3,GY,1,100,0.000
1707824238.568709,623729.333,31816,3,GY,1,100,2.350
1707824238.608560,623768.000,31816,3,GY,1,100,5.463
1707824238.647724,623806.000,31831,3,GY,1,100,3.021
1707824238.686888,623844.000,31831,3,GY,1,100,-3.235
1707824238.726051,623882.000,31831,3,GY,1,100,-3.632
1707824238.766761,623921.500,31849,2,GY,1,100,-2.380
1707824238.807471,623961.000,31849,2,GY,1,100,-3.143
1707824238.847666,624000.000,31867,3,GY,1,100,-1.190
1707824238.887860,624039.000,31867,3,GY,1,100,0.488
1707824238.928055,624078.000,31867,3,GY,1,100,0.305
1707824238.963440,624112.333,31884,3,GY,1,100,-0.458
1707824238.998825,624146.667,31884,3,GY,1,100,-0.977
1707824239.034210,624181.000,31884,3,GY,1,100,-0.153
1707824239.074405,624220.000,31899,2,GY,1,100,-0.610
1707824239.114599,624259.000,31899,2,GY,1,100,-1.190
1707824239.154450,624297.667,31916,3,GY,1,100,-0.214
1707824239.194301,624336.333,31916,3,GY,1,100,-0.122
1707824239.234152,624375.000,31916,3,GY,1,100,-0.427
1707824239.272973,624412.667,31932,3,GY,1,100,-0.275
1707824239.311793,624450.333,31932,3,GY,1,100,-0.580
1707824239.350614,624488.000,31932,3,GY,1,100,-0.488
1707824239.389778,624526.000,31950,2,GY,1,100,-0.122
1707824239.428941,624564.000,31950,2,GY,1,100,-0.641
1707824239.469136,624603.000,31966,3,GY,1,100,-0.275
1707824239.509331,624642.000,31966,3,GY,1,100,-0.122
1707824239.549525,624681.000,31966,3,GY,1,100,-0.427
1707824239.589205,624719.500,31981,2,GY,1,100,-0.305
1707824239.628884,624758.000,31981,2,GY,1,100,-0.458
1707824239.668735,624796.667,32000,3,GY,1,100,-0.397
1707824239.708586,624835.333,32000,3,GY,1,100,-0.549
1707824239.748437,624874.000,32000,3,GY,1,100,-0.427
1707824239.788288,624912.667,32017,3,GY,1,100,-0.641
1707824239.828139,624951.333,32017,3,GY,1,100,-0.580
1707824239.867990,624990.000,32017,3,GY,1,100,-0.397
1707824239.907669,625028.500,32033,2,GY,1,100,-0.793
1707824239.947349,625067.000,32033,2,GY,1,100,-0.702
1707824239.986856,625105.333,32049,3,GY,1,100,-0.549
1707824240.026364,625143.667,32049,3,GY,1,100,0.000
1707824240.065871,625182.000,32049,3,GY,1,100,0.214
1707824240.105550,625220.500,32065,2,GY,1,100,0.214
1707824240.145230,625259.000,32065,2,GY,1,100,-0.336
1707824240.185081,625297.667,32082,3,GY,1,100,-0.244
1707824240.224932,625336.333,32082,3,GY,1,100,-0.153
1707824240.264783,625375.000,32082,3,GY,1,100,-0.427
1707824240.304634,625413.667,32098,3,GY,1,100,-0.244
1707824240.344485,625452.333,32098,3,GY,1,100,-0.336
