LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707824237.326455,622524.000,31611,7,GZ,1,100,1.617
1707824237.326455,622524.000,31611,7,GZ,1,100,1.495
1707824237.326455,622524.000,31611,7,GZ,1,100,-2.289
1707824237.326455,622524.000,31611,7,GZ,1,100,-1.953
1707824237.326455,622524.000,31611,7,GZ,1,100,-0.092
1707824237.326455,622524.000,31611,7,GZ,1,100,0.397
1707824237.326455,622524.000,31611,7,GZ,1,100,0.153
1707824237.366306,622562.667,31628,3,GZ,1,100,0.031
1707824237.406157,622601.333,31628,3,GZ,1,100,-0.031
1707824237.446008,622640.000,31628,3,GZ,1,100,-0.244
1707824237.486718,622679.500,31645,2,GZ,1,100,-0.153
1707824237.527428,622719.000,31645,2,GZ,1,100,-0.214
1707824237.567966,622758.333,31659,3,GZ,1,100,-0.488
1707824237.608504,622797.667,31659,3,GZ,1,100,-0.275
1707824237.649043,622837.000,31659,3,GZ,1,100,-0.214
1707824237.688894,622875.667,31677,3,GZ,1,100,-0.244
1707824237.728745,622914.333,31677,3,GZ,1,100,-0.366
1707824237.768596,622953.000,31677,3,GZ,1,100,0.153
1707824237.808275,622991.500,31695,2,GZ,1,100,-0.092
1707824237.847954,623030.000,31695,2,GZ,1,100,-0.305
1707824237.887805,623068.667,31712,3,GZ,1,100,-0.031
1707824237.927656,623107.333,31712,3,GZ,1,100,0.153
1707824237.967507,623146.000,31712,3,GZ,1,100,0.488
1707824238.007702,623185.000,31729,2,GZ,1,100,0.824
1707824238.047897,623224.000,31729,2,GZ,1,100,1.434
1707824238.087748,623262.667,31746,3,GZ,1,100,1.617
1707824238.127599,623301.333,31746,3,GZ,1,100,-0.427
1707824238.167450,623340.000,31746,3,GZ,1,100,-0.427
1707824238.207988,623379.333,31762,3,GZ,1,100,-0.763
1707824238.248526,623418.667,31762,3,GZ,1,100,-0.488
1707824238.289064,623458.000,31762,3,GZ,1,100,-0.214
1707824238.328915,623496.667,31784,3,GZ,1,100,-0.305
1707824238.368766,623535.333,31784,3,GZ,1,100,0.031
1707824238.408617,623574.000,31784,3,GZ,1,100,0.000
1707824238.448812,623613.000,31801,2,GZ,1,100,-0.305
1707824238.489006,623652.000,31801,2,GZ,1,100,-0.549
1707824238.528857,623690.667,31817,3,GZ,1,100,-1.038
1707824238.568709,623729.333,31817,3,GZ,1,100,-3.357
1707824238.608560,623768.000,31817,3,GZ,1,100,-6.256
1707824238.647724,623806.000,31832,3,GZ,1,100,-4.364
1707824238.686888,623844.000,31832,3,GZ,1,100,-1.587
1707824238.726051,623882.000,31832,3,GZ,1,100,-0.244
1707824238.766761,623921.500,31850,2,GZ,1,100,0.763
1707824238.807471,623961.000,31850,2,GZ,1,100,2.777
1707824238.847666,624000.000,31868,3,GZ,1,100,1.923
1707824238.887860,624039.000,31868,3,GZ,1,100,-0.336
1707824238.928055,624078.000,31868,3,GZ,1,100,-0.946
1707824238.963440,624112.333,31885,3,GZ,1,100,-0.732
1707824238.998825,624146.667,31885,3,GZ,1,100,-0.214
1707824239.034210,624181.000,31885,3,GZ,1,100,-0.275
1707824239.074405,624220.000,31900,2,GZ,1,100,-0.122
1707824239.114599,624259.000,31900,2,GZ,1,100,-0.153
1707824239.154450,624297.667,31917,3,GZ,1,100,-0.183
1707824239.194301,624336.333,31917,3,GZ,1,100,-0.031
1707824239.234152,624375.000,31917,3,GZ,1,100,-0.122
1707824239.272973,624412.667,31933,3,GZ,1,100,-0.061
1707824239.311793,624450.333,31933,3,GZ,1,100,0.031
1707824239.350614,624488.000,31933,3,GZ,1,100,-0.122
1707824239.389778,624526.000,31951,2,GZ,1,100,0.122
1707824239.428941,624564.000,31951,2,GZ,1,100,-0.061
1707824239.469136,624603.000,31967,3,GZ,1,100,-0.305
1707824239.509331,624642.000,31967,3,GZ,1,100,0.092
1707824239.549525,624681.000,31967,3,GZ,1,100,-0.275
1707824239.589205,624719.500,31982,2,GZ,1,100,-0.610
1707824239.628884,624758.000,31982,2,GZ,1,100,-0.153
1707824239.668735,624796.667,32001,3,GZ,1,100,-0.214
1707824239.708586,624835.333,32001,3,GZ,1,100,-0.122
1707824239.748437,624874.000,32001,3,GZ,1,100,-0.122
1707824239.788288,624912.667,32018,3,GZ,1,100,-0.153
1707824239.828139,624951.333,32018,3,GZ,1,100,-0.183
1707824239.867990,624990.000,32018,3,GZ,1,100,-0.031
1707824239.907669,625028.500,32034,2,GZ,1,100,-0.031
1707824239.947349,625067.000,32034,2,GZ,1,100,-0.031
1707824239.986856,625105.333,32050,3,GZ,1,100,-0.122
1707824240.026364,625143.667,32050,3,GZ,1,100,-0.153
1707824240.065871,625182.000,32050,3,GZ,1,100,-0.275
1707824240.105550,625220.500,32066,2,GZ,1,100,-0.275
1707824240.145230,625259.000,32066,2,GZ,1,100,-0.244
1707824240.185081,625297.667,32083,3,GZ,1,100,-0.336
1707824240.224932,625336.333,32083,3,GZ,1,100,-0.214
1707824240.264783,625375.000,32083,3,GZ,1,100,-0.244
1707824240.304634,625413.667,32099,3,GZ,1,100,-0.153
1707824240.344485,625452.333,32099,3,GZ,1,100,-0.153
1707824240.384336,625491.000,32099,3,GZ,1,100,-0.275
1707824240.424531,625530.000,32117,2,GZ,1,100,-0.244
1707824240.464725,625569.000,32117,2,GZ,1,100,-0.244
1707824240.503889,625607.000,32133,3,GZ,1,100,-0.275
1707824240.543053,625645.000,32133,3,GZ,1,100,-0.244
1707824240.582217,625683.000,32133,3,GZ,1,100,-0.275
1707824240.622068,625721.667,32150,3,GZ,1,100,-0.183
1707824240.661919,625760.333,32150,3,GZ,1,100,-0.031
1707824240.701770,625799.000,32150,3,GZ,1,100,-0.214
1707824240.741449,625837.500,32167,2,GZ,1,100,-0.183
1707824240.781129,625876.000,32167,2,GZ,1,100,-0.183
1707824240.820980,625914.667,32184,3,GZ,1,100,-0.122
1707824240.860831,625953.333,32184,3,GZ,1,100,-0.122
1707824240.900682,625992.000,32184,3,GZ,1,100,-0.305
1707824240.940877,626031.000,32200,2,GZ,1,100,-0.336
1707824240.981071,626070.000,32200,2,GZ,1,100,-0.244
1707824241.021609,626109.333,32216,3,GZ,1,100,-0.092
1707824241.062147,626148.667,32216,3,GZ,1,100,-0.275
1707824241.102686,626188.000,32216,3,GZ,1,100,-0.122
1707824241.142880,626227.000,32232,3,GZ,1,100,-0.183
1707824241.183075,626266.000,32232,3,GZ,1,100,-0.153
1707824241.223269,626305.000,32232,3,GZ,1,100,-0.153
1707824241.262949,626343.500,32249,2,GZ,1,100,0.061
1707824241.302628,626382.000,32249,2,GZ,1,100,0.244
1707824241.342135,626420.333,32268,3,GZ,1,100,-0.153
1707824241.381643,626458.667,32268,3,GZ,1,100,-0.275
1707824241.421150,626497.000,32268,3,GZ,1,100,-0.092
1707824241.461345,626536.000,32283,2,GZ,1,100,0.031
1707824241.501540,626575.000,32283,2,GZ,1,100,-0.275
1707824241.541391,626613.667,32299,3,GZ,1,100,-0.305
1707824241.581242,626652.333,32299,3,GZ,1,100,-0.488
1707824241.621093,626691.000,32299,3,GZ,1,100,-0.458
1707824241.661974,626730.667,32316,3,GZ,1,100,-0.214
1707824241.702856,626770.333,32316,3,GZ,1,100,-0.214
1707824241.743738,626810.000,32316,3,GZ,1,100,-0.336
1707824241.783417,626848.500,32333,2,GZ,1,100,-0.275
1707824241.823096,626887.000,32333,2,GZ,1,100,-0.153
1707824241.863291,626926.000,32350,3,GZ,1,100,-0.031
1707824241.903485,626965.000,32350,3,GZ,1,100,-0.092
1707824241.943680,627004.000,32350,3,GZ,1,100,-0.122
