LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1707824237.297598,622496,31598,1,HR,1,100,72
1707824238.032437,623209,31717,1,HR,1,100,75
1707824238.914657,624065,31855,1,HR,1,100,73
1707824239.665987,624794,31987,1,HR,1,100,74
1707824240.499767,625603,32122,1,HR,1,100,74
1707824241.354159,626432,32254,1,HR,1,100,73
1707824242.153929,627208,32370,1,HR,1,100,74
1707824242.949575,627980,32507,1,HR,1,100,74
1707824243.829734,628834,32629,1,HR,1,100,73
1707824244.682065,629661,32764,1,HR,1,100,72
1707824245.513784,630468,32897,1,HR,1,100,72
1707824246.393943,631322,33031,1,HR,1,100,71
1707824247.229784,632133,33150,1,HR,1,100,71
1707824248.126433,633003,33237,1,HR,1,100,71
1707824248.959182,633811,33377,1,HR,1,100,71
1707824249.834187,634660,33512,1,HR,1,100,70
1707824250.709193,635509,33644,1,HR,1,100,70
1707824251.603780,636377,33794,1,HR,1,100,69
1707824252.482908,637230,33927,1,HR,1,100,69
1707824253.320811,638043,34061,1,HR,1,100,70
1707824254.161805,638859,34196,1,HR,1,100,70
1707824255.053301,639724,34348,1,HR,1,100,70
1707824255.889142,640535,34480,1,HR,1,100,70
1707824256.729106,641350,34615,1,HR,1,100,70
1707824257.613387,642208,34747,1,HR,1,100,70
1707824258.461596,643031,34882,1,HR,1,100,70
1707824259.292284,643837,35016,1,HR,1,100,70
1707824260.166259,644685,35155,1,HR,1,100,70
1707824261.057754,645550,35288,1,HR,1,100,70
1707824261.936882,646403,35421,1,HR,1,100,69
1707824262.817040,647257,35557,1,HR,1,100,69
1707824263.694107,648108,35689,1,HR,1,100,69
1707824264.543347,648932,35838,1,HR,1,100,69
1707824265.422474,649785,35961,1,HR,1,100,69
1707824266.302633,650639,36110,1,HR,1,100,69
1707824267.140536,651452,36245,1,HR,1,100,69
1707824268.033062,652318,36379,1,HR,1,100,69
1707824268.907036,653166,36529,1,HR,1,100,69
1707824269.820175,654052,36678,1,HR,1,100,68
1707824270.660139,654867,36801,1,HR,1,100,69
1707824271.555757,655736,36951,1,HR,1,100,69
1707824272.357587,656514,37068,1,HR,1,100,70
1707824273.227440,657358,37220,1,HR,1,100,70
1707824274.024117,658131,37335,1,HR,1,100,71
1707824274.876448,658958,37485,1,HR,1,100,71
1707824275.714351,659771,37606,1,HR,1,100,71
1707824276.511028,660544,37722,1,HR,1,100,72
1707824277.393248,661400,37856,1,HR,1,100,71
1707824278.240427,662222,37991,1,HR,1,100,71
1707824279.120585,663076,38108,1,HR,1,100,71
1707824279.995590,663925,38240,1,HR,1,100,70
1707824280.878841,664782,38378,1,HR,1,100,70
1707824281.771367,665648,38449,1,HR,1,100,69
1707824282.641219,666492,38601,1,HR,1,100,69
1707824283.518286,667343,38736,1,HR,1,100,69
1707824284.328361,668129,38868,1,HR,1,100,70
1707824285.166264,668942,39001,1,HR,1,100,70
1707824285.965002,669717,39121,1,HR,1,100,71
1707824286.765802,670494,39254,1,HR,1,100,72
1707824287.577939,671282,39387,1,HR,1,100,73
1707824288.377709,672058,39514,1,HR,1,100,73
1707824289.291878,672945,39665,1,HR,1,100,72
1707824290.214292,673840,39817,1,HR,1,100,70
1707824291.101665,674701,39970,1,HR,1,100,70
1707824292.017896,675590,40104,1,HR,1,100,69
1707824292.933096,676478,40238,1,HR,1,100,68
1707824293.846234,677364,40389,1,HR,1,100,67
1707824294.781016,678271,40539,1,HR,1,100,67
1707824295.698277,679161,40688,1,HR,1,100,66
1707824296.656764,680091,40827,1,HR,1,100,66
1707824297.548259,680956,40959,1,HR,1,100,66
1707824298.427387,681809,41094,1,HR,1,100,67
1707824299.345679,682700,41226,1,HR,1,100,66
1707824300.305196,683631,41393,1,HR,1,100,65
1707824301.234825,684533,41541,1,HR,1,100,65
1707824302.151055,685422,41677,1,HR,1,100,65
1707824303.061102,686305,41829,1,HR,1,100,65
1707824303.952597,687170,41962,1,HR,1,100,66
1707824304.875012,688065,42111,1,HR,1,100,66
1707824305.789181,688952,42262,1,HR,1,100,66
1707824306.670370,689807,42395,1,HR,1,100,66
1707824307.557743,690668,42531,1,HR,1,100,67
1707824308.438932,691523,42666,1,HR,1,100,67
1707824309.312907,692371,42816,1,HR,1,100,67
1707824310.232229,693263,42964,1,HR,1,100,67
1707824311.157735,694161,43097,1,HR,1,100,66
1707824312.035833,695013,43216,1,HR,1,100,67
1707824312.951033,695901,43356,1,HR,1,100,66
1707824313.883753,696806,43490,1,HR,1,100,66
1707824314.806168,697701,43625,1,HR,1,100,66
1707824315.753317,698620,43745,1,HR,1,100,65
1707824316.632445,699473,43863,1,HR,1,100,66
1707824317.565166,700378,43999,1,HR,1,100,66
1707824318.404099,701192,44134,1,HR,1,100,67
1707824319.359493,702119,44284,1,HR,1,100,66
1707824320.172661,702908,44418,1,HR,1,100,68
1707824320.929144,703642,44534,1,HR,1,100,70
1707824321.644401,704336,44652,1,HR,1,100,73
1707824322.400884,705070,44767,1,HR,1,100,75
1707824323.278981,705922,44908,1,HR,1,100,73
1707824324.134405,706752,45040,1,HR,1,100,73
1707824324.974369,707567,45174,1,HR,1,100,72
1707824325.806087,708374,45307,1,HR,1,100,72
1707824326.651204,709194,45440,1,HR,1,100,72
1707824327.492199,710010,45572,1,HR,1,100,72
1707824328.330102,710823,45700,1,HR,1,100,72
1707824329.168004,711636,45832,1,HR,1,100,72
1707824330.015183,712458,45967,1,HR,1,100,72
1707824330.851024,713269,46100,1,HR,1,100,72
1707824331.692018,714085,46217,1,HR,1,100,72
