LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1707824237.326455,622524.000,31612,7,MX,1,100,-18
1707824237.326455,622524.000,31612,7,MX,1,100,-18
1707824237.326455,622524.000,31612,7,MX,1,100,-18
1707824237.326455,622524.000,31612,7,MX,1,100,-17
1707824237.326455,622524.000,31612,7,MX,1,100,-19
1707824237.326455,622524.000,31612,7,MX,1,100,-18
1707824237.326455,622524.000,31612,7,MX,1,100,-17
1707824237.366306,622562.667,31629,3,MX,1,100,-18
1707824237.406157,622601.333,31629,3,MX,1,100,-17
1707824237.446008,622640.000,31629,3,MX,1,100,-18
1707824237.486718,622679.500,31646,2,MX,1,100,-18
1707824237.527428,622719.000,31646,2,MX,1,100,-19
1707824237.567966,622758.333,31660,3,MX,1,100,-18
1707824237.608504,622797.667,31660,3,MX,1,100,-18
1707824237.649043,622837.000,31660,3,MX,1,100,-19
1707824237.688894,622875.667,31678,3,MX,1,100,-19
1707824237.728745,622914.333,31678,3,MX,1,100,-18
1707824237.768596,622953.000,31678,3,MX,1,100,-18
1707824237.808275,622991.500,31696,2,MX,1,100,-17
1707824237.847954,623030.000,31696,2,MX,1,100,-18
1707824237.887805,623068.667,31713,3,MX,1,100,-18
1707824237.927656,623107.333,31713,3,MX,1,100,-17
1707824237.967507,623146.000,31713,3,MX,1,100,-19
1707824238.007702,623185.000,31730,2,MX,1,100,-19
1707824238.047897,623224.000,31730,2,MX,1,100,-17
1707824238.087748,623262.667,31747,3,MX,1,100,-18
1707824238.127599,623301.333,31747,3,MX,1,100,-18
1707824238.167450,623340.000,31747,3,MX,1,100,-18
1707824238.207988,623379.333,31763,3,MX,1,100,-19
1707824238.248526,623418.667,31763,3,MX,1,100,-17
1707824238.289064,623458.000,31763,3,MX,1,100,-18
1707824238.328915,623496.667,31785,3,MX,1,100,-18
1707824238.368766,623535.333,31785,3,MX,1,100,-19
1707824238.408617,623574.000,31785,3,MX,1,100,-17
1707824238.448812,623613.000,31802,2,MX,1,100,-18
1707824238.489006,623652.000,31802,2,MX,1,100,-18
1707824238.528857,623690.667,31818,3,MX,1,100,-18
1707824238.568709,623729.333,31818,3,MX,1,100,-17
1707824238.608560,623768.000,31818,3,MX,1,100,-18
1707824238.647724,623806.000,31833,3,MX,1,100,-18
1707824238.686888,623844.000,31833,3,MX,1,100,-19
1707824238.726051,623882.000,31833,3,MX,1,100,-19
1707824238.766761,623921.500,31851,2,MX,1,100,-18
1707824238.807471,623961.000,31851,2,MX,1,100,-18
1707824238.847666,624000.000,31869,3,MX,1,100,-18
1707824238.887860,624039.000,31869,3,MX,1,100,-19
1707824238.928055,624078.000,31869,3,MX,1,100,-17
1707824238.963440,624112.333,31886,3,MX,1,100,-18
1707824238.998825,624146.667,31886,3,MX,1,100,-18
1707824239.034210,624181.000,31886,3,MX,1,100,-18
1707824239.074405,624220.000,31901,2,MX,1,100,-18
1707824239.114599,624259.000,31901,2,MX,1,100,-19
1707824239.154450,624297.667,31918,3,MX,1,100,-19
1707824239.194301,624336.333,31918,3,MX,1,100,-17
1707824239.234152,624375.000,31918,3,MX,1,100,-18
1707824239.272973,624412.667,31934,3,MX,1,100,-18
1707824239.311793,624450.333,31934,3,MX,1,100,-19
1707824239.350614,624488.000,31934,3,MX,1,100,-19
1707824239.389778,624526.000,31952,2,MX,1,100,-18
1707824239.428941,624564.000,31952,2,MX,1,100,-19
1707824239.469136,624603.000,31968,3,MX,1,100,-19
1707824239.509331,624642.000,31968,3,MX,1,100,-19
1707824239.549525,624681.000,31968,3,MX,1,100,-18
1707824239.589205,624719.500,31983,2,MX,1,100,-19
1707824239.628884,624758.000,31983,2,MX,1,100,-20
1707824239.668735,624796.667,32002,3,MX,1,100,-19
1707824239.708586,624835.333,32002,3,MX,1,100,-19
1707824239.748437,624874.000,32002,3,MX,1,100,-17
1707824239.788288,624912.667,32019,3,MX,1,100,-19
1707824239.828139,624951.333,32019,3,MX,1,100,-19
1707824239.867990,624990.000,32019,3,MX,1,100,-18
1707824239.907669,625028.500,32035,2,MX,1,100,-19
1707824239.947349,625067.000,32035,2,MX,1,100,-18
1707824239.986856,625105.333,32051,3,MX,1,100,-19
1707824240.026364,625143.667,32051,3,MX,1,100,-19
1707824240.065871,625182.000,32051,3,MX,1,100,-19
1707824240.105550,625220.500,32067,2,MX,1,100,-19
1707824240.145230,625259.000,32067,2,MX,1,100,-18
1707824240.185081,625297.667,32084,3,MX,1,100,-19
1707824240.224932,625336.333,32084,3,MX,1,100,-19
1707824240.264783,625375.000,32084,3,MX,1,100,-19
1707824240.304634,625413.667,32100,3,MX,1,100,-19
1707824240.344485,625452.333,32100,3,MX,1,100,-18
1707824240.384336,625491.000,32100,3,MX,1,100,-19
1707824240.424531,625530.000,32118,2,MX,1,100,-18
1707824240.464725,625569.000,32118,2,MX,1,100,-19
1707824240.503889,625607.000,32134,3,MX,1,100,-18
1707824240.543053,625645.000,32134,3,MX,1,100,-19
1707824240.582217,625683.000,32134,3,MX,1,100,-19
1707824240.622068,625721.667,32151,3,MX,1,100,-17
1707824240.661919,625760.333,32151,3,MX,1,100,-18
1707824240.701770,625799.000,32151,3,MX,1,100,-17
1707824240.741449,625837.500,32168,2,MX,1,100,-19
1707824240.781129,625876.000,32168,2,MX,1,100,-18
1707824240.820980,625914.667,32185,3,MX,1,100,-18
1707824240.860831,625953.333,32185,3,MX,1,100,-19
1707824240.900682,625992.000,32185,3,MX,1,100,-19
1707824240.940877,626031.000,32201,2,MX,1,100,-19
1707824240.981071,626070.000,32201,2,MX,1,100,-19
1707824241.021609,626109.333,32217,3,MX,1,100,-19
1707824241.062147,626148.667,32217,3,MX,1,100,-17
1707824241.102686,626188.000,32217,3,MX,1,100,-19
1707824241.142880,626227.000,32233,3,MX,1,100,-19
1707824241.183075,626266.000,32233,3,MX,1,100,-19
1707824241.223269,626305.000,32233,3,MX,1,100,-19
1707824241.262949,626343.500,32250,2,MX,1,100,-18
1707824241.302628,626382.000,32250,2,MX,1,100,-18
1707824241.342135,626420.333,32269,3,MX,1,100,-18
1707824241.381643,626458.667,32269,3,MX,1,100,-19
1707824241.421150,626497.000,32269,3,MX,1,100,-17
1707824241.461345,626536.000,32284,2,MX,1,100,-18
1707824241.501540,626575.000,32284,2,MX,1,100,-18
1707824241.541391,626613.667,32300,3,MX,1,100,-19
1707824241.581242,626652.333,32300,3,MX,1,100,-19
1707824241.621093,626691.000,32300,3,MX,1,100,-18
1707824241.661974,626730.667,32317,3,MX,1,100,-19
1707824241.702856,626770.333,32317,3,MX,1,100,-20
1707824241.743738,626810.000,32317,3,MX,1,100,-18
1707824241.783417,626848.500,32334,2,MX,1,100,-19
1707824241.823096,626887.000,32334,2,MX,1,100,-19
1707824241.863291,626926.000,32351,3,MX,1,100,-17
1707824241.903485,626965.000,32351,3,MX,1,100,-18
1707824241.943680,627004.000,32351,3,MX,1,100,-18
1707824241.982844,627042.000,32365,2,MX,1,100,-18
1707824242.022008,627080.000,32365,2,MX,1,100,-17
1707824242.057049,627114.000,32385,3,MX,1,100,-19
1707824242.092091,627148.000,32385,3,MX,1,100,-18
1707824242.127132,627182.000,32385,3,MX,1,100,-18
1707824242.167327,627221.000,32401,3,MX,1,100,-19
1707824242.207521,627260.000,32401,3,MX,1,100,-20
1707824242.247716,627299.000,32401,3,MX,1,100,-18
1707824242.287567,627337.667,32418,3,MX,1,100,-17
1707824242.327418,627376.333,32418,3,MX,1,100,-19
1707824242.367269,627415.000,32418,3,MX,1,100,-19
1707824242.407206,627453.750,32435,4,MX,1,100,-19
1707824242.447143,627492.500,32435,4,MX,1,100,-18
1707824242.487080,627531.250,32435,4,MX,1,100,-19
1707824242.527017,627570.000,32435,4,MX,1,100,-19
1707824242.567212,627609.000,32452,2,MX,1,100,-19
1707824242.607406,627648.000,32452,2,MX,1,100,-19
1707824242.646570,627686.000,32467,3,MX,1,100,-18
1707824242.685734,627724.000,32467,3,MX,1,100,-19
1707824242.724898,627762.000,32467,3,MX,1,100,-18
1707824242.765608,627801.500,32486,2,MX,1,100,-19
1707824242.806318,627841.000,32486,2,MX,1,100,-19
1707824242.846169,627879.667,32502,3,MX,1,100,-20
1707824242.886020,627918.333,32502,3,MX,1,100,-18
1707824242.925871,627957.000,32502,3,MX,1,100,-19
1707824242.965722,627995.667,32521,3,MX,1,100,-18
1707824243.005573,628034.333,32521,3,MX,1,100,-19
1707824243.045424,628073.000,32521,3,MX,1,100,-18
1707824243.085361,628111.750,32538,4,MX,1,100,-19
1707824243.125298,628150.500,32538,4,MX,1,100,-19
1707824243.165235,628189.250,32538,4,MX,1,100,-19
1707824243.205172,628228.000,32538,4,MX,1,100,-18
1707824243.244336,628266.000,32555,2,MX,1,100,-18
1707824243.283500,628304.000,32555,2,MX,1,100,-18
1707824243.324725,628344.000,32572,3,MX,1,100,-17
1707824243.365950,628384.000,32572,3,MX,1,100,-19
1707824243.407175,628424.000,32572,3,MX,1,100,-18
1707824243.446855,628462.500,32587,2,MX,1,100,-19
1707824243.486534,628501.000,32587,2,MX,1,100,-19
1707824243.526385,628539.667,32603,3,MX,1,100,-17
1707824243.566236,628578.333,32603,3,MX,1,100,-18
1707824243.606087,628617.000,32603,3,MX,1,100,-18
1707824243.645938,628655.667,32625,3,MX,1,100,-19
1707824243.685789,628694.333,32625,3,MX,1,100,-18
1707824243.725640,628733.000,32625,3,MX,1,100,-19
1707824243.765491,628771.667,32644,3,MX,1,100,-18
1707824243.805342,628810.333,32644,3,MX,1,100,-20
1707824243.845193,628849.000,32644,3,MX,1,100,-19
1707824243.884701,628887.333,32661,3,MX,1,100,-19
1707824243.924208,628925.667,32661,3,MX,1,100,-18
1707824243.963716,628964.000,32661,3,MX,1,100,-18
1707824244.004254,629003.333,32678,3,MX,1,100,-19
1707824244.044792,629042.667,32678,3,MX,1,100,-18
1707824244.085330,629082.000,32678,3,MX,1,100,-19
1707824244.125525,629121.000,32693,2,MX,1,100,-17
1707824244.165719,629160.000,32693,2,MX,1,100,-17
1707824244.205571,629198.667,32709,3,MX,1,100,-18
1707824244.245422,629237.333,32709,3,MX,1,100,-18
1707824244.285273,629276.000,32709,3,MX,1,100,-19
1707824244.324952,629314.500,32726,2,MX,1,100,-18
1707824244.364631,629353.000,32726,2,MX,1,100,-19
1707824244.404568,629391.750,32743,4,MX,1,100,-19
1707824244.444505,629430.500,32743,4,MX,1,100,-20
1707824244.484442,629469.250,32743,4,MX,1,100,-18
1707824244.524379,629508.000,32743,4,MX,1,100,-19
1707824244.564574,629547.000,32760,2,MX,1,100,-19
1707824244.604768,629586.000,32760,2,MX,1,100,-19
1707824244.644276,629624.333,32777,3,MX,1,100,-18
1707824244.683783,629662.667,32777,3,MX,1,100,-19
1707824244.723291,629701.000,32777,3,MX,1,100,-19
1707824244.762455,629739.000,32794,2,MX,1,100,-19
1707824244.801619,629777.000,32794,2,MX,1,100,-17
1707824244.841470,629815.667,32810,3,MX,1,100,-18
1707824244.881321,629854.333,32810,3,MX,1,100,-18
1707824244.921172,629893.000,32810,3,MX,1,100,-19
1707824244.961023,629931.667,32827,3,MX,1,100,-19
1707824245.000874,629970.333,32827,3,MX,1,100,-19
1707824245.040725,630009.000,32827,3,MX,1,100,-19
1707824245.075766,630043.000,32844,3,MX,1,100,-17
1707824245.110808,630077.000,32844,3,MX,1,100,-20
1707824245.145849,630111.000,32844,3,MX,1,100,-19
1707824245.186044,630150.000,32861,3,MX,1,100,-20
1707824245.226238,630189.000,32861,3,MX,1,100,-18
1707824245.266433,630228.000,32861,3,MX,1,100,-18
1707824245.305597,630266.000,32875,3,MX,1,100,-18
1707824245.344761,630304.000,32875,3,MX,1,100,-19
1707824245.383925,630342.000,32875,3,MX,1,100,-17
1707824245.423604,630380.500,32893,2,MX,1,100,-19
1707824245.463283,630419.000,32893,2,MX,1,100,-18
1707824245.503134,630457.667,32911,3,MX,1,100,-18
1707824245.542985,630496.333,32911,3,MX,1,100,-19
1707824245.582836,630535.000,32911,3,MX,1,100,-18
1707824245.623718,630574.667,32928,3,MX,1,100,-18
1707824245.664600,630614.333,32928,3,MX,1,100,-18
1707824245.705482,630654.000,32928,3,MX,1,100,-18
1707824245.745333,630692.667,32945,3,MX,1,100,-19
1707824245.785184,630731.333,32945,3,MX,1,100,-19
1707824245.825035,630770.000,32945,3,MX,1,100,-20
1707824245.865229,630809.000,32962,2,MX,1,100,-18
1707824245.905424,630848.000,32962,2,MX,1,100,-18
1707824245.944244,630885.667,32976,3,MX,1,100,-19
1707824245.983065,630923.333,32976,3,MX,1,100,-20
1707824246.021885,630961.000,32976,3,MX,1,100,-19
1707824246.061736,630999.667,32994,3,MX,1,100,-19
1707824246.101587,631038.333,32994,3,MX,1,100,-18
1707824246.141438,631077.000,32994,3,MX,1,100,-19
1707824246.181118,631115.500,33010,2,MX,1,100,-18
1707824246.220797,631154.000,33010,2,MX,1,100,-19
1707824246.261678,631193.667,33027,3,MX,1,100,-18
1707824246.302560,631233.333,33027,3,MX,1,100,-19
1707824246.343442,631273.000,33027,3,MX,1,100,-19
1707824246.383636,631312.000,33046,3,MX,1,100,-19
1707824246.423831,631351.000,33046,3,MX,1,100,-20
1707824246.464026,631390.000,33046,3,MX,1,100,-19
1707824246.503877,631428.667,33062,3,MX,1,100,-19
1707824246.543728,631467.333,33062,3,MX,1,100,-18
1707824246.583579,631506.000,33062,3,MX,1,100,-19
1707824246.623086,631544.333,33077,3,MX,1,100,-18
1707824246.662594,631582.667,33077,3,MX,1,100,-18
1707824246.702101,631621.000,33077,3,MX,1,100,-18
1707824246.741781,631659.500,33095,2,MX,1,100,-18
1707824246.781460,631698.000,33095,2,MX,1,100,-18
1707824246.821998,631737.333,33111,3,MX,1,100,-19
1707824246.862536,631776.667,33111,3,MX,1,100,-19
1707824246.903074,631816.000,33111,3,MX,1,100,-18
1707824246.943784,631855.500,33128,2,MX,1,100,-18
1707824246.984494,631895.000,33128,2,MX,1,100,-18
1707824247.024276,631933.600,33146,5,MX,1,100,-18
1707824247.064059,631972.200,33146,5,MX,1,100,-20
1707824247.103841,632010.800,33146,5,MX,1,100,-19
1707824247.143623,632049.400,33146,5,MX,1,100,-19
1707824247.183406,632088.000,33146,5,MX,1,100,-19
1707824247.222827,632126.250,33164,4,MX,1,100,-18
1707824247.262249,632164.500,33164,4,MX,1,100,-19
1707824247.301671,632202.750,33164,4,MX,1,100,-19
1707824247.341092,632241.000,33164,4,MX,1,100,-19
1707824247.381459,632280.167,33182,6,MX,1,100,-19
1707824247.421825,632319.333,33182,6,MX,1,100,-18
1707824247.462191,632358.500,33182,6,MX,1,100,-19
1707824247.502558,632397.667,33182,6,MX,1,100,-19
1707824247.542924,632436.833,33182,6,MX,1,100,-18
1707824247.583290,632476.000,33182,6,MX,1,100,-20
1707824247.623141,632514.667,33200,6,MX,1,100,-18
1707824247.662992,632553.333,33200,6,MX,1,100,-19
1707824247.702844,632592.000,33200,6,MX,1,100,-19
1707824247.742695,632630.667,33200,6,MX,1,100,-20
1707824247.782546,632669.333,33200,6,MX,1,100,-19
1707824247.822397,632708.000,33200,6,MX,1,100,-19
1707824247.862591,632747.000,33217,2,MX,1,100,-19
1707824247.902786,632786.000,33217,2,MX,1,100,-18
1707824247.942637,632824.667,33233,3,MX,1,100,-19
1707824247.982488,632863.333,33233,3,MX,1,100,-19
1707824248.022339,632902.000,33233,3,MX,1,100,-18
1707824248.057037,632935.667,33252,3,MX,1,100,-18
1707824248.091735,632969.333,33252,3,MX,1,100,-19
1707824248.126433,633003.000,33252,3,MX,1,100,-17
1707824248.166284,633041.667,33269,3,MX,1,100,-17
1707824248.206135,633080.333,33269,3,MX,1,100,-18
1707824248.245986,633119.000,33269,3,MX,1,100,-18
1707824248.286180,633158.000,33285,2,MX,1,100,-18
1707824248.326375,633197.000,33285,2,MX,1,100,-18
1707824248.366226,633235.667,33301,3,MX,1,100,-18
1707824248.406077,633274.333,33301,3,MX,1,100,-18
1707824248.445928,633313.000,33301,3,MX,1,100,-18
1707824248.485607,633351.500,33317,2,MX,1,100,-18
1707824248.525287,633390.000,33317,2,MX,1,100,-19
1707824248.564794,633428.333,33334,3,MX,1,100,-18
1707824248.604302,633466.667,33334,3,MX,1,100,-19
1707824248.643809,633505.000,33334,3,MX,1,100,-18
1707824248.683317,633543.333,33351,3,MX,1,100,-19
1707824248.722824,633581.667,33351,3,MX,1,100,-18
1707824248.762332,633620.000,33351,3,MX,1,100,-18
1707824248.802526,633659.000,33368,2,MX,1,100,-18
1707824248.842721,633698.000,33368,2,MX,1,100,-19
1707824248.882503,633736.600,33392,5,MX,1,100,-19
1707824248.922286,633775.200,33392,5,MX,1,100,-19
1707824248.962068,633813.800,33392,5,MX,1,100,-19
1707824249.001850,633852.400,33392,5,MX,1,100,-18
1707824249.041633,633891.000,33392,5,MX,1,100,-18
1707824249.081484,633929.667,33409,3,MX,1,100,-18
1707824249.121335,633968.333,33409,3,MX,1,100,-19
1707824249.161186,634007.000,33409,3,MX,1,100,-19
1707824249.201380,634046.000,33425,2,MX,1,100,-18
1707824249.241575,634085.000,33425,2,MX,1,100,-19
1707824249.280052,634122.333,33440,3,MX,1,100,-18
1707824249.318529,634159.667,33440,3,MX,1,100,-18
1707824249.357006,634197.000,33440,3,MX,1,100,-19
1707824249.396857,634235.667,33457,3,MX,1,100,-19
1707824249.436708,634274.333,33457,3,MX,1,100,-19
1707824249.476559,634313.000,33457,3,MX,1,100,-18
1707824249.516238,634351.500,33474,2,MX,1,100,-20
1707824249.555917,634390.000,33474,2,MX,1,100,-19
1707824249.595768,634428.667,33490,3,MX,1,100,-19
1707824249.635619,634467.333,33490,3,MX,1,100,-19
1707824249.675470,634506.000,33490,3,MX,1,100,-19
1707824249.715321,634544.667,33508,3,MX,1,100,-18
1707824249.755172,634583.333,33508,3,MX,1,100,-18
1707824249.795024,634622.000,33508,3,MX,1,100,-19
1707824249.835218,634661.000,33524,2,MX,1,100,-19
1707824249.875413,634700.000,33524,2,MX,1,100,-18
1707824249.914577,634738.000,33541,3,MX,1,100,-18
1707824249.953741,634776.000,33541,3,MX,1,100,-18
1707824249.992905,634814.000,33541,3,MX,1,100,-19
1707824250.032584,634852.500,33558,2,MX,1,100,-18
1707824250.072263,634891.000,33558,2,MX,1,100,-17
1707824250.112114,634929.667,33575,3,MX,1,100,-19
1707824250.151965,634968.333,33575,3,MX,1,100,-18
1707824250.191816,635007.000,33575,3,MX,1,100,-19
1707824250.232011,635046.000,33590,2,MX,1,100,-19
1707824250.272205,635085.000,33590,2,MX,1,100,-17
1707824250.312057,635123.667,33607,3,MX,1,100,-18
1707824250.351908,635162.333,33607,3,MX,1,100,-17
1707824250.391759,635201.000,33607,3,MX,1,100,-17
1707824250.431266,635239.333,33623,3,MX,1,100,-18
1707824250.470774,635277.667,33623,3,MX,1,100,-19
1707824250.510281,635316.000,33623,3,MX,1,100,-18
1707824250.549445,635354.000,33640,2,MX,1,100,-19
1707824250.588609,635392.000,33640,2,MX,1,100,-17
1707824250.628804,635431.000,33659,3,MX,1,100,-17
1707824250.668998,635470.000,33659,3,MX,1,100,-19
1707824250.709193,635509.000,33659,3,MX,1,100,-17
1707824250.749044,635547.667,33674,3,MX,1,100,-18
1707824250.788895,635586.333,33674,3,MX,1,100,-19
1707824250.828746,635625.000,33674,3,MX,1,100,-18
1707824250.868425,635663.500,33690,2,MX,1,100,-19
1707824250.908105,635702.000,33690,2,MX,1,100,-18
1707824250.948299,635741.000,33707,3,MX,1,100,-18
1707824250.988494,635780.000,33707,3,MX,1,100,-19
1707824251.028688,635819.000,33707,3,MX,1,100,-17
1707824251.064760,635854.000,33724,3,MX,1,100,-19
1707824251.100832,635889.000,33724,3,MX,1,100,-18
1707824251.136904,635924.000,33724,3,MX,1,100,-19
1707824251.177099,635963.000,33741,2,MX,1,100,-19
1707824251.217294,636002.000,33741,2,MX,1,100,-18
1707824251.257145,636040.667,33755,3,MX,1,100,-18
1707824251.296996,636079.333,33755,3,MX,1,100,-18
1707824251.336847,636118.000,33755,3,MX,1,100,-19
1707824251.376698,636156.667,33773,3,MX,1,100,-19
1707824251.416549,636195.333,33773,3,MX,1,100,-18
1707824251.456400,636234.000,33773,3,MX,1,100,-18
1707824251.497110,636273.500,33789,2,MX,1,100,-18
1707824251.537820,636313.000,33789,2,MX,1,100,-19
1707824251.577671,636351.667,33808,3,MX,1,100,-19
1707824251.617522,636390.333,33808,3,MX,1,100,-17
1707824251.657373,636429.000,33808,3,MX,1,100,-18
1707824251.697567,636468.000,33823,2,MX,1,100,-19
1707824251.737762,636507.000,33823,2,MX,1,100,-17
1707824251.777613,636545.667,33840,3,MX,1,100,-19
1707824251.817464,636584.333,33840,3,MX,1,100,-17
1707824251.857315,636623.000,33840,3,MX,1,100,-19
1707824251.896823,636661.333,33856,3,MX,1,100,-19
1707824251.936330,636699.667,33856,3,MX,1,100,-18
1707824251.975838,636738.000,33856,3,MX,1,100,-17
1707824252.015517,636776.500,33874,2,MX,1,100,-19
1707824252.055196,636815.000,33874,2,MX,1,100,-18
1707824252.096078,636854.667,33890,3,MX,1,100,-18
1707824252.136960,636894.333,33890,3,MX,1,100,-19
1707824252.177841,636934.000,33890,3,MX,1,100,-20
1707824252.217521,636972.500,33905,2,MX,1,100,-19
1707824252.257200,637011.000,33905,2,MX,1,100,-18
1707824252.297051,637049.667,33922,3,MX,1,100,-19
1707824252.336902,637088.333,33922,3,MX,1,100,-19
1707824252.376753,637127.000,33922,3,MX,1,100,-18
1707824252.416604,637165.667,33941,3,MX,1,100,-19
1707824252.456455,637204.333,33941,3,MX,1,100,-18
1707824252.496306,637243.000,33941,3,MX,1,100,-18
1707824252.536501,637282.000,33957,2,MX,1,100,-18
1707824252.576695,637321.000,33957,2,MX,1,100,-19
1707824252.615859,637359.000,33974,3,MX,1,100,-19
1707824252.655023,637397.000,33974,3,MX,1,100,-19
1707824252.694187,637435.000,33974,3,MX,1,100,-18
1707824252.734725,637474.333,33991,3,MX,1,100,-19
1707824252.775264,637513.667,33991,3,MX,1,100,-17
1707824252.815802,637553.000,33991,3,MX,1,100,-18
1707824252.855481,637591.500,34008,2,MX,1,100,-18
1707824252.895160,637630.000,34008,2,MX,1,100,-19
1707824252.935011,637668.667,34024,3,MX,1,100,-18
1707824252.974862,637707.333,34024,3,MX,1,100,-18
1707824253.014713,637746.000,34024,3,MX,1,100,-19
1707824253.054908,637785.000,34042,2,MX,1,100,-19
1707824253.095103,637824.000,34042,2,MX,1,100,-19
1707824253.134954,637862.667,34056,3,MX,1,100,-19
1707824253.174805,637901.333,34056,3,MX,1,100,-18
1707824253.214656,637940.000,34056,3,MX,1,100,-19
1707824253.254850,637979.000,34075,3,MX,1,100,-18
1707824253.295045,638018.000,34075,3,MX,1,100,-18
1707824253.335239,638057.000,34075,3,MX,1,100,-18
1707824253.375434,638096.000,34092,2,MX,1,100,-19
1707824253.415629,638135.000,34092,2,MX,1,100,-19
1707824253.455480,638173.667,34109,3,MX,1,100,-19
1707824253.495331,638212.333,34109,3,MX,1,100,-19
1707824253.535182,638251.000,34109,3,MX,1,100,-19
1707824253.575376,638290.000,34125,2,MX,1,100,-18
1707824253.615571,638329.000,34125,2,MX,1,100,-18
1707824253.655422,638367.667,34141,3,MX,1,100,-18
1707824253.695273,638406.333,34141,3,MX,1,100,-19
1707824253.735124,638445.000,34141,3,MX,1,100,-19
1707824253.774632,638483.333,34157,3,MX,1,100,-18
1707824253.814139,638521.667,34157,3,MX,1,100,-18
1707824253.853647,638560.000,34157,3,MX,1,100,-18
1707824253.893326,638598.500,34174,2,MX,1,100,-18
1707824253.933005,638637.000,34174,2,MX,1,100,-19
1707824253.973543,638676.333,34191,3,MX,1,100,-19
1707824254.014081,638715.667,34191,3,MX,1,100,-19
1707824254.054620,638755.000,34191,3,MX,1,100,-18
1707824254.090348,638789.667,34208,3,MX,1,100,-18
1707824254.126077,638824.333,34208,3,MX,1,100,-18
1707824254.161805,638859.000,34208,3,MX,1,100,-18
1707824254.201484,638897.500,34229,4,MX,1,100,-18
