LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1707824237.338823,622536.000,31601,3,PG,1,100,10308
1707824237.338823,622536.000,31601,3,PG,1,100,10328
1707824237.338823,622536.000,31601,3,PG,1,100,10346
1707824237.379017,622575.000,31618,2,PG,1,100,10369
1707824237.419212,622614.000,31618,2,PG,1,100,10387
1707824237.464216,622657.667,31635,3,PG,1,100,10398
1707824237.509220,622701.333,31635,3,PG,1,100,10418
1707824237.554225,622745.000,31635,3,PG,1,100,10429
1707824237.594934,622784.500,31651,2,PG,1,100,10453
1707824237.635644,622824.000,31651,2,PG,1,100,10391
1707824237.675495,622862.667,31667,3,PG,1,100,10279
1707824237.715346,622901.333,31667,3,PG,1,100,10219
1707824237.755197,622940.000,31667,3,PG,1,100,10193
1707824237.794877,622978.500,31685,2,PG,1,100,10183
1707824237.834556,623017.000,31685,2,PG,1,100,10201
1707824237.874751,623056.000,31702,3,PG,1,100,10219
1707824237.914945,623095.000,31702,3,PG,1,100,10234
1707824237.955140,623134.000,31702,3,PG,1,100,10252
1707824237.994647,623172.333,31720,3,PG,1,100,10257
1707824238.034155,623210.667,31720,3,PG,1,100,10274
1707824238.073662,623249.000,31720,3,PG,1,100,10308
1707824238.113342,623287.500,31737,2,PG,1,100,10334
1707824238.153021,623326.000,31737,2,PG,1,100,10349
1707824238.193903,623365.667,31752,3,PG,1,100,10374
1707824238.234784,623405.333,31752,3,PG,1,100,10379
1707824238.275666,623445.000,31752,3,PG,1,100,10400
1707824238.315517,623483.667,31774,3,PG,1,100,10412
1707824238.355368,623522.333,31774,3,PG,1,100,10424
1707824238.395219,623561.000,31774,3,PG,1,100,10440
1707824238.435414,623600.000,31791,2,PG,1,100,10451
1707824238.475608,623639.000,31791,2,PG,1,100,10390
1707824238.515459,623677.667,31808,3,PG,1,100,10277
1707824238.555310,623716.333,31808,3,PG,1,100,10214
1707824238.595161,623755.000,31808,3,PG,1,100,10198
1707824238.634325,623793.000,31823,3,PG,1,100,10173
1707824238.673489,623831.000,31823,3,PG,1,100,10169
1707824238.712653,623869.000,31823,3,PG,1,100,10189
1707824238.752848,623908.000,31840,2,PG,1,100,10199
1707824238.793042,623947.000,31840,2,PG,1,100,10206
1707824238.833581,623986.333,31858,3,PG,1,100,10225
1707824238.874119,624025.667,31858,3,PG,1,100,10244
1707824238.914657,624065.000,31858,3,PG,1,100,10273
1707824238.954508,624103.667,31875,3,PG,1,100,10303
1707824238.994359,624142.333,31875,3,PG,1,100,10312
1707824239.034210,624181.000,31875,3,PG,1,100,10330
1707824239.074405,624220.000,31892,2,PG,1,100,10346
1707824239.114599,624259.000,31892,2,PG,1,100,10359
1707824239.154450,624297.667,31907,3,PG,1,100,10371
1707824239.194301,624336.333,31907,3,PG,1,100,10385
1707824239.234152,624375.000,31907,3,PG,1,100,10406
1707824239.272801,624412.500,31923,2,PG,1,100,10410
1707824239.311450,624450.000,31923,2,PG,1,100,10307
1707824239.350614,624488.000,31941,3,PG,1,100,10206
1707824239.389778,624526.000,31941,3,PG,1,100,10153
