LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707824237.338823,622536.000,31599,3,PI,1,100,161329
1707824237.338823,622536.000,31599,3,PI,1,100,161403
1707824237.338823,622536.000,31599,3,PI,1,100,161476
1707824237.379017,622575.000,31616,2,PI,1,100,161544
1707824237.419212,622614.000,31616,2,PI,1,100,161601
1707824237.464216,622657.667,31633,3,PI,1,100,161675
1707824237.509220,622701.333,31633,3,PI,1,100,161758
1707824237.554225,622745.000,31633,3,PI,1,100,161860
1707824237.594934,622784.500,31649,2,PI,1,100,161857
1707824237.635644,622824.000,31649,2,PI,1,100,161348
1707824237.675495,622862.667,31665,3,PI,1,100,160902
1707824237.715346,622901.333,31665,3,PI,1,100,160797
1707824237.755197,622940.000,31665,3,PI,1,100,160773
1707824237.794877,622978.500,31683,2,PI,1,100,160814
1707824237.834556,623017.000,31683,2,PI,1,100,160932
1707824237.874751,623056.000,31700,3,PI,1,100,160990
1707824237.914945,623095.000,31700,3,PI,1,100,161007
1707824237.955140,623134.000,31700,3,PI,1,100,161032
1707824237.994647,623172.333,31718,3,PI,1,100,161113
1707824238.034155,623210.667,31718,3,PI,1,100,161245
1707824238.073662,623249.000,31718,3,PI,1,100,161399
1707824238.113342,623287.500,31735,2,PI,1,100,161542
1707824238.153021,623326.000,31735,2,PI,1,100,161610
1707824238.193903,623365.667,31750,3,PI,1,100,161660
1707824238.234784,623405.333,31750,3,PI,1,100,161683
1707824238.275666,623445.000,31750,3,PI,1,100,161703
1707824238.315517,623483.667,31772,3,PI,1,100,161767
1707824238.355368,623522.333,31772,3,PI,1,100,161843
1707824238.395219,623561.000,31772,3,PI,1,100,161913
1707824238.435414,623600.000,31789,2,PI,1,100,161880
1707824238.475608,623639.000,31789,2,PI,1,100,161386
1707824238.515459,623677.667,31806,3,PI,1,100,160935
1707824238.555310,623716.333,31806,3,PI,1,100,160815
1707824238.595161,623755.000,31806,3,PI,1,100,160753
1707824238.634325,623793.000,31821,3,PI,1,100,160665
1707824238.673489,623831.000,31821,3,PI,1,100,160696
1707824238.712653,623869.000,31821,3,PI,1,100,160719
1707824238.752848,623908.000,31838,2,PI,1,100,160688
1707824238.793042,623947.000,31838,2,PI,1,100,160716
1707824238.833581,623986.333,31856,3,PI,1,100,160832
1707824238.874119,624025.667,31856,3,PI,1,100,161004
