LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1707824237.338823,622536.000,31600,3,PR,1,100,151848
1707824237.338823,622536.000,31600,3,PR,1,100,151868
1707824237.338823,622536.000,31600,3,PR,1,100,151891
1707824237.379017,622575.000,31617,2,PR,1,100,151920
1707824237.419212,622614.000,31617,2,PR,1,100,151961
1707824237.464216,622657.667,31634,3,PR,1,100,151986
1707824237.509220,622701.333,31634,3,PR,1,100,152005
1707824237.554225,622745.000,31634,3,PR,1,100,152056
1707824237.594934,622784.500,31650,2,PR,1,100,152045
1707824237.635644,622824.000,31650,2,PR,1,100,151830
1707824237.675495,622862.667,31666,3,PR,1,100,151653
1707824237.715346,622901.333,31666,3,PR,1,100,151593
1707824237.755197,622940.000,31666,3,PR,1,100,151585
1707824237.794877,622978.500,31684,2,PR,1,100,151591
1707824237.834556,623017.000,31684,2,PR,1,100,151625
1707824237.874751,623056.000,31701,3,PR,1,100,151651
1707824237.914945,623095.000,31701,3,PR,1,100,151654
1707824237.955140,623134.000,31701,3,PR,1,100,151668
1707824237.994647,623172.333,31719,3,PR,1,100,151720
1707824238.034155,623210.667,31719,3,PR,1,100,151780
1707824238.073662,623249.000,31719,3,PR,1,100,151851
1707824238.113342,623287.500,31736,2,PR,1,100,151919
1707824238.153021,623326.000,31736,2,PR,1,100,151940
1707824238.193903,623365.667,31751,3,PR,1,100,151960
1707824238.234784,623405.333,31751,3,PR,1,100,151968
1707824238.275666,623445.000,31751,3,PR,1,100,151947
1707824238.315517,623483.667,31773,3,PR,1,100,151977
1707824238.355368,623522.333,31773,3,PR,1,100,152010
1707824238.395219,623561.000,31773,3,PR,1,100,152023
1707824238.435414,623600.000,31790,2,PR,1,100,152018
1707824238.475608,623639.000,31790,2,PR,1,100,151807
1707824238.515459,623677.667,31807,3,PR,1,100,151624
1707824238.555310,623716.333,31807,3,PR,1,100,151569
1707824238.595161,623755.000,31807,3,PR,1,100,151528
1707824238.634325,623793.000,31822,3,PR,1,100,151469
1707824238.673489,623831.000,31822,3,PR,1,100,151456
1707824238.712653,623869.000,31822,3,PR,1,100,151425
1707824238.752848,623908.000,31839,2,PR,1,100,151404
1707824238.793042,623947.000,31839,2,PR,1,100,151406
1707824238.833581,623986.333,31857,3,PR,1,100,151465
1707824238.874119,624025.667,31857,3,PR,1,100,151558
1707824238.914657,624065.000,31857,3,PR,1,100,151602
1707824238.954508,624103.667,31874,3,PR,1,100,151619
1707824238.994359,624142.333,31874,3,PR,1,100,151650
1707824239.034210,624181.000,31874,3,PR,1,100,151654
1707824239.074405,624220.000,31891,2,PR,1,100,151667
1707824239.114599,624259.000,31891,2,PR,1,100,151689
1707824239.154450,624297.667,31906,3,PR,1,100,151725
1707824239.194301,624336.333,31906,3,PR,1,100,151748
1707824239.234152,624375.000,31906,3,PR,1,100,151777
1707824239.272801,624412.500,31922,2,PR,1,100,151706
1707824239.311450,624450.000,31922,2,PR,1,100,151464
1707824239.350614,624488.000,31940,3,PR,1,100,151343
1707824239.389778,624526.000,31940,3,PR,1,100,151310
1707824239.428941,624564.000,31940,3,PR,1,100,151302
1707824239.469136,624603.000,31956,3,PR,1,100,151311
1707824239.509331,624642.000,31956,3,PR,1,100,151346
1707824239.549525,624681.000,31956,3,PR,1,100,151395
1707824239.589205,624719.500,31973,2,PR,1,100,151400
1707824239.628884,624758.000,31973,2,PR,1,100,151426
1707824239.668735,624796.667,31990,3,PR,1,100,151435
1707824239.708586,624835.333,31990,3,PR,1,100,151462
1707824239.748437,624874.000,31990,3,PR,1,100,151502
1707824239.788116,624912.500,32007,2,PR,1,100,151546
1707824239.827796,624951.000,32007,2,PR,1,100,151574
1707824239.867647,624989.667,32023,3,PR,1,100,151598
1707824239.907498,625028.333,32023,3,PR,1,100,151615
1707824239.947349,625067.000,32023,3,PR,1,100,151656
1707824239.986856,625105.333,32040,3,PR,1,100,151684
1707824240.026364,625143.667,32040,3,PR,1,100,151711
1707824240.065871,625182.000,32040,3,PR,1,100,151720
1707824240.105550,625220.500,32056,2,PR,1,100,151525
1707824240.145230,625259.000,32056,2,PR,1,100,151308
1707824240.185081,625297.667,32072,3,PR,1,100,151231
1707824240.224932,625336.333,32072,3,PR,1,100,151208
1707824240.264783,625375.000,32072,3,PR,1,100,151213
1707824240.304634,625413.667,32088,3,PR,1,100,151218
1707824240.344485,625452.333,32088,3,PR,1,100,151270
1707824240.384336,625491.000,32088,3,PR,1,100,151302
1707824240.424531,625530.000,32106,2,PR,1,100,151302
1707824240.464725,625569.000,32106,2,PR,1,100,151315
1707824240.503889,625607.000,32124,3,PR,1,100,151331
1707824240.543053,625645.000,32124,3,PR,1,100,151371
1707824240.582217,625683.000,32124,3,PR,1,100,151407
1707824240.621896,625721.500,32139,2,PR,1,100,151429
1707824240.661576,625760.000,32139,2,PR,1,100,151450
1707824240.701427,625798.667,32156,3,PR,1,100,151481
1707824240.741278,625837.333,32156,3,PR,1,100,151497
1707824240.781129,625876.000,32156,3,PR,1,100,151526
1707824240.820980,625914.667,32173,3,PR,1,100,151555
1707824240.860831,625953.333,32173,3,PR,1,100,151603
1707824240.900682,625992.000,32173,3,PR,1,100,151590
1707824240.947060,626037.000,32189,2,PR,1,100,151365
1707824240.993439,626082.000,32189,2,PR,1,100,151184
1707824241.034320,626121.667,32207,3,PR,1,100,151126
1707824241.075202,626161.333,32207,3,PR,1,100,151133
1707824241.116084,626201.000,32207,3,PR,1,100,151137
1707824241.156278,626240.000,32221,2,PR,1,100,151182
1707824241.196473,626279.000,32221,2,PR,1,100,151223
