LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1707824238.386974,623553.000,31769,2,RD,1,100,TL
1707824238.386974,623553.000,31769,2,RD,1,100,TU
1707824241.040332,626127.500,32608,2,RD,1,100,TL
1707824243.693691,628702.000,32608,2,RD,1,100,TU
1707824246.325921,631256.000,33373,2,RD,1,100,TL
1707824248.958152,633810.000,33373,2,RD,1,100,TU
1707824251.590382,636364.000,34213,2,RD,1,100,TL
1707824254.222612,638918.000,34213,2,RD,1,100,TU
1707824256.875455,641492.000,35051,2,RD,1,100,TL
1707824259.528298,644066.000,35051,2,RD,1,100,TU
1707824262.167743,646627.000,35875,2,RD,1,100,TL
1707824264.807188,649188.000,35875,2,RD,1,100,TU
1707824267.440964,651743.500,36715,2,RD,1,100,TL
1707824270.074741,654299.000,36715,2,RD,1,100,TU
1707824272.710578,656856.500,37552,2,RD,1,100,TL
1707824275.346416,659414.000,37552,2,RD,1,100,TU
1707824277.982254,661971.500,38340,2,RD,1,100,TL
1707824280.618091,664529.000,38340,2,RD,1,100,TU
1707824283.250837,667083.500,39117,2,RD,1,100,TL
1707824285.883583,669638.000,39117,2,RD,1,100,TU
1707824288.520966,672197.000,39965,2,RD,1,100,TL
1707824291.158350,674756.000,39965,2,RD,1,100,TU
1707824293.790580,677310.000,40788,2,RD,1,100,TL
1707824296.422811,679864.000,40788,2,RD,1,100,TU
1707824299.065347,682428.000,41610,2,RD,1,100,TL
1707824301.707884,684992.000,41610,2,RD,1,100,TU
1707824304.344752,687550.500,42446,2,RD,1,100,TL
1707824306.981621,690109.000,42446,2,RD,1,100,TU
1707824309.613851,692663.000,43252,2,RD,1,100,TL
1707824312.246081,695217.000,43252,2,RD,1,100,TU
1707824314.879858,697772.500,43997,2,RD,1,100,TL
1707824317.513634,700328.000,43997,2,RD,1,100,TU
1707824320.159778,702895.500,44837,2,RD,1,100,TL
1707824322.805922,705463.000,44837,2,RD,1,100,TU
1707824325.438152,708017.000,45661,2,RD,1,100,TL
1707824328.070383,710571.000,45661,2,RD,1,100,TU
1707824330.714465,713136.500,46487,2,RD,1,100,TL
1707824333.358548,715702.000,46487,2,RD,1,100,TU
1707824336.010360,718275.000,47325,2,RD,1,100,TL
1707824338.662173,720848.000,47325,2,RD,1,100,TU
1707824341.304194,723411.500,48163,2,RD,1,100,TL
1707824343.946216,725975.000,48163,2,RD,1,100,TU
1707824346.598543,728548.500,48969,2,RD,1,100,TL
1707824349.250871,731122.000,48969,2,RD,1,100,TU
1707824351.877433,733670.500,49748,2,RD,1,100,TL
1707824354.503995,736219.000,49748,2,RD,1,100,TU
1707824357.145501,738782.000,50585,2,RD,1,100,TL
1707824359.787007,741345.000,50585,2,RD,1,100,TU
1707824362.415630,743895.500,51409,2,RD,1,100,TL
1707824365.044253,746446.000,51409,2,RD,1,100,TU
1707824367.684729,749008.000,52233,2,RD,1,100,TL
1707824370.325204,751570.000,52233,2,RD,1,100,TU
1707824372.967741,754134.000,53075,2,RD,1,100,TL
1707824375.610278,756698.000,53075,2,RD,1,100,TU
1707824378.298678,759306.500,53884,2,RD,1,100,TL
1707824380.987077,761915.000,53884,2,RD,1,100,TU
1707824383.610547,764460.500,54631,2,RD,1,100,TL
1707824386.234017,767006.000,54631,2,RD,1,100,TU
1707824388.876039,769569.500,55455,2,RD,1,100,TL
1707824391.518060,772133.000,55455,2,RD,1,100,TU
1707824394.152867,774689.500,56279,2,RD,1,100,TL
1707824396.787674,777246.000,56279,2,RD,1,100,TU
1707824399.424542,779804.500,57103,2,RD,1,100,TL
1707824402.061411,782363.000,57103,2,RD,1,100,TU
1707824404.690034,784913.500,57926,2,RD,1,100,TL
1707824407.318657,787464.000,57926,2,RD,1,100,TU
1707824409.945734,790013.000,58752,2,RD,1,100,TL
1707824412.572812,792562.000,58752,2,RD,1,100,TU
1707824415.218440,795129.000,59547,2,RD,1,100,TL
1707824417.864069,797696.000,59547,2,RD,1,100,TU
1707824420.478779,800233.000,60292,2,RD,1,100,TL
1707824423.093488,802770.000,60292,2,RD,1,100,TU
1707824425.742209,805340.000,61132,2,RD,1,100,TL
1707824428.390929,807910.000,61132,2,RD,1,100,TU
1707824431.018522,810459.500,61941,2,RD,1,100,TL
1707824433.646114,813009.000,61941,2,RD,1,100,TU
1707824436.279891,815564.500,62763,2,RD,1,100,TL
1707824438.913667,818120.000,62763,2,RD,1,100,TU
1707824441.563934,820691.500,63604,2,RD,1,100,TL
1707824444.214200,823263.000,63604,2,RD,1,100,TU
1707824446.901054,825870.000,64413,2,RD,1,100,TL
1707824449.587908,828477.000,64413,2,RD,1,100,TU
1707824452.245389,831055.500,65162,2,RD,1,100,TL
1707824454.902869,833634.000,65162,2,RD,1,100,TU
1707824457.551590,836204.000,468,2,RD,1,100,TL
1707824460.200310,838774.000,468,2,RD,1,100,TU
1707824462.854699,841349.500,1308,2,RD,1,100,TL
1707824465.509088,843925.000,1308,2,RD,1,100,TU
1707824468.142349,846480.000,2146,2,RD,1,100,TL
1707824470.775610,849035.000,2146,2,RD,1,100,TU
1707824473.421754,851602.500,2983,2,RD,1,100,TL
1707824476.067898,854170.000,2983,2,RD,1,100,TU
1707824478.694975,856719.000,3823,2,RD,1,100,TL
1707824481.322053,859268.000,3823,2,RD,1,100,TU
1707824483.953768,861821.500,4620,2,RD,1,100,TL
1707824486.585483,864375.000,4620,2,RD,1,100,TU
1707824489.224412,866935.500,5397,2,RD,1,100,TL
1707824491.863342,869496.000,5397,2,RD,1,100,TU
