LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1707824286.887417,670612,39388,1,SA,1,100,0.175769
1707824287.683064,671384,39425,1,SA,1,100,0.002700
1707824287.881975,671577,39461,1,SA,1,100,0.024755
1707824288.079856,671769,39494,1,SA,1,100,0.019654
1707824288.283921,671967,39532,1,SA,1,100,0.019964
1707824289.280541,672934,39684,1,SA,1,100,0.030013
1707824492.034427,869662,5501,1,SA,1,100,0.099681
1707824492.765144,870371,5555,1,SA,1,100,0.041069
1707824492.965086,870565,5589,1,SA,1,100,0.030403
1707824493.163998,870758,5641,1,SA,1,100,0.087361
