LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1707824237.419212,622614.000,31615,1,SF,1,100,3.5254
1707824237.755197,622940.000,31664,1,SF,1,100,3.4846
1707824238.153021,623326.000,31734,1,SF,1,100,3.4443
1707824238.489006,623652.000,31788,1,SF,1,100,3.4044
1707824238.820869,623974.000,31837,1,SF,1,100,3.3650
1707824239.086772,624232.000,31889,1,SF,1,100,3.3261
1707824239.416574,624552.000,31938,1,SF,1,100,3.2876
1707824239.748437,624874.000,31988,1,SF,1,100,3.2496
1707824240.145230,625259.000,32054,1,SF,1,100,3.2120
1707824240.477093,625581.000,32104,1,SF,1,100,3.1749
1707824240.741965,625838.000,32154,1,SF,1,100,3.1381
1707824241.074858,626161.000,32205,1,SF,1,100,3.1018
1707824241.408783,626485.000,32255,1,SF,1,100,3.0659
1707824241.810729,626875.000,32320,1,SF,1,100,3.0305
1707824242.140530,627195.000,32371,1,SF,1,100,2.9954
1707824242.474455,627519.000,32421,1,SF,1,100,2.9608
1707824242.806318,627841.000,32473,1,SF,1,100,2.9265
1707824243.138181,628163.000,32524,1,SF,1,100,2.8927
1707824243.407175,628424.000,32558,1,SF,1,100,2.8592
1707824243.870959,628874.000,32630,1,SF,1,100,2.8261
1707824244.072963,629070.000,32664,1,SF,1,100,2.7934
1707824244.471817,629457.000,32729,1,SF,1,100,2.7611
1707824244.801619,629777.000,32781,1,SF,1,100,2.7292
1707824245.133482,630099.000,32830,1,SF,1,100,2.6976
1707824245.463283,630419.000,32879,1,SF,1,100,2.6664
1707824245.799269,630745.000,32931,1,SF,1,100,2.6356
1707824246.128040,631064.000,32980,1,SF,1,100,2.6051
1707824246.464026,631390.000,33032,1,SF,1,100,2.5749
1707824246.793827,631710.000,33081,1,SF,1,100,2.5451
1707824247.195773,632100.000,33132,1,SF,1,100,2.5157
1707824247.528667,632423.000,33168,1,SF,1,100,2.4866
1707824247.796631,632683.000,33186,1,SF,1,100,2.4578
1707824248.126433,633003.000,33238,1,SF,1,100,2.4294
