LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1707824286.887417,670612,39389,1,SR,1,100,0.666667
1707824287.683064,671384,39426,1,SR,1,100,0.066667
1707824287.881975,671577,39462,1,SR,1,100,0.066667
1707824288.079856,671769,39495,1,SR,1,100,0.066667
1707824288.283921,671967,39533,1,SR,1,100,0.066667
1707824289.280541,672934,39685,1,SR,1,100,0.066667
1707824492.034427,869662,5502,1,SR,1,100,0.466667
1707824492.765144,870371,5556,1,SR,1,100,0.066667
1707824492.965086,870565,5590,1,SR,1,100,0.066667
1707824493.163998,870758,5642,1,SR,1,100,0.133333
