LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1707824237.280077,622479.000,31604,1,T1,1,100,29.961
1707824237.413028,622608.000,31621,1,T1,1,100,29.947
1707824237.548041,622739.000,31638,1,T1,1,100,30.013
1707824237.683053,622870.000,31670,1,T1,1,100,29.970
1707824237.814974,622998.000,31688,1,T1,1,100,29.987
1707824237.947925,623127.000,31705,1,T1,1,100,30.030
1707824238.079846,623255.000,31723,1,T1,1,100,30.013
1707824238.214859,623386.000,31755,1,T1,1,100,30.006
1707824238.348841,623516.000,31777,1,T1,1,100,30.002
1707824238.481792,623645.000,31794,1,T1,1,100,30.037
1707824238.614743,623774.000,31811,1,T1,1,100,29.980
1707824238.746664,623902.000,31843,1,T1,1,100,30.098
1707824238.882707,624034.000,31861,1,T1,1,100,30.042
1707824239.014628,624162.000,31878,1,T1,1,100,29.947
1707824239.147579,624291.000,31910,1,T1,1,100,29.977
1707824239.279500,624419.000,31926,1,T1,1,100,29.990
1707824239.409360,624545.000,31944,1,T1,1,100,29.889
1707824239.542311,624674.000,31960,1,T1,1,100,29.846
1707824239.675262,624803.000,31994,1,T1,1,100,30.004
1707824239.808214,624932.000,32011,1,T1,1,100,29.895
1707824239.941165,625061.000,32027,1,T1,1,100,29.955
1707824240.072055,625188.000,32044,1,T1,1,100,29.945
1707824240.205006,625317.000,32076,1,T1,1,100,30.012
1707824240.337958,625446.000,32092,1,T1,1,100,29.970
1707824240.469878,625574.000,32110,1,T1,1,100,29.987
1707824240.601799,625702.000,32143,1,T1,1,100,29.994
1707824240.735781,625832.000,32160,1,T1,1,100,30.033
1707824240.867702,625960.000,32177,1,T1,1,100,30.121
1707824241.000653,626089.000,32193,1,T1,1,100,30.017
1707824241.136696,626221.000,32225,1,T1,1,100,30.007
1707824241.269648,626350.000,32242,1,T1,1,100,30.110
1707824241.401568,626478.000,32261,1,T1,1,100,30.047
1707824241.534520,626607.000,32292,1,T1,1,100,30.021
1707824241.668502,626737.000,32309,1,T1,1,100,30.044
1707824241.803514,626868.000,32326,1,T1,1,100,29.948
1707824241.937496,626998.000,32343,1,T1,1,100,30.013
1707824242.067356,627124.000,32377,1,T1,1,100,30.041
1707824242.202368,627255.000,32393,1,T1,1,100,30.124
1707824242.334289,627383.000,32410,1,T1,1,100,30.089
1707824242.467240,627512.000,32427,1,T1,1,100,30.039
1707824242.600192,627641.000,32444,1,T1,1,100,29.981
1707824242.731082,627768.000,32460,1,T1,1,100,29.921
1707824242.866094,627899.000,32494,1,T1,1,100,29.966
1707824243.000076,628029.000,32513,1,T1,1,100,29.985
1707824243.131997,628157.000,32530,1,T1,1,100,30.065
1707824243.264948,628286.000,32547,1,T1,1,100,30.028
1707824243.399961,628417.000,32564,1,T1,1,100,30.083
1707824243.532912,628546.000,32595,1,T1,1,100,30.142
1707824243.665864,628675.000,32617,1,T1,1,100,30.132
1707824243.798815,628804.000,32636,1,T1,1,100,30.093
1707824243.929705,628931.000,32653,1,T1,1,100,30.111
1707824244.066779,629064.000,32670,1,T1,1,100,30.013
1707824244.199730,629193.000,32701,1,T1,1,100,29.970
1707824244.331651,629321.000,32718,1,T1,1,100,30.022
1707824244.464602,629450.000,32735,1,T1,1,100,29.974
1707824244.597554,629579.000,32752,1,T1,1,100,29.989
1707824244.728444,629706.000,32770,1,T1,1,100,29.995
1707824244.861395,629835.000,32802,1,T1,1,100,29.927
1707824244.994346,629964.000,32819,1,T1,1,100,29.968
1707824245.126267,630092.000,32836,1,T1,1,100,29.915
1707824245.260249,630222.000,32853,1,T1,1,100,29.999
1707824245.390109,630348.000,32885,1,T1,1,100,30.035
1707824245.523060,630477.000,32903,1,T1,1,100,30.051
1707824245.658073,630608.000,32920,1,T1,1,100,30.057
1707824245.792054,630738.000,32937,1,T1,1,100,30.060
1707824245.925006,630867.000,32954,1,T1,1,100,30.026
1707824246.054865,630993.000,32986,1,T1,1,100,30.011
1707824246.186786,631121.000,33002,1,T1,1,100,29.969
1707824246.323860,631254.000,33019,1,T1,1,100,30.058
1707824246.457842,631384.000,33038,1,T1,1,100,30.025
1707824246.589763,631512.000,33055,1,T1,1,100,30.153
1707824246.721683,631640.000,33087,1,T1,1,100,30.172
1707824246.855665,631770.000,33103,1,T1,1,100,30.110
1707824246.990678,631901.000,33120,1,T1,1,100,30.119
1707824247.123629,632030.000,33138,1,T1,1,100,30.087
1707824247.254519,632157.000,33156,1,T1,1,100,29.967
1707824247.388501,632287.000,33174,2,T1,1,100,30.056
1707824247.522483,632417.000,33174,2,T1,1,100,30.095
1707824247.655950,632546.500,33192,2,T1,1,100,30.148
1707824247.789416,632676.000,33192,2,T1,1,100,30.064
1707824247.922368,632805.000,33210,1,T1,1,100,30.099
1707824248.053258,632932.000,33244,1,T1,1,100,30.043
1707824248.186209,633061.000,33261,1,T1,1,100,29.912
1707824248.319161,633190.000,33277,1,T1,1,100,30.104
1707824248.451081,633318.000,33309,1,T1,1,100,30.151
1707824248.585063,633448.000,33326,1,T1,1,100,30.065
1707824248.716984,633576.000,33343,1,T1,1,100,30.064
1707824248.848905,633704.000,33360,1,T1,1,100,30.028
1707824248.981856,633833.000,33384,1,T1,1,100,29.941
1707824249.114807,633962.000,33401,1,T1,1,100,29.974
1707824249.246728,634090.000,33417,1,T1,1,100,30.024
1707824249.376588,634216.000,33449,1,T1,1,100,30.081
1707824249.509539,634345.000,33466,1,T1,1,100,30.071
1707824249.642490,634474.000,33482,1,T1,1,100,30.031
1707824249.775442,634603.000,33500,1,T1,1,100,30.084
1707824249.908393,634732.000,33533,1,T1,1,100,30.036
1707824250.039283,634859.000,33550,1,T1,1,100,30.051
1707824250.172234,634988.000,33567,1,T1,1,100,29.987
1707824250.305186,635117.000,33583,1,T1,1,100,30.065
1707824250.437106,635245.000,33615,1,T1,1,100,30.064
1707824250.569027,635373.000,33632,1,T1,1,100,30.063
1707824250.703009,635503.000,33651,1,T1,1,100,30.063
1707824250.834930,635631.000,33682,1,T1,1,100,30.134
1707824250.967881,635760.000,33699,1,T1,1,100,30.058
1707824251.103924,635892.000,33716,1,T1,1,100,30.025
1707824251.236876,636021.000,33733,1,T1,1,100,30.117
1707824251.368796,636149.000,33765,1,T1,1,100,30.086
1707824251.503809,636280.000,33781,1,T1,1,100,30.073
1707824251.637791,636410.000,33800,1,T1,1,100,30.031
1707824251.770742,636539.000,33832,1,T1,1,100,30.085
1707824251.903694,636668.000,33848,1,T1,1,100,30.037
1707824252.035614,636796.000,33866,1,T1,1,100,30.122
1707824252.171658,636928.000,33882,1,T1,1,100,30.017
1707824252.303578,637056.000,33914,1,T1,1,100,30.114
1707824252.436530,637185.000,33933,1,T1,1,100,30.085
1707824252.569481,637314.000,33949,1,T1,1,100,30.072
1707824252.700371,637441.000,33967,1,T1,1,100,29.960
1707824252.835384,637572.000,34000,1,T1,1,100,29.983
