LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1707824237.293475,622492.000,31605,1,TH,1,100,29.966
1707824237.426426,622621.000,31622,1,TH,1,100,30.054
1707824237.561439,622752.000,31639,1,TH,1,100,30.061
1707824237.695421,622882.000,31671,1,TH,1,100,30.078
1707824237.828372,623011.000,31689,1,TH,1,100,30.078
1707824237.961324,623140.000,31706,1,TH,1,100,30.149
1707824238.092214,623267.000,31740,1,TH,1,100,30.149
1707824238.229288,623400.000,31756,1,TH,1,100,30.135
1707824238.363270,623530.000,31778,1,TH,1,100,30.135
1707824238.495190,623658.000,31795,1,TH,1,100,29.996
1707824238.628142,623787.000,31826,1,TH,1,100,29.996
1707824238.760062,623915.000,31844,1,TH,1,100,30.123
1707824238.895075,624046.000,31862,1,TH,1,100,30.123
1707824239.028026,624175.000,31879,1,TH,1,100,30.078
1707824239.159947,624303.000,31911,1,TH,1,100,30.078
1707824239.292898,624432.000,31927,1,TH,1,100,30.029
1707824239.423788,624559.000,31945,1,TH,1,100,30.029
1707824239.555709,624687.000,31961,1,TH,1,100,30.117
1707824239.688660,624816.000,31995,1,TH,1,100,30.124
1707824239.821612,624945.000,32012,1,TH,1,100,30.116
1707824239.952502,625072.000,32028,1,TH,1,100,30.116
1707824240.085453,625201.000,32060,1,TH,1,100,30.080
1707824240.218404,625330.000,32077,1,TH,1,100,30.080
1707824240.350325,625458.000,32093,1,TH,1,100,30.026
1707824240.484307,625588.000,32111,1,TH,1,100,30.026
1707824240.616228,625716.000,32144,1,TH,1,100,30.098
1707824240.748149,625844.000,32161,1,TH,1,100,30.098
1707824240.881100,625973.000,32178,1,TH,1,100,30.070
1707824241.014051,626102.000,32194,1,TH,1,100,30.070
1707824241.150095,626234.000,32226,1,TH,1,100,30.072
1707824241.283046,626363.000,32243,1,TH,1,100,30.072
1707824241.414967,626491.000,32262,1,TH,1,100,30.113
1707824241.547918,626620.000,32293,1,TH,1,100,30.113
1707824241.682930,626751.000,32310,1,TH,1,100,30.093
1707824241.817943,626882.000,32327,1,TH,1,100,30.093
1707824241.949864,627010.000,32344,1,TH,1,100,30.100
1707824242.079723,627136.000,32378,1,TH,1,100,30.100
1707824242.214736,627267.000,32394,1,TH,1,100,30.095
1707824242.347687,627396.000,32411,1,TH,1,100,30.102
1707824242.480639,627525.000,32428,1,TH,1,100,30.115
1707824242.612559,627653.000,32445,1,TH,1,100,30.115
1707824242.745511,627782.000,32479,1,TH,1,100,30.145
1707824242.880523,627913.000,32495,1,TH,1,100,30.145
1707824243.012444,628041.000,32514,1,TH,1,100,30.066
1707824243.145395,628170.000,32531,1,TH,1,100,30.066
1707824243.277316,628298.000,32548,1,TH,1,100,30.166
1707824243.413359,628430.000,32565,1,TH,1,100,30.166
1707824243.546311,628559.000,32596,1,TH,1,100,30.083
1707824243.679262,628688.000,32618,1,TH,1,100,30.083
1707824243.812213,628817.000,32637,1,TH,1,100,30.086
1707824243.944134,628945.000,32654,1,TH,1,100,30.086
1707824244.080177,629077.000,32671,1,TH,1,100,30.088
1707824244.212098,629205.000,32702,1,TH,1,100,30.088
1707824244.345049,629334.000,32719,1,TH,1,100,30.096
1707824244.478001,629463.000,32736,1,TH,1,100,30.103
1707824244.609921,629591.000,32753,1,TH,1,100,30.111
1707824244.741842,629719.000,32787,1,TH,1,100,30.111
1707824244.875824,629849.000,32803,1,TH,1,100,30.080
1707824245.007745,629977.000,32820,1,TH,1,100,30.080
1707824245.140696,630106.000,32837,1,TH,1,100,30.087
1707824245.272617,630234.000,32854,1,TH,1,100,30.087
1707824245.403507,630361.000,32886,1,TH,1,100,30.025
1707824245.536458,630490.000,32904,1,TH,1,100,30.025
1707824245.671471,630621.000,32921,1,TH,1,100,30.152
1707824245.805453,630751.000,32938,1,TH,1,100,30.152
1707824245.938404,630880.000,32955,1,TH,1,100,30.134
1707824246.068263,631006.000,32987,1,TH,1,100,30.134
1707824246.201215,631135.000,33003,1,TH,1,100,30.121
1707824246.337258,631267.000,33020,1,TH,1,100,30.121
1707824246.470209,631396.000,33039,1,TH,1,100,30.134
1707824246.602130,631524.000,33070,1,TH,1,100,30.134
1707824246.735081,631653.000,33088,1,TH,1,100,30.067
1707824246.869063,631783.000,33104,1,TH,1,100,30.074
