LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1707824238.383882,623550.000,31767,1,TL,1,100,2024-02-13_11-37-13-199381
1707824238.406556,623572.000,31770,1,TL,1,100,2024-02-13_11-37-18-397056
1707824243.690599,628699.000,32606,1,TL,1,100,2024-02-13_11-37-18-448443
1707824243.716365,628724.000,32609,1,TL,1,100,2024-02-13_11-37-23-709158
1707824248.955060,633807.000,33371,1,TL,1,100,2024-02-13_11-37-23-760888
1707824248.977733,633829.000,33374,1,TL,1,100,2024-02-13_11-37-28-972230
1707824254.219520,638915.000,34211,1,TL,1,100,2024-02-13_11-37-29-114543
1707824254.242194,638937.000,34214,1,TL,1,100,2024-02-13_11-37-34-236738
1707824259.525206,644063.000,35049,1,TL,1,100,2024-02-13_11-37-34-383163
1707824259.550972,644088.000,35052,1,TL,1,100,2024-02-13_11-37-39-546215
1707824264.803065,649184.000,35873,1,TL,1,100,2024-02-13_11-37-39-693376
1707824264.826770,649207.000,35876,1,TL,1,100,2024-02-13_11-37-44-821280
1707824270.071649,654296.000,36713,1,TL,1,100,2024-02-13_11-37-44-959581
1707824270.098445,654322.000,36716,1,TL,1,100,2024-02-13_11-37-50-091957
1707824275.343324,659411.000,37550,1,TL,1,100,2024-02-13_11-37-50-229685
1707824275.365998,659433.000,37553,1,TL,1,100,2024-02-13_11-37-55-359947
1707824280.647979,664558.000,38341,1,TL,1,100,2024-02-13_11-38-00-633331
1707824285.908318,669662.000,39118,1,TL,1,100,2024-02-13_11-38-05-900878
1707824291.228433,674824.000,39966,1,TL,1,100,2024-02-13_11-38-11-196327
1707824296.453730,679894.000,40789,1,TL,1,100,2024-02-13_11-38-16-435471
1707824301.701700,684986.000,41608,1,TL,1,100,2024-02-13_11-38-16-614481
1707824306.978529,690106.000,42444,1,TL,1,100,2024-02-13_11-38-21-852554
1707824312.242989,695214.000,43250,1,TL,1,100,2024-02-13_11-38-27-155803
1707824317.508481,700323.000,43995,1,TL,1,100,2024-02-13_11-38-32-390972
1707824322.802830,705460.000,44835,1,TL,1,100,2024-02-13_11-38-37-653102
1707824322.827565,705484.000,44838,1,TL,1,100,2024-02-13_11-38-42-799807
1707824328.067291,710568.000,45659,1,TL,1,100,2024-02-13_11-38-42-949134
1707824328.161078,710659.000,45662,1,TL,1,100,2024-02-13_11-38-48-135501
1707824333.353395,715697.000,46485,1,TL,1,100,2024-02-13_11-38-48-242025
1707824333.385344,715728.000,46488,1,TL,1,100,2024-02-13_11-38-53-350500
1707824338.655989,720842.000,47323,1,TL,1,100,2024-02-13_11-38-53-567321
1707824338.712674,720897.000,47326,1,TL,1,100,2024-02-13_11-38-58-681006
1707824343.943124,725972.000,48161,1,TL,1,100,2024-02-13_11-38-58-813468
1707824343.968889,725997.000,48164,1,TL,1,100,2024-02-13_11-39-03-936593
1707824349.247779,731119.000,48967,1,TL,1,100,2024-02-13_11-39-04-084769
1707824349.287974,731158.000,48970,1,TL,1,100,2024-02-13_11-39-09-242782
1707824354.534914,736249.000,49749,1,TL,1,100,2024-02-13_11-39-14-505370
1707824359.778762,741337.000,50583,1,TL,1,100,2024-02-13_11-39-14-704985
1707824359.806589,741364.000,50586,1,TL,1,100,2024-02-13_11-39-19-782839
1707824365.041162,746443.000,51407,1,TL,1,100,2024-02-13_11-39-19-964802
1707824370.305622,751551.000,52229,1,TL,1,100,2024-02-13_11-39-25-187175
1707824370.322112,751567.000,52231,1,TL,1,100,2024-02-13_11-39-25-187239
1707824370.350970,751595.000,52234,1,TL,1,100,2024-02-13_11-39-30-327164
1707824375.607186,756695.000,53073,1,TL,1,100,2024-02-13_11-39-30-475062
1707824380.966465,761895.000,53880,1,TL,1,100,2024-02-13_11-39-35-669513
1707824380.983985,761912.000,53882,1,TL,1,100,2024-02-13_11-39-35-754914
1707824381.015935,761943.000,53885,1,TL,1,100,2024-02-13_11-39-40-988278
1707824386.230926,767003.000,54629,1,TL,1,100,2024-02-13_11-39-41-146501
1707824386.271120,767042.000,54632,1,TL,1,100,2024-02-13_11-39-46-231395
1707824391.511876,772127.000,55453,1,TL,1,100,2024-02-13_11-39-46-406498
1707824396.768092,777227.000,56275,1,TL,1,100,2024-02-13_11-39-51-518873
1707824396.784582,777243.000,56277,1,TL,1,100,2024-02-13_11-39-51-711580
1707824402.038737,782341.000,57099,1,TL,1,100,2024-02-13_11-39-56-788576
1707824402.058319,782360.000,57101,1,TL,1,100,2024-02-13_11-39-56-936460
1707824407.295983,787442.000,57922,1,TL,1,100,2024-02-13_11-40-02-066561
1707824407.314535,787460.000,57924,1,TL,1,100,2024-02-13_11-40-02-219549
1707824407.402138,787545.000,57927,1,TL,1,100,2024-02-13_11-40-07-377080
1707824412.567659,792557.000,58750,1,TL,1,100,2024-02-13_11-40-07-499260
1707824417.832119,797665.000,59543,1,TL,1,100,2024-02-13_11-40-12-600044
1707824417.858916,797691.000,59545,1,TL,1,100,2024-02-13_11-40-12-736423
1707824417.966101,797795.000,59548,1,TL,1,100,2024-02-13_11-40-17-941601
1707824423.090396,802767.000,60290,1,TL,1,100,2024-02-13_11-40-18-043602
1707824428.370317,807890.000,61128,1,TL,1,100,2024-02-13_11-40-23-094451
1707824428.387837,807907.000,61130,1,TL,1,100,2024-02-13_11-40-23-269663
1707824428.412572,807931.000,61133,1,TL,1,100,2024-02-13_11-40-28-390819
1707824433.640961,813004.000,61939,1,TL,1,100,2024-02-13_11-40-28-626075
1707824433.735779,813096.000,61942,1,TL,1,100,2024-02-13_11-40-33-711444
1707824438.907483,818114.000,62761,1,TL,1,100,2024-02-13_11-40-33-868264
1707824438.959015,818164.000,62764,1,TL,1,100,2024-02-13_11-40-38-934463
1707824444.210077,823259.000,63602,1,TL,1,100,2024-02-13_11-40-39-108413
1707824444.234813,823283.000,63605,1,TL,1,100,2024-02-13_11-40-44-221756
1707824449.584816,828474.000,64411,1,TL,1,100,2024-02-13_11-40-44-365516
1707824449.606459,828495.000,64414,1,TL,1,100,2024-02-13_11-40-49-597459
1707824454.899777,833631.000,65160,1,TL,1,100,2024-02-13_11-40-49-750622
1707824454.925543,833656.000,65163,1,TL,1,100,2024-02-13_11-40-54-911144
1707824460.195157,838769.000,466,1,TL,1,100,2024-02-13_11-40-55-111725
1707824465.484353,843901.000,1304,1,TL,1,100,2024-02-13_11-41-00-234029
1707824465.505996,843922.000,1306,1,TL,1,100,2024-02-13_11-41-00-433513
1707824465.531762,843947.000,1309,1,TL,1,100,2024-02-13_11-41-05-511565
1707824470.772518,849032.000,2144,1,TL,1,100,2024-02-13_11-41-05-570072
1707824470.795192,849054.000,2147,1,TL,1,100,2024-02-13_11-41-10-782971
1707824476.061714,854164.000,2981,1,TL,1,100,2024-02-13_11-41-10-883204
1707824476.097787,854199.000,2984,1,TL,1,100,2024-02-13_11-41-16-079880
1707824481.318961,859265.000,3821,1,TL,1,100,2024-02-13_11-41-16-134943
1707824481.350910,859296.000,3824,1,TL,1,100,2024-02-13_11-41-21-324582
1707824486.582391,864372.000,4618,1,TL,1,100,2024-02-13_11-41-21-390518
1707824486.609187,864398.000,4621,1,TL,1,100,2024-02-13_11-41-26-591659
1707824491.859219,869492.000,5395,1,TL,1,100,2024-02-13_11-41-26-652154
