RD,TS_received,TS_sent,AK,RoundTrip,
623553,623572,2024-02-13_11-37-18-397056,623576,19,
628702,628724,2024-02-13_11-37-23-709158,628727,22,
633810,633829,2024-02-13_11-37-28-972230,633831,19,
638918,638937,2024-02-13_11-37-34-236738,638940,19,
644066,644088,2024-02-13_11-37-39-546215,644090,22,
649188,649207,2024-02-13_11-37-44-821280,649210,19,
654299,654322,2024-02-13_11-37-50-091957,654325,23,
659414,659433,2024-02-13_11-37-55-359947,659436,19,
664529,664558,2024-02-13_11-38-00-633331,664561,29,
669638,669662,2024-02-13_11-38-05-900878,669664,24,
674756,674824,2024-02-13_11-38-11-196327,674829,68,
679864,679894,2024-02-13_11-38-16-435471,679899,30,
684992,690106,2024-02-13_11-38-21-852554,690109,5114,
690109,695214,2024-02-13_11-38-27-155803,695217,5105,
695217,700323,2024-02-13_11-38-32-390972,700328,5106,
700328,705460,2024-02-13_11-38-37-653102,705463,5132,
705463,705484,2024-02-13_11-38-42-799807,705487,21,
710571,710659,2024-02-13_11-38-48-135501,710662,88,
715702,715728,2024-02-13_11-38-53-350500,715731,26,
720848,720897,2024-02-13_11-38-58-681006,720900,49,
725975,725997,2024-02-13_11-39-03-936593,726000,22,
731122,731158,2024-02-13_11-39-09-242782,731163,36,
736219,736249,2024-02-13_11-39-14-505370,736252,30,
741345,741364,2024-02-13_11-39-19-782839,741369,19,
746446,751551,2024-02-13_11-39-25-187175,751559,5105,
751570,751595,2024-02-13_11-39-30-327164,751597,25,
756698,761895,2024-02-13_11-39-35-669513,761904,5197,
761915,761943,2024-02-13_11-39-40-988278,761945,28,
767006,767042,2024-02-13_11-39-46-231395,767044,36,
772133,777227,2024-02-13_11-39-51-518873,777235,5094,
777246,782341,2024-02-13_11-39-56-788576,782352,5095,
782363,787442,2024-02-13_11-40-02-066561,787451,5079,
787464,787545,2024-02-13_11-40-07-377080,787548,81,
792562,797665,2024-02-13_11-40-12-600044,797676,5103,
797696,797795,2024-02-13_11-40-17-941601,797798,99,
802770,807890,2024-02-13_11-40-23-094451,807899,5120,
807910,807931,2024-02-13_11-40-28-390819,807940,21,
813009,813096,2024-02-13_11-40-33-711444,813099,87,
818120,818164,2024-02-13_11-40-38-934463,818166,44,
823263,823283,2024-02-13_11-40-44-221756,823286,20,
828477,828495,2024-02-13_11-40-49-597459,828498,18,
833634,833656,2024-02-13_11-40-54-911144,833659,22,
838774,843901,2024-02-13_11-41-00-234029,843914,5127,
843925,843947,2024-02-13_11-41-05-511565,843949,22,
849035,849054,2024-02-13_11-41-10-782971,849057,19,
854170,854199,2024-02-13_11-41-16-079880,854201,29,
859268,859296,2024-02-13_11-41-21-324582,859299,28,
864375,864398,2024-02-13_11-41-26-591659,864400,23,
869496,
