EpochTimestamp,TypeTag,AX,AY,AZ,ACC
1707823974.98673,ACC,0.2094,-0.9092,0.4488,1.0353330092294
1707823975.02075,ACC,0.211,-0.907,0.443,1.03122209053142
1707823975.05477,ACC,0.21,-0.907,0.45,1.03404497000856
1707823975.08879,ACC,0.202,-0.92,0.438,1.03877235234675
1707823975.12848,ACC,0.212,-0.907,0.455,1.03663783454011
1707823975.16817,ACC,0.226,-0.897,0.455,1.0308782663341
1707823975.20804,ACC,0.206,-0.909,0.448,1.03412813519409
1707823975.2479,ACC,0.202,-0.919,0.44,1.03873240057293
1707823975.28776,ACC,0.21,-0.91,0.453,1.03798314051819
1707823975.32693,ACC,0.217,-0.907,0.448,1.03462166998377
1707823975.36611,ACC,0.21,-0.911,0.448,1.0366894424079
1707823975.40528,ACC,0.204,-0.91,0.444,1.03288527920578
1707823975.44652,ACC,0.213,-0.909,0.449,1.03597828162563
1707823975.48775,ACC,0.218,-0.903,0.454,1.03394825789301
1707823975.52796,ACC,0.222,-0.911,0.451,1.04048354143638
1707823975.56816,ACC,0.197,-0.923,0.439,1.04089336629647
1707823975.60837,ACC,0.196,-0.918,0.456,1.04358804132665
1707823975.64806,ACC,0.222,-0.896,0.449,1.02649939113474
1707823975.68775,ACC,0.227,-0.896,0.46,1.03244612450239
1707823975.72761,ACC,0.204,-0.91,0.446,1.03374658403305
1707823975.76747,ACC,0.214,-0.916,0.448,1.04190018715806
1707823975.80733,ACC,0.224,-0.903,0.449,1.03304694956231
1707823975.84719,ACC,0.193,-0.916,0.44,1.03436212227633
1707823975.88706,ACC,0.2,-0.913,0.445,1.03517824552103
1707823975.92692,ACC,0.223,-0.895,0.462,1.03159972857693
1707823975.96661,ACC,0.221,-0.908,0.449,1.03677673585011
1707823976.0063,ACC,0.211,-0.913,0.448,1.03865008544745
1707823976.0465,ACC,0.22,-0.906,0.447,1.03394632355843
1707823976.08671,ACC,0.205,-0.907,0.447,1.03173785430215
1707823976.12691,ACC,0.195,-0.918,0.445,1.03864045752127
1707823976.16712,ACC,0.217,-0.908,0.45,1.03636528309279
1707823976.20732,ACC,0.217,-0.904,0.451,1.03329860156685
1707823976.24718,ACC,0.211,-0.906,0.452,1.03424416846313
1707823976.28705,ACC,0.215,-0.903,0.458,1.03508357150522
1707823976.32691,ACC,0.215,-0.908,0.446,1.0342170951981
1707823976.36677,ACC,0.207,-0.914,0.447,1.03829379271958
1707823976.40663,ACC,0.205,-0.91,0.454,1.03742035838902
1707823976.44649,ACC,0.215,-0.903,0.452,1.03244273448942
1707823976.4867,ACC,0.208,-0.902,0.457,1.03233570121352
1707823976.5269,ACC,0.216,-0.904,0.451,1.03308905714851
1707823976.56642,ACC,0.213,-0.908,0.443,1.03251246965836
1707823976.60594,ACC,0.203,-0.911,0.456,1.03878101638411
1707823976.64546,ACC,0.221,-0.908,0.464,1.04336043628269
1707823976.68618,ACC,0.223,-0.895,0.453,1.02760060334743
1707823976.7269,ACC,0.194,-0.909,0.449,1.03223931333776
1707823976.7671,ACC,0.206,-0.904,0.461,1.03545786973686
1707823976.80731,ACC,0.216,-0.906,0.457,1.03746855374031
1707823976.84751,ACC,0.208,-0.914,0.46,1.04415516088367
1707823976.88772,ACC,0.219,-0.898,0.46,1.03245581019238
1707823976.92792,ACC,0.222,-0.892,0.461,1.02833311723391
1707823976.96813,ACC,0.208,-0.904,0.451,1.03144607226941
1707823977.00352,ACC,0.21,-0.909,0.453,1.03710655190294
1707823977.03892,ACC,0.207,-0.911,0.453,1.0382576751462
1707823977.07431,ACC,0.221,-0.91,0.45,1.03896150073042
1707823977.114,ACC,0.214,-0.914,0.435,1.03460958820224
1707823977.15369,ACC,0.211,-0.924,0.454,1.05091055756425
1707823977.19287,ACC,0.218,-0.896,0.461,1.03095150225411
1707823977.23204,ACC,0.206,-0.886,0.479,1.02804328702638
1707823977.27121,ACC,0.218,-0.879,0.468,1.01940619970648
1707823977.31108,ACC,0.221,-0.889,0.457,1.02372408392105
