LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707823979.520642,372432.000,57109,2,AK,1,100,56279
1707823979.520642,372432.000,57109,2,AK,1,100,RD
1707823979.536106,372447.000,57112,2,AK,1,100,57110
1707823979.551569,372462.000,57112,2,AK,1,100,RD
1707823982.193771,375025.000,57935,2,AK,1,100,57110
1707823984.835974,377588.000,57935,2,AK,1,100,RD
1707823984.849375,377601.000,57938,2,AK,1,100,57936
1707823984.862777,377614.000,57938,2,AK,1,100,RD
1707823987.495701,380168.000,58664,2,AK,1,100,57936
1707823990.128625,382722.000,58664,2,AK,1,100,RD
1707823992.769281,385283.500,59504,2,AK,1,100,58665
1707823995.409937,387845.000,59504,2,AK,1,100,RD
1707823995.415092,387850.000,59506,2,AK,1,100,58665
1707823995.420246,387855.000,59506,2,AK,1,100,RD
1707823995.432617,387867.000,59509,2,AK,1,100,59507
1707823995.444988,387879.000,59509,2,AK,1,100,RD
1707823998.071727,390427.000,60345,2,AK,1,100,59507
1707824000.698465,392975.000,60345,2,AK,1,100,RD
1707824003.328812,395526.500,61182,2,AK,1,100,60346
1707824005.959159,398078.000,61182,2,AK,1,100,RD
1707824005.972561,398091.000,61185,2,AK,1,100,61183
1707824005.985962,398104.000,61185,2,AK,1,100,RD
1707824011.242532,403203.000,62839,2,AK,1,100,62004
1707824016.499103,408302.000,62839,2,AK,1,100,RD
1707824016.508381,408311.000,62841,2,AK,1,100,62004
1707824016.517659,408320.000,62841,2,AK,1,100,RD
1707824019.160892,410884.000,63631,2,AK,1,100,62842
1707824021.804125,413448.000,63631,2,AK,1,100,RD
1707824021.820104,413463.500,63634,2,AK,1,100,63632
1707824021.836083,413479.000,63634,2,AK,1,100,RD
1707824024.455605,416020.000,64378,2,AK,1,100,63632
1707824027.075128,418561.000,64378,2,AK,1,100,RD
1707824027.096777,418582.000,64381,2,AK,1,100,64379
1707824027.118426,418603.000,64381,2,AK,1,100,RD
1707824029.733824,421140.000,65186,2,AK,1,100,64379
1707824032.349223,423677.000,65186,2,AK,1,100,RD
1707824032.363140,423690.500,65189,2,AK,1,100,65187
1707824032.377058,423704.000,65189,2,AK,1,100,RD
1707824035.007404,426255.500,488,2,AK,1,100,65187
1707824037.637751,428807.000,488,2,AK,1,100,RD
1707824037.650638,428819.500,491,2,AK,1,100,489
1707824037.663524,428832.000,491,2,AK,1,100,RD
1707824040.281500,431371.500,1327,2,AK,1,100,489
1707824042.899476,433911.000,1327,2,AK,1,100,RD
1707824042.917001,433928.000,1330,2,AK,1,100,1328
1707824042.934527,433945.000,1330,2,AK,1,100,RD
