LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1707823974.986734,368034.000,56385,5,AX,1,100,0.212
1707823974.986734,368034.000,56385,5,AX,1,100,0.210
1707823974.986734,368034.000,56385,5,AX,1,100,0.204
1707823974.986734,368034.000,56385,5,AX,1,100,0.214
1707823974.986734,368034.000,56385,5,AX,1,100,0.207
1707823975.020754,368067.000,56400,3,AX,1,100,0.211
1707823975.054774,368100.000,56400,3,AX,1,100,0.210
1707823975.088794,368133.000,56400,3,AX,1,100,0.202
1707823975.128484,368171.500,56416,2,AX,1,100,0.212
1707823975.168173,368210.000,56416,2,AX,1,100,0.226
1707823975.208035,368248.667,56433,3,AX,1,100,0.206
1707823975.247896,368287.333,56433,3,AX,1,100,0.202
1707823975.287758,368326.000,56433,3,AX,1,100,0.210
1707823975.326932,368364.000,56452,3,AX,1,100,0.217
1707823975.366106,368402.000,56452,3,AX,1,100,0.210
1707823975.405281,368440.000,56452,3,AX,1,100,0.204
1707823975.446517,368480.000,56468,2,AX,1,100,0.213
1707823975.487753,368520.000,56468,2,AX,1,100,0.218
1707823975.527958,368559.000,56484,3,AX,1,100,0.222
1707823975.568163,368598.000,56484,3,AX,1,100,0.197
1707823975.608368,368637.000,56484,3,AX,1,100,0.196
1707823975.648058,368675.500,56500,2,AX,1,100,0.222
1707823975.687748,368714.000,56500,2,AX,1,100,0.227
1707823975.727610,368752.667,56517,3,AX,1,100,0.204
1707823975.767471,368791.333,56517,3,AX,1,100,0.214
1707823975.807333,368830.000,56517,3,AX,1,100,0.224
1707823975.847194,368868.667,56534,3,AX,1,100,0.193
1707823975.887056,368907.333,56534,3,AX,1,100,0.200
1707823975.926917,368946.000,56534,3,AX,1,100,0.223
1707823975.966607,368984.500,56550,2,AX,1,100,0.221
1707823976.006297,369023.000,56550,2,AX,1,100,0.211
1707823976.046502,369062.000,56565,3,AX,1,100,0.220
1707823976.086707,369101.000,56565,3,AX,1,100,0.205
1707823976.126912,369140.000,56565,3,AX,1,100,0.195
1707823976.167117,369179.000,56583,2,AX,1,100,0.217
1707823976.207323,369218.000,56583,2,AX,1,100,0.217
1707823976.247184,369256.667,56601,3,AX,1,100,0.211
1707823976.287046,369295.333,56601,3,AX,1,100,0.215
1707823976.326907,369334.000,56601,3,AX,1,100,0.215
1707823976.366769,369372.667,56618,3,AX,1,100,0.207
1707823976.406630,369411.333,56618,3,AX,1,100,0.205
1707823976.446492,369450.000,56618,3,AX,1,100,0.215
1707823976.486697,369489.000,56632,2,AX,1,100,0.208
1707823976.526902,369528.000,56632,2,AX,1,100,0.216
1707823976.566420,369566.333,56650,3,AX,1,100,0.213
1707823976.605938,369604.667,56650,3,AX,1,100,0.203
1707823976.645456,369643.000,56650,3,AX,1,100,0.221
1707823976.686177,369682.500,56666,2,AX,1,100,0.223
1707823976.726897,369722.000,56666,2,AX,1,100,0.194
1707823976.767103,369761.000,56683,3,AX,1,100,0.206
1707823976.807308,369800.000,56683,3,AX,1,100,0.216
1707823976.847513,369839.000,56683,3,AX,1,100,0.208
1707823976.887718,369878.000,56700,3,AX,1,100,0.219
1707823976.927923,369917.000,56700,3,AX,1,100,0.222
1707823976.968128,369956.000,56700,3,AX,1,100,0.208
1707823977.003523,369990.333,56715,3,AX,1,100,0.210
1707823977.038917,370024.667,56715,3,AX,1,100,0.207
1707823977.074311,370059.000,56715,3,AX,1,100,0.221
1707823977.114001,370097.500,56731,2,AX,1,100,0.214
1707823977.153691,370136.000,56731,2,AX,1,100,0.211
1707823977.192865,370174.000,56751,3,AX,1,100,0.218
1707823977.232039,370212.000,56751,3,AX,1,100,0.206
1707823977.271214,370250.000,56751,3,AX,1,100,0.218
1707823977.311075,370288.667,56767,3,AX,1,100,0.221
1707823977.350937,370327.333,56767,3,AX,1,100,0.211
1707823977.390798,370366.000,56767,3,AX,1,100,0.211
1707823977.431004,370405.000,56783,2,AX,1,100,0.224
1707823977.471209,370444.000,56783,2,AX,1,100,0.216
1707823977.511070,370482.667,56799,3,AX,1,100,0.216
1707823977.550932,370521.333,56799,3,AX,1,100,0.218
1707823977.590793,370560.000,56799,3,AX,1,100,0.228
1707823977.629968,370598.000,56816,2,AX,1,100,0.236
1707823977.669142,370636.000,56816,2,AX,1,100,0.240
1707823977.709003,370674.667,56832,3,AX,1,100,0.226
1707823977.748865,370713.333,56832,3,AX,1,100,0.219
1707823977.788727,370752.000,56832,3,AX,1,100,0.238
1707823977.827901,370790.000,56850,3,AX,1,100,0.239
1707823977.867075,370828.000,56850,3,AX,1,100,0.218
1707823977.906249,370866.000,56850,3,AX,1,100,0.215
1707823977.946455,370905.000,56864,2,AX,1,100,0.226
1707823977.986660,370944.000,56864,2,AX,1,100,0.224
1707823978.026521,370982.667,56883,3,AX,1,100,0.219
1707823978.066383,371021.333,56883,3,AX,1,100,0.216
1707823978.106244,371060.000,56883,3,AX,1,100,0.218
1707823978.145934,371098.500,56899,2,AX,1,100,0.220
1707823978.185624,371137.000,56899,2,AX,1,100,0.222
1707823978.225485,371175.667,56919,3,AX,1,100,0.224
1707823978.265347,371214.333,56919,3,AX,1,100,0.212
1707823978.305209,371253.000,56919,3,AX,1,100,0.224
1707823978.346445,371293.000,56935,3,AX,1,100,0.218
1707823978.387681,371333.000,56935,3,AX,1,100,0.223
1707823978.428917,371373.000,56935,3,AX,1,100,0.213
1707823978.468607,371411.500,56950,2,AX,1,100,0.235
1707823978.508296,371450.000,56950,2,AX,1,100,0.246
1707823978.548158,371488.667,56967,3,AX,1,100,0.211
1707823978.588019,371527.333,56967,3,AX,1,100,0.219
1707823978.627881,371566.000,56967,3,AX,1,100,0.228
1707823978.667055,371604.000,56984,2,AX,1,100,0.227
1707823978.706229,371642.000,56984,2,AX,1,100,0.213
1707823978.746091,371680.667,57002,3,AX,1,100,0.214
1707823978.785953,371719.333,57002,3,AX,1,100,0.231
1707823978.825814,371758.000,57002,3,AX,1,100,0.237
1707823978.865676,371796.667,57018,3,AX,1,100,0.215
1707823978.905537,371835.333,57018,3,AX,1,100,0.224
1707823978.945399,371874.000,57018,3,AX,1,100,0.224
1707823978.986119,371913.500,57034,2,AX,1,100,0.222
1707823979.026840,371953.000,57034,2,AX,1,100,0.217
1707823979.067045,371992.000,57051,3,AX,1,100,0.224
1707823979.107250,372031.000,57051,3,AX,1,100,0.224
1707823979.147456,372070.000,57051,3,AX,1,100,0.232
