LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1707823974.986734,368034.000,56386,5,AY,1,100,-0.908
1707823974.986734,368034.000,56386,5,AY,1,100,-0.914
1707823974.986734,368034.000,56386,5,AY,1,100,-0.917
1707823974.986734,368034.000,56386,5,AY,1,100,-0.901
1707823974.986734,368034.000,56386,5,AY,1,100,-0.906
1707823975.020754,368067.000,56401,3,AY,1,100,-0.907
1707823975.054774,368100.000,56401,3,AY,1,100,-0.907
1707823975.088794,368133.000,56401,3,AY,1,100,-0.920
1707823975.128484,368171.500,56417,2,AY,1,100,-0.907
1707823975.168173,368210.000,56417,2,AY,1,100,-0.897
1707823975.208035,368248.667,56434,3,AY,1,100,-0.909
1707823975.247896,368287.333,56434,3,AY,1,100,-0.919
1707823975.287758,368326.000,56434,3,AY,1,100,-0.910
1707823975.326932,368364.000,56453,3,AY,1,100,-0.907
1707823975.366106,368402.000,56453,3,AY,1,100,-0.911
1707823975.405281,368440.000,56453,3,AY,1,100,-0.910
1707823975.446517,368480.000,56469,2,AY,1,100,-0.909
1707823975.487753,368520.000,56469,2,AY,1,100,-0.903
1707823975.527958,368559.000,56485,3,AY,1,100,-0.911
1707823975.568163,368598.000,56485,3,AY,1,100,-0.923
1707823975.608368,368637.000,56485,3,AY,1,100,-0.918
1707823975.648058,368675.500,56501,2,AY,1,100,-0.896
1707823975.687748,368714.000,56501,2,AY,1,100,-0.896
1707823975.727610,368752.667,56518,3,AY,1,100,-0.910
1707823975.767471,368791.333,56518,3,AY,1,100,-0.916
1707823975.807333,368830.000,56518,3,AY,1,100,-0.903
1707823975.847194,368868.667,56535,3,AY,1,100,-0.916
1707823975.887056,368907.333,56535,3,AY,1,100,-0.913
1707823975.926917,368946.000,56535,3,AY,1,100,-0.895
1707823975.966607,368984.500,56551,2,AY,1,100,-0.908
1707823976.006297,369023.000,56551,2,AY,1,100,-0.913
1707823976.046502,369062.000,56566,3,AY,1,100,-0.906
1707823976.086707,369101.000,56566,3,AY,1,100,-0.907
1707823976.126912,369140.000,56566,3,AY,1,100,-0.918
1707823976.167117,369179.000,56584,2,AY,1,100,-0.908
1707823976.207323,369218.000,56584,2,AY,1,100,-0.904
1707823976.247184,369256.667,56602,3,AY,1,100,-0.906
1707823976.287046,369295.333,56602,3,AY,1,100,-0.903
1707823976.326907,369334.000,56602,3,AY,1,100,-0.908
1707823976.366769,369372.667,56619,3,AY,1,100,-0.914
1707823976.406630,369411.333,56619,3,AY,1,100,-0.910
1707823976.446492,369450.000,56619,3,AY,1,100,-0.903
1707823976.486697,369489.000,56633,2,AY,1,100,-0.902
1707823976.526902,369528.000,56633,2,AY,1,100,-0.904
1707823976.566420,369566.333,56651,3,AY,1,100,-0.908
1707823976.605938,369604.667,56651,3,AY,1,100,-0.911
1707823976.645456,369643.000,56651,3,AY,1,100,-0.908
1707823976.686177,369682.500,56667,2,AY,1,100,-0.895
1707823976.726897,369722.000,56667,2,AY,1,100,-0.909
1707823976.767103,369761.000,56684,3,AY,1,100,-0.904
1707823976.807308,369800.000,56684,3,AY,1,100,-0.906
1707823976.847513,369839.000,56684,3,AY,1,100,-0.914
1707823976.887718,369878.000,56701,3,AY,1,100,-0.898
1707823976.927923,369917.000,56701,3,AY,1,100,-0.892
1707823976.968128,369956.000,56701,3,AY,1,100,-0.904
1707823977.003523,369990.333,56716,3,AY,1,100,-0.909
