LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1707823974.986734,368034.000,56387,5,AZ,1,100,0.449
1707823974.986734,368034.000,56387,5,AZ,1,100,0.449
1707823974.986734,368034.000,56387,5,AZ,1,100,0.444
1707823974.986734,368034.000,56387,5,AZ,1,100,0.458
1707823974.986734,368034.000,56387,5,AZ,1,100,0.444
1707823975.020754,368067.000,56402,3,AZ,1,100,0.443
1707823975.054774,368100.000,56402,3,AZ,1,100,0.450
1707823975.088794,368133.000,56402,3,AZ,1,100,0.438
1707823975.128484,368171.500,56418,2,AZ,1,100,0.455
1707823975.168173,368210.000,56418,2,AZ,1,100,0.455
1707823975.208035,368248.667,56435,3,AZ,1,100,0.448
1707823975.247896,368287.333,56435,3,AZ,1,100,0.440
1707823975.287758,368326.000,56435,3,AZ,1,100,0.453
1707823975.326932,368364.000,56454,3,AZ,1,100,0.448
1707823975.366106,368402.000,56454,3,AZ,1,100,0.448
1707823975.405281,368440.000,56454,3,AZ,1,100,0.444
1707823975.446517,368480.000,56470,2,AZ,1,100,0.449
1707823975.487753,368520.000,56470,2,AZ,1,100,0.454
1707823975.527958,368559.000,56486,3,AZ,1,100,0.451
1707823975.568163,368598.000,56486,3,AZ,1,100,0.439
1707823975.608368,368637.000,56486,3,AZ,1,100,0.456
1707823975.648058,368675.500,56502,2,AZ,1,100,0.449
1707823975.687748,368714.000,56502,2,AZ,1,100,0.460
1707823975.727610,368752.667,56519,3,AZ,1,100,0.446
1707823975.767471,368791.333,56519,3,AZ,1,100,0.448
1707823975.807333,368830.000,56519,3,AZ,1,100,0.449
1707823975.847194,368868.667,56536,3,AZ,1,100,0.440
1707823975.887056,368907.333,56536,3,AZ,1,100,0.445
1707823975.926917,368946.000,56536,3,AZ,1,100,0.462
1707823975.966607,368984.500,56552,2,AZ,1,100,0.449
1707823976.006297,369023.000,56552,2,AZ,1,100,0.448
1707823976.046502,369062.000,56567,3,AZ,1,100,0.447
1707823976.086707,369101.000,56567,3,AZ,1,100,0.447
1707823976.126912,369140.000,56567,3,AZ,1,100,0.445
1707823976.167117,369179.000,56585,2,AZ,1,100,0.450
1707823976.207323,369218.000,56585,2,AZ,1,100,0.451
1707823976.247184,369256.667,56603,3,AZ,1,100,0.452
1707823976.287046,369295.333,56603,3,AZ,1,100,0.458
1707823976.326907,369334.000,56603,3,AZ,1,100,0.446
1707823976.366769,369372.667,56620,3,AZ,1,100,0.447
1707823976.406630,369411.333,56620,3,AZ,1,100,0.454
1707823976.446492,369450.000,56620,3,AZ,1,100,0.452
1707823976.486697,369489.000,56634,2,AZ,1,100,0.457
1707823976.526902,369528.000,56634,2,AZ,1,100,0.451
1707823976.566420,369566.333,56652,3,AZ,1,100,0.443
1707823976.605938,369604.667,56652,3,AZ,1,100,0.456
1707823976.645456,369643.000,56652,3,AZ,1,100,0.464
1707823976.686177,369682.500,56668,2,AZ,1,100,0.453
1707823976.726897,369722.000,56668,2,AZ,1,100,0.449
1707823976.767103,369761.000,56685,3,AZ,1,100,0.461
1707823976.807308,369800.000,56685,3,AZ,1,100,0.457
1707823976.847513,369839.000,56685,3,AZ,1,100,0.460
1707823976.887718,369878.000,56702,3,AZ,1,100,0.460
1707823976.927923,369917.000,56702,3,AZ,1,100,0.461
