LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1707823978.191809,371143.000,56909,1,B%,1,100, 1
1707823983.193747,375995.000,57699,1,B%,1,100, 2
1707823988.180220,380832.000,58441,1,B%,1,100, 0
1707823993.162570,385665.000,59151,1,B%,1,100, 0
1707823998.145951,390499.000,59944,1,B%,1,100, 2
1707824003.135518,395339.000,60736,1,B%,1,100, 1
1707824008.126115,400180.000,61537,1,B%,1,100, 0
1707824013.108465,405013.000,62323,1,B%,1,100, 3
1707824018.090815,409846.000,63095,1,B%,1,100, 1
1707824023.090691,414696.000,63840,1,B%,1,100, 1
1707824028.080257,419536.000,64550,1,B%,1,100, 0
1707824033.066731,424373.000,65307,1,B%,1,100, 1
1707824038.050112,429207.000,578,1,B%,1,100, 1
1707824043.044833,434052.000,1384,1,B%,1,100, 0
1707824048.033369,438891.000,2167,1,B%,1,100, 0
1707824053.012626,443721.000,2943,1,B%,1,100, 1
1707824058.007347,448566.000,3674,1,B%,1,100, 1
1707824063.000006,453409.000,4418,1,B%,1,100, 1
1707824067.980295,458240.000,5190,1,B%,1,100, 1
1707824072.970892,463081.000,5997,1,B%,1,100, 1
1707824077.961489,467922.000,6786,1,B%,1,100, 4
1707824082.946932,472758.000,7593,1,B%,1,100, 1
1707824087.929282,477591.000,8381,1,B%,1,100, 2
1707824092.914725,482427.000,9109,1,B%,1,100, 2
1707824097.897075,487260.000,9853,1,B%,1,100, 1
1707824102.889734,492103.000,10624,1,B%,1,100, 1
1707824107.880332,496944.000,11412,1,B%,1,100, 1
1707824112.860620,501775.000,12185,1,B%,1,100, 0
1707824117.851217,506616.000,12977,1,B%,1,100, 1
1707824122.844907,511460.000,13766,1,B%,1,100, 1
1707824127.821072,516287.000,14463,1,B%,1,100, 2
1707824132.813731,521130.000,15235,1,B%,1,100, 2
1707824137.805359,525972.000,16036,1,B%,1,100, 1
1707824142.792864,530810.000,16809,1,B%,1,100, 1
1707824147.779338,535647.000,17604,1,B%,1,100, 0
1707824152.773028,540491.000,18408,1,B%,1,100, 1
1707824157.754347,545323.000,19164,1,B%,1,100, 1
1707824162.748037,550167.000,19862,1,B%,1,100, 1
1707824167.735542,555005.000,20636,1,B%,1,100, 1
1707824172.723046,559843.000,21426,1,B%,1,100, 3
1707824177.714675,564685.000,22233,1,B%,1,100, 1
1707824182.703210,569524.000,23039,1,B%,1,100, 1
1707824187.690715,574362.000,23827,1,B%,1,100, 1
1707824192.676158,579198.000,24604,1,B%,1,100, 1
1707824197.656446,584029.000,25317,1,B%,1,100, 1
1707824202.647043,588870.000,26104,1,B%,1,100, 1
1707824207.628363,593702.000,26909,1,B%,1,100, 1
1707824212.628238,598552.000,27682,1,B%,1,100, 0
1707824217.607495,603382.000,28478,1,B%,1,100, 0
