LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1707823975.350643,368387,56443,1,BI,1,100,680
1707823976.272269,369281,56592,1,BI,1,100,920
1707823977.229978,370210,56741,1,BI,1,100,960
1707823978.023772,370980,56874,1,BI,1,100,800
1707823978.795918,371729,56993,1,BI,1,100,760
1707823979.475282,372388,57114,1,BI,1,100,680
1707823979.758781,372663,57148,1,BI,1,100,280
1707823980.400002,373285,57249,1,BI,1,100,640
1707823981.238125,374098,57381,1,BI,1,100,840
1707823981.960788,374799,57499,1,BI,1,100,720
1707823982.727779,375543,57615,1,BI,1,100,760
1707823983.611262,376400,57766,1,BI,1,100,880
1707823984.530827,377292,57884,1,BI,1,100,920
1707823985.529771,378261,58038,1,BI,1,100,1000
1707823986.544179,379245,58172,1,BI,1,100,1000
1707823987.495701,380168,58322,1,BI,1,100,960
1707823988.453409,381097,58459,1,BI,1,100,960
1707823989.369881,381986,58578,1,BI,1,100,920
1707823990.227592,382818,58667,1,BI,1,100,840
1707823991.139940,383703,58818,1,BI,1,100,920
1707823991.973940,384512,58951,1,BI,1,100,840
1707823992.769797,385284,59083,1,BI,1,100,800
1707823993.529572,386021,59203,1,BI,1,100,760
1707823994.338830,386806,59336,1,BI,1,100,800
1707823995.219220,387660,59468,1,BI,1,100,880
1707823996.055282,388471,59610,1,BI,1,100,840
1707823996.890313,389281,59743,1,BI,1,100,840
1707823997.736683,390102,59877,1,BI,1,100,840
1707823998.615012,390954,60012,1,BI,1,100,880
1707823999.455197,391769,60144,1,BI,1,100,840
1707824000.216003,392507,60261,1,BI,1,100,760
1707824000.970623,393239,60382,1,BI,1,100,760
1707824001.782974,394027,60497,1,BI,1,100,800
1707824002.538626,394760,60631,1,BI,1,100,760
1707824003.302524,395501,60755,1,BI,1,100,760
1707824004.101473,396276,60895,1,BI,1,100,800
1707824004.901453,397052,61012,1,BI,1,100,800
1707824005.670506,397798,61145,1,BI,1,100,760
1707824006.506568,398609,61268,1,BI,1,100,840
1707824007.346753,399424,61387,1,BI,1,100,840
1707824008.262194,400312,61538,1,BI,1,100,920
1707824009.103410,401128,61672,1,BI,1,100,840
1707824009.873494,401875,61805,1,BI,1,100,760
1707824010.826048,402799,61954,1,BI,1,100,960
1707824011.662110,403610,62072,1,BI,1,100,840
1707824012.501264,404424,62207,1,BI,1,100,840
1707824013.433200,405328,62357,1,BI,1,100,920
1707824014.351733,406219,62507,1,BI,1,100,920
1707824015.231093,407072,62640,1,BI,1,100,880
1707824016.142410,407956,62788,1,BI,1,100,920
1707824017.113520,408898,62926,1,BI,1,100,960
1707824018.071228,409827,63076,1,BI,1,100,960
1707824018.992855,410721,63211,1,BI,1,100,920
1707824019.872214,411574,63346,1,BI,1,100,880
1707824020.785594,412460,63494,1,BI,1,100,920
1707824021.642273,413291,63613,1,BI,1,100,840
1707824022.482459,414106,63738,1,BI,1,100,840
1707824023.400993,414997,63842,1,BI,1,100,920
1707824024.243240,415814,63928,1,BI,1,100,840
1707824025.134970,416679,64076,1,BI,1,100,880
1707824026.011237,417529,64211,1,BI,1,100,880
1707824026.886473,418378,64361,1,BI,1,100,880
1707824027.767894,419233,64482,1,BI,1,100,880
