LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1707823978.191809,371143.000,56908,1,BV,1,100,3.55
1707823983.193747,375995.000,57698,1,BV,1,100,3.56
1707823988.180220,380832.000,58440,1,BV,1,100,3.55
1707823993.162570,385665.000,59150,1,BV,1,100,3.55
1707823998.145951,390499.000,59943,1,BV,1,100,3.56
1707824003.135518,395339.000,60735,1,BV,1,100,3.56
1707824008.126115,400180.000,61536,1,BV,1,100,3.55
1707824013.108465,405013.000,62322,1,BV,1,100,3.56
1707824018.090815,409846.000,63094,1,BV,1,100,3.56
1707824023.090691,414696.000,63839,1,BV,1,100,3.55
1707824028.080257,419536.000,64549,1,BV,1,100,3.55
1707824033.066731,424373.000,65306,1,BV,1,100,3.55
1707824038.050112,429207.000,577,1,BV,1,100,3.56
1707824043.044833,434052.000,1383,1,BV,1,100,3.55
1707824048.033369,438891.000,2166,1,BV,1,100,3.55
1707824053.012626,443721.000,2942,1,BV,1,100,3.56
1707824058.007347,448566.000,3673,1,BV,1,100,3.56
1707824063.000006,453409.000,4417,1,BV,1,100,3.55
1707824067.980295,458240.000,5189,1,BV,1,100,3.55
1707824072.970892,463081.000,5996,1,BV,1,100,3.55
1707824077.961489,467922.000,6785,1,BV,1,100,3.58
1707824082.946932,472758.000,7592,1,BV,1,100,3.56
1707824087.929282,477591.000,8380,1,BV,1,100,3.57
1707824092.914725,482427.000,9108,1,BV,1,100,3.56
1707824097.897075,487260.000,9852,1,BV,1,100,3.55
1707824102.889734,492103.000,10623,1,BV,1,100,3.56
1707824107.880332,496944.000,11411,1,BV,1,100,3.56
1707824112.860620,501775.000,12184,1,BV,1,100,3.55
1707824117.851217,506616.000,12976,1,BV,1,100,3.55
1707824122.844907,511460.000,13765,1,BV,1,100,3.56
1707824127.821072,516287.000,14462,1,BV,1,100,3.56
1707824132.813731,521130.000,15234,1,BV,1,100,3.56
1707824137.805359,525972.000,16035,1,BV,1,100,3.56
1707824142.792864,530810.000,16808,1,BV,1,100,3.55
1707824147.779338,535647.000,17603,1,BV,1,100,3.55
1707824152.773028,540491.000,18407,1,BV,1,100,3.57
1707824157.754347,545323.000,19163,1,BV,1,100,3.56
1707824162.748037,550167.000,19861,1,BV,1,100,3.56
1707824167.735542,555005.000,20635,1,BV,1,100,3.57
1707824172.723046,559843.000,21425,1,BV,1,100,3.57
1707824177.714675,564685.000,22232,1,BV,1,100,3.56
1707824182.703210,569524.000,23038,1,BV,1,100,3.57
1707824187.690715,574362.000,23826,1,BV,1,100,3.56
1707824192.676158,579198.000,24603,1,BV,1,100,3.56
1707824197.656446,584029.000,25316,1,BV,1,100,3.57
1707824202.647043,588870.000,26103,1,BV,1,100,3.56
1707824207.628363,593702.000,26908,1,BV,1,100,3.56
1707824212.628238,598552.000,27681,1,BV,1,100,3.55
1707824217.607495,603382.000,28477,1,BV,1,100,3.55
