LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1707823975.035187,368081.000,56397,1,EA,1,100,4.457341
1707823975.101680,368145.500,56413,2,EA,1,100,4.463090
1707823975.168173,368210.000,56413,2,EA,1,100,4.460224
1707823975.234151,368274.000,56429,2,EA,1,100,4.445887
1707823975.300129,368338.000,56429,2,EA,1,100,4.460224
1707823975.367137,368403.000,56448,1,EA,1,100,4.457341
1707823975.434146,368468.000,56464,2,EA,1,100,4.440162
1707823975.501155,368533.000,56464,2,EA,1,100,4.454482
1707823975.568163,368598.000,56482,1,EA,1,100,4.477559
1707823975.634656,368662.500,56496,2,EA,1,100,4.457341
1707823975.701150,368727.000,56496,2,EA,1,100,4.471752
1707823975.768158,368792.000,56513,1,EA,1,100,4.468874
1707823975.834136,368856.000,56530,2,EA,1,100,4.448735
1707823975.900114,368920.000,56530,2,EA,1,100,4.460224
1707823975.966092,368984.000,56547,2,EA,1,100,4.451587
1707823976.032069,369048.000,56547,2,EA,1,100,4.434452
1707823976.099078,369113.000,56562,1,EA,1,100,4.465981
1707823976.166602,369178.500,56579,2,EA,1,100,4.471752
1707823976.234126,369244.000,56579,2,EA,1,100,4.451587
1707823976.301135,369309.000,56597,1,EA,1,100,4.454482
1707823976.367628,369373.500,56614,2,EA,1,100,4.474673
1707823976.434121,369438.000,56614,2,EA,1,100,4.451587
1707823976.499068,369501.000,56630,1,EA,1,100,4.465981
1707823976.565561,369565.500,56646,2,EA,1,100,4.463090
1707823976.632054,369630.000,56646,2,EA,1,100,4.437305
1707823976.700094,369696.000,56662,1,EA,1,100,4.448735
1707823976.767618,369761.500,56679,2,EA,1,100,4.460224
1707823976.835142,369827.000,56679,2,EA,1,100,4.437305
1707823976.901635,369891.500,56696,2,EA,1,100,4.457341
1707823976.968128,369956.000,56696,2,EA,1,100,4.465981
1707823977.034106,370020.000,56713,1,EA,1,100,4.451587
1707823977.100084,370084.000,56727,2,EA,1,100,4.457341
1707823977.166062,370148.000,56727,2,EA,1,100,4.454482
1707823977.233070,370213.000,56747,1,EA,1,100,4.440162
1707823977.299048,370277.000,56763,2,EA,1,100,4.465981
1707823977.365026,370341.000,56763,2,EA,1,100,4.471752
1707823977.431004,370405.000,56780,1,EA,1,100,4.448735
1707823977.496981,370469.000,56796,2,EA,1,100,4.468874
1707823977.562959,370533.000,56796,2,EA,1,100,4.465981
1707823977.628937,370597.000,56812,2,EA,1,100,4.448735
1707823977.694914,370661.000,56812,2,EA,1,100,4.451587
1707823977.761923,370726.000,56828,1,EA,1,100,4.448735
1707823977.827901,370790.000,56846,2,EA,1,100,4.408996
1707823977.893879,370854.000,56846,2,EA,1,100,4.414621
1707823977.959856,370918.000,56862,1,EA,1,100,4.434452
1707823978.026350,370982.500,56879,2,EA,1,100,4.408996
1707823978.092843,371047.000,56879,2,EA,1,100,4.417469
1707823978.158820,371111.000,56895,1,EA,1,100,4.423096
1707823978.225314,371175.500,56915,2,EA,1,100,4.414621
1707823978.291807,371240.000,56915,2,EA,1,100,4.443003
1707823978.360362,371306.500,56931,2,EA,1,100,4.451587
1707823978.428917,371373.000,56931,2,EA,1,100,4.423096
1707823978.494895,371437.000,56948,1,EA,1,100,4.440162
1707823978.561388,371501.500,56963,2,EA,1,100,4.448735
1707823978.627881,371566.000,56963,2,EA,1,100,4.417469
