LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1707823975.035187,368081.000,56398,1,EL,1,100,-19214.599609
1707823975.101680,368145.500,56414,2,EL,1,100,-19215.000000
1707823975.168173,368210.000,56414,2,EL,1,100,-19214.800781
1707823975.234151,368274.000,56430,2,EL,1,100,-19213.800781
1707823975.300129,368338.000,56430,2,EL,1,100,-19214.800781
1707823975.367137,368403.000,56449,1,EL,1,100,-19214.599609
1707823975.434146,368468.000,56465,2,EL,1,100,-19213.400391
1707823975.501155,368533.000,56465,2,EL,1,100,-19214.400391
1707823975.568163,368598.000,56483,1,EL,1,100,-19216.000000
1707823975.634656,368662.500,56497,2,EL,1,100,-19214.599609
1707823975.701150,368727.000,56497,2,EL,1,100,-19215.599609
1707823975.768158,368792.000,56514,1,EL,1,100,-19215.400391
1707823975.834136,368856.000,56531,2,EL,1,100,-19214.000000
1707823975.900114,368920.000,56531,2,EL,1,100,-19214.800781
1707823975.966092,368984.000,56548,2,EL,1,100,-19214.199219
1707823976.032069,369048.000,56548,2,EL,1,100,-19213.000000
1707823976.099078,369113.000,56563,1,EL,1,100,-19215.199219
1707823976.166602,369178.500,56580,2,EL,1,100,-19215.599609
1707823976.234126,369244.000,56580,2,EL,1,100,-19214.199219
1707823976.301135,369309.000,56598,1,EL,1,100,-19214.400391
1707823976.367628,369373.500,56615,2,EL,1,100,-19215.800781
1707823976.434121,369438.000,56615,2,EL,1,100,-19214.199219
1707823976.499068,369501.000,56631,1,EL,1,100,-19215.199219
1707823976.565561,369565.500,56647,2,EL,1,100,-19215.000000
1707823976.632054,369630.000,56647,2,EL,1,100,-19213.199219
1707823976.700094,369696.000,56663,1,EL,1,100,-19214.000000
1707823976.767618,369761.500,56680,2,EL,1,100,-19214.800781
1707823976.835142,369827.000,56680,2,EL,1,100,-19213.199219
1707823976.901635,369891.500,56697,2,EL,1,100,-19214.599609
1707823976.968128,369956.000,56697,2,EL,1,100,-19215.199219
1707823977.034106,370020.000,56714,1,EL,1,100,-19214.199219
1707823977.100084,370084.000,56728,2,EL,1,100,-19214.599609
1707823977.166062,370148.000,56728,2,EL,1,100,-19214.400391
1707823977.233070,370213.000,56748,1,EL,1,100,-19213.400391
1707823977.299048,370277.000,56764,2,EL,1,100,-19215.199219
1707823977.365026,370341.000,56764,2,EL,1,100,-19215.599609
1707823977.431004,370405.000,56781,1,EL,1,100,-19214.000000
1707823977.496981,370469.000,56797,2,EL,1,100,-19215.400391
1707823977.562959,370533.000,56797,2,EL,1,100,-19215.199219
1707823977.628937,370597.000,56813,2,EL,1,100,-19214.000000
1707823977.694914,370661.000,56813,2,EL,1,100,-19214.199219
1707823977.761923,370726.000,56829,1,EL,1,100,-19214.000000
1707823977.827901,370790.000,56847,2,EL,1,100,-19211.199219
1707823977.893879,370854.000,56847,2,EL,1,100,-19211.599609
1707823977.959856,370918.000,56863,1,EL,1,100,-19213.000000
1707823978.026350,370982.500,56880,2,EL,1,100,-19211.199219
1707823978.092843,371047.000,56880,2,EL,1,100,-19211.800781
1707823978.158820,371111.000,56896,1,EL,1,100,-19212.199219
1707823978.225314,371175.500,56916,2,EL,1,100,-19211.599609
1707823978.291807,371240.000,56916,2,EL,1,100,-19213.599609
1707823978.360362,371306.500,56932,2,EL,1,100,-19214.199219
1707823978.428917,371373.000,56932,2,EL,1,100,-19212.199219
1707823978.494895,371437.000,56949,1,EL,1,100,-19213.400391
1707823978.561388,371501.500,56964,2,EL,1,100,-19214.000000
1707823978.627881,371566.000,56964,2,EL,1,100,-19211.800781
1707823978.693859,371630.000,56981,1,EL,1,100,-19213.400391
1707823978.759836,371694.000,56999,2,EL,1,100,-19214.000000
1707823978.825814,371758.000,56999,2,EL,1,100,-19210.199219
1707823978.890761,371821.000,57017,1,EL,1,100,-19212.199219
1707823978.958801,371887.000,57031,2,EL,1,100,-19213.800781
1707823979.026840,371953.000,57031,2,EL,1,100,-19211.199219
1707823979.094880,372019.000,57048,1,EL,1,100,-19212.599609
1707823979.161373,372083.500,57065,2,EL,1,100,-19213.199219
1707823979.227866,372148.000,57065,2,EL,1,100,-19212.800781
1707823979.293328,372211.500,57082,2,EL,1,100,-19213.599609
1707823979.358791,372275.000,57082,2,EL,1,100,-19213.199219
1707823979.424768,372339.000,57098,1,EL,1,100,-19211.599609
1707823979.492121,372404.333,57121,3,EL,1,100,-19212.599609
1707823979.559473,372469.667,57121,3,EL,1,100,-19213.400391
1707823979.626825,372535.000,57121,3,EL,1,100,-19211.599609
1707823979.693834,372600.000,57137,1,EL,1,100,-19212.400391
1707823979.760327,372664.500,57154,2,EL,1,100,-19212.199219
1707823979.826820,372729.000,57154,2,EL,1,100,-19211.000000
1707823979.894860,372795.000,57171,1,EL,1,100,-19212.800781
1707823979.961353,372859.500,57188,2,EL,1,100,-19212.599609
1707823980.027846,372924.000,57188,2,EL,1,100,-19210.599609
1707823980.095370,372989.500,57204,2,EL,1,100,-19212.599609
1707823980.162894,373055.000,57204,2,EL,1,100,-19213.400391
1707823980.228872,373119.000,57222,1,EL,1,100,-19211.599609
1707823980.295365,373183.500,57236,2,EL,1,100,-19212.800781
1707823980.361858,373248.000,57236,2,EL,1,100,-19213.599609
1707823980.427836,373312.000,57255,1,EL,1,100,-19212.599609
1707823980.494329,373376.500,57272,2,EL,1,100,-19212.199219
1707823980.560822,373441.000,57272,2,EL,1,100,-19210.199219
1707823980.625769,373504.000,57289,1,EL,1,100,-19207.599609
1707823980.693809,373570.000,57303,2,EL,1,100,-19210.000000
1707823980.761848,373636.000,57303,2,EL,1,100,-19212.599609
1707823980.828342,373700.500,57321,2,EL,1,100,-19211.400391
1707823980.894835,373765.000,57321,2,EL,1,100,-19211.800781
1707823980.961843,373830.000,57337,1,EL,1,100,-19212.400391
1707823981.027821,373894.000,57354,2,EL,1,100,-19210.800781
1707823981.093799,373958.000,57354,2,EL,1,100,-19212.000000
1707823981.159777,374022.000,57370,1,EL,1,100,-19213.599609
1707823981.226785,374087.000,57388,2,EL,1,100,-19211.800781
1707823981.293794,374152.000,57388,2,EL,1,100,-19211.800781
1707823981.361833,374218.000,57404,1,EL,1,100,-19211.199219
1707823981.428842,374283.000,57421,2,EL,1,100,-19209.199219
1707823981.495851,374348.000,57421,2,EL,1,100,-19210.000000
1707823981.561828,374412.000,57438,1,EL,1,100,-19211.199219
1707823981.628322,374476.500,57454,2,EL,1,100,-19210.599609
1707823981.694815,374541.000,57454,2,EL,1,100,-19211.000000
1707823981.760277,374604.500,57469,2,EL,1,100,-19211.599609
1707823981.825739,374668.000,57469,2,EL,1,100,-19210.000000
1707823981.893779,374734.000,57487,1,EL,1,100,-19211.800781
1707823981.961303,374799.500,57505,2,EL,1,100,-19212.400391
1707823982.028827,374865.000,57505,2,EL,1,100,-19211.000000
1707823982.094805,374929.000,57522,1,EL,1,100,-19210.400391
1707823982.160783,374993.000,57537,2,EL,1,100,-19211.199219
1707823982.226760,375057.000,57537,2,EL,1,100,-19209.000000
1707823982.294800,375123.000,57554,1,EL,1,100,-19209.800781
1707823982.360778,375187.000,57570,2,EL,1,100,-19210.000000
1707823982.426755,375251.000,57570,2,EL,1,100,-19209.800781
1707823982.493249,375315.500,57588,2,EL,1,100,-19211.199219
1707823982.559742,375380.000,57588,2,EL,1,100,-19211.000000
1707823982.625719,375444.000,57604,1,EL,1,100,-19209.800781
1707823982.691182,375507.500,57621,2,EL,1,100,-19211.000000
1707823982.756644,375571.000,57621,2,EL,1,100,-19211.599609
1707823982.823653,375636.000,57637,1,EL,1,100,-19209.800781
1707823982.891177,375701.500,57655,2,EL,1,100,-19211.000000
