LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1707823974.984673,368032.000,56384,4,EM,1,100,RS
1707823974.984673,368032.000,56384,4,EM,1,100,RB
1707823974.984673,368032.000,56384,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823974.984673,368032.000,56384,4,EM,1,100,PS
1707823975.036476,368082.250,56409,4,EM,1,100,RS
1707823975.088278,368132.500,56409,4,EM,1,100,RB
1707823975.140081,368182.750,56409,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823975.191884,368233.000,56409,4,EM,1,100,PS
1707823975.243687,368283.250,56442,4,EM,1,100,RS
1707823975.295490,368333.500,56442,4,EM,1,100,RB
1707823975.347293,368383.750,56442,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823975.399095,368434.000,56442,4,EM,1,100,PS
1707823975.450898,368484.250,56477,4,EM,1,100,RS
1707823975.502701,368534.500,56477,4,EM,1,100,RB
1707823975.554504,368584.750,56477,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823975.606307,368635.000,56477,4,EM,1,100,PS
1707823975.658110,368685.250,56509,4,EM,1,100,RS
1707823975.709912,368735.500,56509,4,EM,1,100,RB
1707823975.761715,368785.750,56509,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823975.813518,368836.000,56509,4,EM,1,100,PS
1707823975.865321,368886.250,56543,4,EM,1,100,RS
1707823975.917124,368936.500,56543,4,EM,1,100,RB
1707823975.968927,368986.750,56543,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823976.020729,369037.000,56543,4,EM,1,100,PS
1707823976.072532,369087.250,56574,4,EM,1,100,RS
1707823976.124335,369137.500,56574,4,EM,1,100,RB
1707823976.176138,369187.750,56574,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823976.227941,369238.000,56574,4,EM,1,100,PS
1707823976.279744,369288.250,56610,4,EM,1,100,RS
1707823976.331546,369338.500,56610,4,EM,1,100,RB
1707823976.383349,369388.750,56610,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823976.435152,369439.000,56610,4,EM,1,100,PS
1707823976.486955,369489.250,56641,4,EM,1,100,RS
1707823976.538758,369539.500,56641,4,EM,1,100,RB
1707823976.590561,369589.750,56641,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823976.642363,369640.000,56641,4,EM,1,100,PS
1707823976.694166,369690.250,56675,4,EM,1,100,RS
1707823976.745969,369740.500,56675,4,EM,1,100,RB
1707823976.797772,369790.750,56675,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823976.849575,369841.000,56675,4,EM,1,100,PS
1707823976.901378,369891.250,56709,4,EM,1,100,RS
1707823976.953180,369941.500,56709,4,EM,1,100,RB
1707823977.004983,369991.750,56709,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823977.056786,370042.000,56709,4,EM,1,100,PS
1707823977.108589,370092.250,56740,4,EM,1,100,RS
1707823977.160392,370142.500,56740,4,EM,1,100,RB
1707823977.212195,370192.750,56740,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823977.263997,370243.000,56740,4,EM,1,100,PS
1707823977.315800,370293.250,56776,4,EM,1,100,RS
1707823977.367603,370343.500,56776,4,EM,1,100,RB
1707823977.419406,370393.750,56776,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823977.471209,370444.000,56776,4,EM,1,100,PS
1707823977.523012,370494.250,56808,4,EM,1,100,RS
1707823977.574814,370544.500,56808,4,EM,1,100,RB
1707823977.626617,370594.750,56808,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823977.678420,370645.000,56808,4,EM,1,100,PS
1707823977.730223,370695.250,56841,4,EM,1,100,RS
1707823977.782026,370745.500,56841,4,EM,1,100,RB
1707823977.833829,370795.750,56841,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823977.885631,370846.000,56841,4,EM,1,100,PS
1707823977.937434,370896.250,56873,4,EM,1,100,RS
1707823977.989237,370946.500,56873,4,EM,1,100,RB
1707823978.041040,370996.750,56873,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823978.092843,371047.000,56873,4,EM,1,100,PS
1707823978.144646,371097.250,56910,4,EM,1,100,RS
1707823978.196448,371147.500,56910,4,EM,1,100,RB
1707823978.248251,371197.750,56910,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823978.300054,371248.000,56910,4,EM,1,100,PS
1707823978.351857,371298.250,56944,4,EM,1,100,RS
1707823978.403660,371348.500,56944,4,EM,1,100,RB
1707823978.455463,371398.750,56944,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823978.507265,371449.000,56944,4,EM,1,100,PS
1707823978.559068,371499.250,56976,4,EM,1,100,RS
1707823978.610871,371549.500,56976,4,EM,1,100,RB
1707823978.662674,371599.750,56976,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823978.714477,371650.000,56976,4,EM,1,100,PS
1707823978.766280,371700.250,57011,4,EM,1,100,RS
1707823978.818082,371750.500,57011,4,EM,1,100,RB
1707823978.869885,371800.750,57011,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823978.921688,371851.000,57011,4,EM,1,100,PS
1707823978.973491,371901.250,57043,4,EM,1,100,RS
1707823979.025294,371951.500,57043,4,EM,1,100,RB
1707823979.077097,372001.750,57043,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823979.128899,372052.000,57043,4,EM,1,100,PS
1707823979.180702,372102.250,57077,4,EM,1,100,RS
1707823979.232505,372152.500,57077,4,EM,1,100,RB
1707823979.284308,372202.750,57077,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823979.336111,372253.000,57077,4,EM,1,100,PS
1707823979.409047,372323.750,57113,4,EM,1,100,RS
1707823979.481983,372394.500,57113,4,EM,1,100,RB
1707823979.554920,372465.250,57113,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823979.627856,372536.000,57113,4,EM,1,100,PS
1707823979.679401,372586.000,57147,4,EM,1,100,RS
1707823979.730946,372636.000,57147,4,EM,1,100,RB
1707823979.782491,372686.000,57147,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823979.834036,372736.000,57147,4,EM,1,100,PS
1707823979.887643,372788.000,57183,4,EM,1,100,RS
1707823979.941250,372840.000,57183,4,EM,1,100,RB
1707823979.994857,372892.000,57183,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823980.048464,372944.000,57183,4,EM,1,100,PS
1707823980.100267,372994.250,57216,4,EM,1,100,RS
1707823980.152070,373044.500,57216,4,EM,1,100,RB
1707823980.203873,373094.750,57216,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823980.255675,373145.000,57216,4,EM,1,100,PS
1707823980.307478,373195.250,57248,4,EM,1,100,RS
1707823980.359281,373245.500,57248,4,EM,1,100,RB
1707823980.411084,373295.750,57248,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823980.462887,373346.000,57248,4,EM,1,100,PS
1707823980.514690,373396.250,57284,4,EM,1,100,RS
1707823980.566492,373446.500,57284,4,EM,1,100,RB
1707823980.618295,373496.750,57284,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823980.670098,373547.000,57284,4,EM,1,100,PS
1707823980.721901,373597.250,57315,4,EM,1,100,RS
1707823980.773704,373647.500,57315,4,EM,1,100,RB
1707823980.825507,373697.750,57315,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823980.877309,373748.000,57315,4,EM,1,100,PS
1707823980.929112,373798.250,57349,4,EM,1,100,RS
1707823980.980915,373848.500,57349,4,EM,1,100,RB
1707823981.032718,373898.750,57349,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823981.084521,373949.000,57349,4,EM,1,100,PS
1707823981.136324,373999.250,57380,4,EM,1,100,RS
1707823981.188126,374049.500,57380,4,EM,1,100,RB
1707823981.239929,374099.750,57380,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823981.291732,374150.000,57380,4,EM,1,100,PS
1707823981.343535,374200.250,57416,4,EM,1,100,RS
1707823981.395338,374250.500,57416,4,EM,1,100,RB
1707823981.447141,374300.750,57416,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823981.498943,374351.000,57416,4,EM,1,100,PS
1707823981.550746,374401.250,57449,4,EM,1,100,RS
1707823981.602549,374451.500,57449,4,EM,1,100,RB
1707823981.654352,374501.750,57449,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823981.706155,374552.000,57449,4,EM,1,100,PS
1707823981.757958,374602.250,57481,4,EM,1,100,RS
1707823981.809760,374652.500,57481,4,EM,1,100,RB
1707823981.861563,374702.750,57481,4,EM,1,100,2024-02-13_11-32-54-761776.csv
1707823981.913366,374753.000,57481,4,EM,1,100,PS
1707823981.965169,374803.250,57517,4,EM,1,100,RS
1707823982.016972,374853.500,57517,4,EM,1,100,RB
