LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1707823974.986734,368034.000,56388,5,GX,1,100,-0.275
1707823974.986734,368034.000,56388,5,GX,1,100,0.153
1707823974.986734,368034.000,56388,5,GX,1,100,-0.366
1707823974.986734,368034.000,56388,5,GX,1,100,-0.549
1707823974.986734,368034.000,56388,5,GX,1,100,-0.885
1707823975.020754,368067.000,56403,3,GX,1,100,0.061
1707823975.054774,368100.000,56403,3,GX,1,100,0.397
1707823975.088794,368133.000,56403,3,GX,1,100,0.122
1707823975.128484,368171.500,56419,2,GX,1,100,-1.251
1707823975.168173,368210.000,56419,2,GX,1,100,-1.251
1707823975.208035,368248.667,56436,3,GX,1,100,-0.305
1707823975.247896,368287.333,56436,3,GX,1,100,0.122
1707823975.287758,368326.000,56436,3,GX,1,100,0.397
1707823975.326932,368364.000,56455,3,GX,1,100,-0.519
1707823975.366106,368402.000,56455,3,GX,1,100,-1.099
1707823975.405281,368440.000,56455,3,GX,1,100,-1.190
1707823975.446517,368480.000,56471,2,GX,1,100,-0.366
1707823975.487753,368520.000,56471,2,GX,1,100,-0.122
1707823975.527958,368559.000,56487,3,GX,1,100,-0.214
1707823975.568163,368598.000,56487,3,GX,1,100,-0.427
1707823975.608368,368637.000,56487,3,GX,1,100,-0.885
1707823975.648058,368675.500,56503,2,GX,1,100,-0.641
1707823975.687748,368714.000,56503,2,GX,1,100,-0.793
1707823975.727610,368752.667,56520,3,GX,1,100,-1.343
1707823975.767471,368791.333,56520,3,GX,1,100,-0.458
1707823975.807333,368830.000,56520,3,GX,1,100,0.458
1707823975.847194,368868.667,56537,3,GX,1,100,0.214
1707823975.887056,368907.333,56537,3,GX,1,100,-1.007
1707823975.926917,368946.000,56537,3,GX,1,100,-0.641
1707823975.966607,368984.500,56553,2,GX,1,100,-0.275
1707823976.006297,369023.000,56553,2,GX,1,100,0.122
1707823976.046502,369062.000,56568,3,GX,1,100,0.977
1707823976.086707,369101.000,56568,3,GX,1,100,1.343
1707823976.126912,369140.000,56568,3,GX,1,100,0.000
1707823976.167117,369179.000,56586,2,GX,1,100,-0.519
1707823976.207323,369218.000,56586,2,GX,1,100,-0.336
1707823976.247184,369256.667,56604,3,GX,1,100,-0.488
1707823976.287046,369295.333,56604,3,GX,1,100,-0.305
1707823976.326907,369334.000,56604,3,GX,1,100,0.793
1707823976.366769,369372.667,56621,3,GX,1,100,0.610
1707823976.406630,369411.333,56621,3,GX,1,100,-0.458
1707823976.446492,369450.000,56621,3,GX,1,100,-0.183
1707823976.486697,369489.000,56635,2,GX,1,100,0.183
1707823976.526902,369528.000,56635,2,GX,1,100,0.549
1707823976.566420,369566.333,56653,3,GX,1,100,2.106
1707823976.605938,369604.667,56653,3,GX,1,100,0.580
1707823976.645456,369643.000,56653,3,GX,1,100,-0.549
1707823976.686177,369682.500,56669,2,GX,1,100,0.702
1707823976.726897,369722.000,56669,2,GX,1,100,1.068
1707823976.767103,369761.000,56686,3,GX,1,100,0.580
1707823976.807308,369800.000,56686,3,GX,1,100,0.885
1707823976.847513,369839.000,56686,3,GX,1,100,-0.153
1707823976.887718,369878.000,56703,3,GX,1,100,-0.885
1707823976.927923,369917.000,56703,3,GX,1,100,0.793
1707823976.968128,369956.000,56703,3,GX,1,100,0.885
1707823977.003523,369990.333,56718,3,GX,1,100,0.244
1707823977.038917,370024.667,56718,3,GX,1,100,-0.458
1707823977.074311,370059.000,56718,3,GX,1,100,-1.160
1707823977.114001,370097.500,56734,2,GX,1,100,-1.831
1707823977.153691,370136.000,56734,2,GX,1,100,-2.472
1707823977.192865,370174.000,56754,3,GX,1,100,-2.594
1707823977.232039,370212.000,56754,3,GX,1,100,-3.235
1707823977.271214,370250.000,56754,3,GX,1,100,-3.113
1707823977.311075,370288.667,56770,3,GX,1,100,-0.488
1707823977.350937,370327.333,56770,3,GX,1,100,1.099
1707823977.390798,370366.000,56770,3,GX,1,100,1.190
1707823977.431004,370405.000,56786,2,GX,1,100,1.251
1707823977.471209,370444.000,56786,2,GX,1,100,-0.427
1707823977.511070,370482.667,56802,3,GX,1,100,-1.709
1707823977.550932,370521.333,56802,3,GX,1,100,-1.495
1707823977.590793,370560.000,56802,3,GX,1,100,-0.702
1707823977.629968,370598.000,56819,2,GX,1,100,0.427
1707823977.669142,370636.000,56819,2,GX,1,100,0.763
1707823977.709003,370674.667,56835,3,GX,1,100,0.427
1707823977.748865,370713.333,56835,3,GX,1,100,-1.129
1707823977.788727,370752.000,56835,3,GX,1,100,0.366
1707823977.827901,370790.000,56853,3,GX,1,100,1.038
1707823977.867075,370828.000,56853,3,GX,1,100,1.678
1707823977.906249,370866.000,56853,3,GX,1,100,1.007
1707823977.946455,370905.000,56867,2,GX,1,100,0.702
1707823977.986660,370944.000,56867,2,GX,1,100,-0.610
1707823978.026521,370982.667,56886,3,GX,1,100,-0.458
1707823978.066383,371021.333,56886,3,GX,1,100,-0.092
1707823978.106244,371060.000,56886,3,GX,1,100,0.244
1707823978.145934,371098.500,56902,2,GX,1,100,-1.038
1707823978.185624,371137.000,56902,2,GX,1,100,-1.099
1707823978.225485,371175.667,56922,3,GX,1,100,-1.221
1707823978.265347,371214.333,56922,3,GX,1,100,-1.343
1707823978.305209,371253.000,56922,3,GX,1,100,-1.251
1707823978.346445,371293.000,56938,3,GX,1,100,-0.671
1707823978.387681,371333.000,56938,3,GX,1,100,-0.702
1707823978.428917,371373.000,56938,3,GX,1,100,0.031
1707823978.468607,371411.500,56953,2,GX,1,100,1.068
1707823978.508296,371450.000,56953,2,GX,1,100,1.953
1707823978.548158,371488.667,56970,3,GX,1,100,0.183
1707823978.588019,371527.333,56970,3,GX,1,100,-1.556
1707823978.627881,371566.000,56970,3,GX,1,100,0.336
1707823978.667055,371604.000,56987,2,GX,1,100,-0.153
1707823978.706229,371642.000,56987,2,GX,1,100,-0.122
