LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707823974.986734,368034.000,56390,5,GZ,1,100,-0.366
1707823974.986734,368034.000,56390,5,GZ,1,100,-1.038
1707823974.986734,368034.000,56390,5,GZ,1,100,-0.946
1707823974.986734,368034.000,56390,5,GZ,1,100,0.061
1707823974.986734,368034.000,56390,5,GZ,1,100,0.580
1707823975.020754,368067.000,56405,3,GZ,1,100,0.031
1707823975.054774,368100.000,56405,3,GZ,1,100,-0.122
1707823975.088794,368133.000,56405,3,GZ,1,100,-1.343
1707823975.128484,368171.500,56421,2,GZ,1,100,-0.488
1707823975.168173,368210.000,56421,2,GZ,1,100,1.282
1707823975.208035,368248.667,56438,3,GZ,1,100,0.397
1707823975.247896,368287.333,56438,3,GZ,1,100,-0.824
1707823975.287758,368326.000,56438,3,GZ,1,100,0.000
1707823975.326932,368364.000,56457,3,GZ,1,100,0.763
1707823975.366106,368402.000,56457,3,GZ,1,100,-0.153
1707823975.405281,368440.000,56457,3,GZ,1,100,-0.763
1707823975.446517,368480.000,56473,2,GZ,1,100,-0.427
1707823975.487753,368520.000,56473,2,GZ,1,100,-0.122
1707823975.527958,368559.000,56489,3,GZ,1,100,-0.366
1707823975.568163,368598.000,56489,3,GZ,1,100,-1.526
1707823975.608368,368637.000,56489,3,GZ,1,100,-2.014
1707823975.648058,368675.500,56505,2,GZ,1,100,0.031
1707823975.687748,368714.000,56505,2,GZ,1,100,0.946
1707823975.727610,368752.667,56522,3,GZ,1,100,-0.854
1707823975.767471,368791.333,56522,3,GZ,1,100,-1.282
1707823975.807333,368830.000,56522,3,GZ,1,100,-0.183
1707823975.847194,368868.667,56539,3,GZ,1,100,-1.404
1707823975.887056,368907.333,56539,3,GZ,1,100,-1.068
1707823975.926917,368946.000,56539,3,GZ,1,100,2.014
1707823975.966607,368984.500,56555,2,GZ,1,100,1.984
1707823976.006297,369023.000,56555,2,GZ,1,100,0.031
1707823976.046502,369062.000,56570,3,GZ,1,100,-0.031
1707823976.086707,369101.000,56570,3,GZ,1,100,-0.549
1707823976.126912,369140.000,56570,3,GZ,1,100,-1.648
1707823976.167117,369179.000,56588,2,GZ,1,100,0.183
1707823976.207323,369218.000,56588,2,GZ,1,100,1.007
1707823976.247184,369256.667,56606,3,GZ,1,100,-0.214
1707823976.287046,369295.333,56606,3,GZ,1,100,-0.641
1707823976.326907,369334.000,56606,3,GZ,1,100,-0.488
1707823976.366769,369372.667,56623,3,GZ,1,100,-1.099
1707823976.406630,369411.333,56623,3,GZ,1,100,-0.854
1707823976.446492,369450.000,56623,3,GZ,1,100,0.305
1707823976.486697,369489.000,56637,2,GZ,1,100,0.122
1707823976.526902,369528.000,56637,2,GZ,1,100,-0.061
1707823976.566420,369566.333,56655,3,GZ,1,100,-0.153
1707823976.605938,369604.667,56655,3,GZ,1,100,-0.977
