LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1707823975.350643,368387,56444,1,HR,1,100,74
1707823976.272269,369281,56593,1,HR,1,100,72
1707823977.229978,370210,56742,1,HR,1,100,70
1707823978.023772,370980,56875,1,HR,1,100,71
1707823978.795918,371729,56994,1,HR,1,100,73
1707823979.475282,372388,57115,1,HR,1,100,76
1707823979.758781,372663,57149,1,HR,1,100,107
1707823980.400002,373285,57250,1,HR,1,100,104
1707823981.238125,374098,57382,1,HR,1,100,97
1707823981.960788,374799,57500,1,HR,1,100,94
1707823982.727779,375543,57616,1,HR,1,100,90
1707823983.611262,376400,57767,1,HR,1,100,86
1707823984.530827,377292,57885,1,HR,1,100,81
1707823985.529771,378261,58039,1,HR,1,100,76
1707823986.544179,379245,58173,1,HR,1,100,73
1707823987.495701,380168,58323,1,HR,1,100,70
1707823988.453409,381097,58460,1,HR,1,100,69
1707823989.369881,381986,58579,1,HR,1,100,68
1707823990.227592,382818,58668,1,HR,1,100,69
1707823991.139940,383703,58819,1,HR,1,100,68
1707823991.973940,384512,58952,1,HR,1,100,69
1707823992.769797,385284,59084,1,HR,1,100,70
1707823993.529572,386021,59204,1,HR,1,100,72
1707823994.338830,386806,59337,1,HR,1,100,73
1707823995.219220,387660,59469,1,HR,1,100,72
1707823996.055282,388471,59611,1,HR,1,100,72
1707823996.890313,389281,59744,1,HR,1,100,72
1707823997.736683,390102,59878,1,HR,1,100,72
1707823998.615012,390954,60013,1,HR,1,100,71
1707823999.455197,391769,60145,1,HR,1,100,71
1707824000.216003,392507,60262,1,HR,1,100,73
1707824000.970623,393239,60383,1,HR,1,100,74
1707824001.782974,394027,60498,1,HR,1,100,74
1707824002.538626,394760,60632,1,HR,1,100,75
1707824003.302524,395501,60756,1,HR,1,100,76
1707824004.101473,396276,60896,1,HR,1,100,76
1707824004.901453,397052,61013,1,HR,1,100,76
1707824005.670506,397798,61146,1,HR,1,100,76
1707824006.506568,398609,61269,1,HR,1,100,75
1707824007.346753,399424,61388,1,HR,1,100,74
1707824008.262194,400312,61539,1,HR,1,100,72
1707824009.103410,401128,61673,1,HR,1,100,72
1707824009.873494,401875,61806,1,HR,1,100,74
1707824010.826048,402799,61955,1,HR,1,100,71
1707824011.662110,403610,62073,1,HR,1,100,71
1707824012.501264,404424,62208,1,HR,1,100,71
1707824013.433200,405328,62358,1,HR,1,100,70
1707824014.351733,406219,62508,1,HR,1,100,69
