LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1707823974.986734,368034.000,56391,5,MX,1,100,-25
1707823974.986734,368034.000,56391,5,MX,1,100,-25
1707823974.986734,368034.000,56391,5,MX,1,100,-25
1707823974.986734,368034.000,56391,5,MX,1,100,-24
1707823974.986734,368034.000,56391,5,MX,1,100,-25
1707823975.020754,368067.000,56406,3,MX,1,100,-25
1707823975.054774,368100.000,56406,3,MX,1,100,-24
1707823975.088794,368133.000,56406,3,MX,1,100,-25
1707823975.128484,368171.500,56422,2,MX,1,100,-25
1707823975.168173,368210.000,56422,2,MX,1,100,-24
1707823975.208035,368248.667,56439,3,MX,1,100,-25
1707823975.247896,368287.333,56439,3,MX,1,100,-25
1707823975.287758,368326.000,56439,3,MX,1,100,-24
1707823975.326932,368364.000,56458,3,MX,1,100,-24
1707823975.366106,368402.000,56458,3,MX,1,100,-25
1707823975.405281,368440.000,56458,3,MX,1,100,-24
1707823975.446517,368480.000,56474,2,MX,1,100,-24
1707823975.487753,368520.000,56474,2,MX,1,100,-25
1707823975.527958,368559.000,56490,3,MX,1,100,-24
1707823975.568163,368598.000,56490,3,MX,1,100,-25
1707823975.608368,368637.000,56490,3,MX,1,100,-25
1707823975.648058,368675.500,56506,2,MX,1,100,-24
1707823975.687748,368714.000,56506,2,MX,1,100,-23
1707823975.727610,368752.667,56523,3,MX,1,100,-25
1707823975.767471,368791.333,56523,3,MX,1,100,-24
1707823975.807333,368830.000,56523,3,MX,1,100,-24
1707823975.847194,368868.667,56540,3,MX,1,100,-25
1707823975.887056,368907.333,56540,3,MX,1,100,-25
1707823975.926917,368946.000,56540,3,MX,1,100,-26
1707823975.966607,368984.500,56556,2,MX,1,100,-25
1707823976.006297,369023.000,56556,2,MX,1,100,-25
1707823976.046502,369062.000,56571,3,MX,1,100,-24
1707823976.086707,369101.000,56571,3,MX,1,100,-25
1707823976.126912,369140.000,56571,3,MX,1,100,-25
1707823976.167117,369179.000,56589,2,MX,1,100,-24
1707823976.207323,369218.000,56589,2,MX,1,100,-24
1707823976.247184,369256.667,56607,3,MX,1,100,-24
1707823976.287046,369295.333,56607,3,MX,1,100,-24
1707823976.326907,369334.000,56607,3,MX,1,100,-24
1707823976.366769,369372.667,56624,3,MX,1,100,-24
1707823976.406630,369411.333,56624,3,MX,1,100,-24
1707823976.446492,369450.000,56624,3,MX,1,100,-24
1707823976.486697,369489.000,56638,2,MX,1,100,-25
1707823976.526902,369528.000,56638,2,MX,1,100,-24
1707823976.566420,369566.333,56656,3,MX,1,100,-24
1707823976.605938,369604.667,56656,3,MX,1,100,-25
1707823976.645456,369643.000,56656,3,MX,1,100,-24
1707823976.686177,369682.500,56672,2,MX,1,100,-25
1707823976.726897,369722.000,56672,2,MX,1,100,-24
1707823976.767103,369761.000,56689,3,MX,1,100,-24
1707823976.807308,369800.000,56689,3,MX,1,100,-23
1707823976.847513,369839.000,56689,3,MX,1,100,-24
1707823976.887718,369878.000,56706,3,MX,1,100,-24
1707823976.927923,369917.000,56706,3,MX,1,100,-24
1707823976.968128,369956.000,56706,3,MX,1,100,-25
1707823977.003523,369990.333,56721,3,MX,1,100,-24
1707823977.038917,370024.667,56721,3,MX,1,100,-24
1707823977.074311,370059.000,56721,3,MX,1,100,-25
1707823977.114001,370097.500,56737,2,MX,1,100,-24
1707823977.153691,370136.000,56737,2,MX,1,100,-23
1707823977.192865,370174.000,56757,3,MX,1,100,-24
1707823977.232039,370212.000,56757,3,MX,1,100,-25
1707823977.271214,370250.000,56757,3,MX,1,100,-25
