LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1707823975.075392,368120.000,56396,3,PG,1,100,9061
1707823975.075392,368120.000,56396,3,PG,1,100,9069
1707823975.075392,368120.000,56396,3,PG,1,100,9001
1707823975.115254,368158.667,56412,3,PG,1,100,8922
1707823975.155115,368197.333,56412,3,PG,1,100,8881
1707823975.194977,368236.000,56412,3,PG,1,100,8874
1707823975.234666,368274.500,56428,2,PG,1,100,8891
1707823975.274356,368313.000,56428,2,PG,1,100,8908
1707823975.313530,368351.000,56447,3,PG,1,100,8909
1707823975.352705,368389.000,56447,3,PG,1,100,8911
1707823975.391879,368427.000,56447,3,PG,1,100,8920
1707823975.432600,368466.500,56463,2,PG,1,100,8931
1707823975.473320,368506.000,56463,2,PG,1,100,8955
1707823975.513869,368545.333,56481,3,PG,1,100,8981
1707823975.554418,368584.667,56481,3,PG,1,100,8996
1707823975.594967,368624.000,56481,3,PG,1,100,9036
1707823975.634828,368662.667,56495,3,PG,1,100,9057
1707823975.674690,368701.333,56495,3,PG,1,100,9071
1707823975.714551,368740.000,56495,3,PG,1,100,9104
1707823975.754241,368778.500,56512,2,PG,1,100,9127
1707823975.793931,368817.000,56512,2,PG,1,100,9150
1707823975.833792,368855.667,56529,3,PG,1,100,9168
1707823975.873654,368894.333,56529,3,PG,1,100,9200
1707823975.913516,368933.000,56529,3,PG,1,100,9198
1707823975.953033,368971.333,56546,3,PG,1,100,9126
1707823975.992551,369009.667,56546,3,PG,1,100,9051
1707823976.032069,369048.000,56546,3,PG,1,100,9018
1707823976.072274,369087.000,56561,2,PG,1,100,9013
1707823976.112480,369126.000,56561,2,PG,1,100,9019
1707823976.153028,369165.333,56578,3,PG,1,100,9031
1707823976.193577,369204.667,56578,3,PG,1,100,9027
1707823976.234126,369244.000,56578,3,PG,1,100,9030
1707823976.273816,369282.500,56596,2,PG,1,100,9033
1707823976.313506,369321.000,56596,2,PG,1,100,9057
1707823976.353711,369360.000,56613,3,PG,1,100,9083
1707823976.393916,369399.000,56613,3,PG,1,100,9091
1707823976.434121,369438.000,56613,3,PG,1,100,9114
1707823976.473983,369476.667,56629,3,PG,1,100,9139
1707823976.513844,369515.333,56629,3,PG,1,100,9156
1707823976.553706,369554.000,56629,3,PG,1,100,9180
1707823976.592880,369592.000,56645,2,PG,1,100,9199
1707823976.632054,369630.000,56645,2,PG,1,100,9220
1707823976.672603,369669.333,56661,3,PG,1,100,9241
1707823976.713152,369708.667,56661,3,PG,1,100,9278
1707823976.753701,369748.000,56661,3,PG,1,100,9285
1707823976.794421,369787.500,56678,2,PG,1,100,9240
1707823976.835142,369827.000,56678,2,PG,1,100,9146
1707823976.875004,369865.667,56695,3,PG,1,100,9086
1707823976.914865,369904.333,56695,3,PG,1,100,9065
1707823976.954727,369943.000,56695,3,PG,1,100,9065
1707823976.994588,369981.667,56712,3,PG,1,100,9070
1707823977.034450,370020.333,56712,3,PG,1,100,9090
1707823977.074311,370059.000,56712,3,PG,1,100,9084
1707823977.114001,370097.500,56726,2,PG,1,100,9074
1707823977.153691,370136.000,56726,2,PG,1,100,9083
1707823977.192865,370174.000,56746,3,PG,1,100,9105
1707823977.232039,370212.000,56746,3,PG,1,100,9126
1707823977.271214,370250.000,56746,3,PG,1,100,9140
1707823977.311419,370289.000,56762,2,PG,1,100,9162
1707823977.351624,370328.000,56762,2,PG,1,100,9177
1707823977.391486,370366.667,56779,3,PG,1,100,9194
1707823977.431347,370405.333,56779,3,PG,1,100,9214
1707823977.471209,370444.000,56779,3,PG,1,100,9237
1707823977.511070,370482.667,56795,3,PG,1,100,9257
1707823977.550932,370521.333,56795,3,PG,1,100,9282
1707823977.590793,370560.000,56795,3,PG,1,100,9278
1707823977.629968,370598.000,56811,2,PG,1,100,9211
1707823977.669142,370636.000,56811,2,PG,1,100,9115
1707823977.709003,370674.667,56827,3,PG,1,100,9070
1707823977.748865,370713.333,56827,3,PG,1,100,9071
1707823977.788727,370752.000,56827,3,PG,1,100,9071
1707823977.827901,370790.000,56845,3,PG,1,100,9077
1707823977.867075,370828.000,56845,3,PG,1,100,9073
1707823977.906249,370866.000,56845,3,PG,1,100,9079
1707823977.946455,370905.000,56861,2,PG,1,100,9078
1707823977.986660,370944.000,56861,2,PG,1,100,9094
1707823978.026521,370982.667,56878,3,PG,1,100,9103
1707823978.066383,371021.333,56878,3,PG,1,100,9119
1707823978.106244,371060.000,56878,3,PG,1,100,9144
1707823978.145934,371098.500,56894,2,PG,1,100,9169
1707823978.185624,371137.000,56894,2,PG,1,100,9189
1707823978.229953,371180.000,56914,3,PG,1,100,9201
1707823978.274281,371223.000,56914,3,PG,1,100,9221
1707823978.318610,371266.000,56914,3,PG,1,100,9243
1707823978.359846,371306.000,56930,2,PG,1,100,9268
1707823978.401082,371346.000,56930,2,PG,1,100,9269
1707823978.441288,371385.000,56947,3,PG,1,100,9194
1707823978.481493,371424.000,56947,3,PG,1,100,9093
1707823978.521698,371463.000,56947,3,PG,1,100,9055
1707823978.561388,371501.500,56962,2,PG,1,100,9036
1707823978.601077,371540.000,56962,2,PG,1,100,9043
1707823978.640252,371578.000,56979,3,PG,1,100,9049
1707823978.679426,371616.000,56979,3,PG,1,100,9041
1707823978.718600,371654.000,56979,3,PG,1,100,9049
1707823978.758118,371692.333,56997,3,PG,1,100,9052
1707823978.797636,371730.667,56997,3,PG,1,100,9059
1707823978.837154,371769.000,56997,3,PG,1,100,9075
1707823978.877359,371808.000,57015,2,PG,1,100,9101
1707823978.917564,371847.000,57015,2,PG,1,100,9117
1707823978.958457,371886.667,57029,3,PG,1,100,9142
1707823978.999349,371926.333,57029,3,PG,1,100,9149
1707823979.040242,371966.000,57029,3,PG,1,100,9168
1707823979.080447,372005.000,57046,2,PG,1,100,9194
1707823979.120652,372044.000,57046,2,PG,1,100,9223
1707823979.160514,372082.667,57063,3,PG,1,100,9222
1707823979.200375,372121.333,57063,3,PG,1,100,9158
1707823979.240237,372160.000,57063,3,PG,1,100,9063
1707823979.279755,372198.333,57080,3,PG,1,100,9008
1707823979.319273,372236.667,57080,3,PG,1,100,8999
1707823979.358791,372275.000,57080,3,PG,1,100,9002
1707823979.397965,372313.000,57096,2,PG,1,100,9016
1707823979.437139,372351.000,57096,2,PG,1,100,9024
1707823979.477602,372390.250,57119,4,PG,1,100,9027
1707823979.518065,372429.500,57119,4,PG,1,100,9018
1707823979.558528,372468.750,57119,4,PG,1,100,9037
1707823979.598991,372508.000,57119,4,PG,1,100,9051
1707823979.639883,372547.667,57135,3,PG,1,100,9065
1707823979.680776,372587.333,57135,3,PG,1,100,9084
1707823979.721668,372627.000,57135,3,PG,1,100,9101
1707823979.761530,372665.667,57152,3,PG,1,100,9124
1707823979.801391,372704.333,57152,3,PG,1,100,9145
1707823979.841253,372743.000,57152,3,PG,1,100,9171
1707823979.880942,372781.500,57169,2,PG,1,100,9176
1707823979.920632,372820.000,57169,2,PG,1,100,9120
1707823979.960494,372858.667,57186,3,PG,1,100,9019
1707823980.000355,372897.333,57186,3,PG,1,100,8961
1707823980.040217,372936.000,57186,3,PG,1,100,8945
1707823980.081109,372975.667,57202,3,PG,1,100,8950
1707823980.122002,373015.333,57202,3,PG,1,100,8962
1707823980.162894,373055.000,57202,3,PG,1,100,8966
1707823980.202584,373093.500,57220,2,PG,1,100,8971
1707823980.242274,373132.000,57220,2,PG,1,100,8953
1707823980.282135,373170.667,57234,3,PG,1,100,8965
1707823980.321997,373209.333,57234,3,PG,1,100,8988
1707823980.361858,373248.000,57234,3,PG,1,100,9002
1707823980.401548,373286.500,57253,2,PG,1,100,9021
1707823980.441238,373325.000,57253,2,PG,1,100,9041
1707823980.481099,373363.667,57270,3,PG,1,100,9054
1707823980.520961,373402.333,57270,3,PG,1,100,9086
1707823980.560822,373441.000,57270,3,PG,1,100,9128
1707823980.600684,373479.667,57287,3,PG,1,100,9127
1707823980.640546,373518.333,57287,3,PG,1,100,9043
1707823980.680407,373557.000,57287,3,PG,1,100,8908
1707823980.721128,373596.500,57301,2,PG,1,100,8802
1707823980.761848,373636.000,57301,2,PG,1,100,8721
1707823980.801710,373674.667,57319,3,PG,1,100,8670
1707823980.841571,373713.333,57319,3,PG,1,100,8660
1707823980.881433,373752.000,57319,3,PG,1,100,8659
1707823980.921638,373791.000,57335,2,PG,1,100,8642
1707823980.961843,373830.000,57335,2,PG,1,100,8618
1707823981.001361,373868.333,57352,3,PG,1,100,8611
1707823981.040879,373906.667,57352,3,PG,1,100,8632
1707823981.080397,373945.000,57352,3,PG,1,100,8655
1707823981.119915,373983.333,57368,3,PG,1,100,8674
1707823981.159433,374021.667,57368,3,PG,1,100,8706
1707823981.198951,374060.000,57368,3,PG,1,100,8728
1707823981.239156,374099.000,57386,2,PG,1,100,8749
1707823981.279361,374138.000,57386,2,PG,1,100,8783
1707823981.320254,374177.667,57402,3,PG,1,100,8805
1707823981.361146,374217.333,57402,3,PG,1,100,8766
1707823981.402039,374257.000,57402,3,PG,1,100,8596
1707823981.442244,374296.000,57419,2,PG,1,100,8408
1707823981.482449,374335.000,57419,2,PG,1,100,8265
1707823981.522311,374373.667,57436,3,PG,1,100,8157
1707823981.562172,374412.333,57436,3,PG,1,100,8072
1707823981.602034,374451.000,57436,3,PG,1,100,8048
1707823981.641895,374489.667,57452,3,PG,1,100,8072
1707823981.681757,374528.333,57452,3,PG,1,100,8072
1707823981.721618,374567.000,57452,3,PG,1,100,8080
1707823981.760793,374605.000,57467,2,PG,1,100,8118
1707823981.799967,374643.000,57467,2,PG,1,100,8154
1707823981.839828,374681.667,57485,3,PG,1,100,8193
1707823981.879690,374720.333,57485,3,PG,1,100,8234
1707823981.919551,374759.000,57485,3,PG,1,100,8278
1707823981.960788,374799.000,57503,2,PG,1,100,8322
1707823982.002024,374839.000,57503,2,PG,1,100,8373
1707823982.046352,374882.000,57520,3,PG,1,100,8411
1707823982.090681,374925.000,57520,3,PG,1,100,8451
1707823982.135010,374968.000,57520,3,PG,1,100,8503
1707823982.174700,375006.500,57535,2,PG,1,100,8532
1707823982.214390,375045.000,57535,2,PG,1,100,8487
1707823982.254251,375083.667,57552,3,PG,1,100,8313
1707823982.294113,375122.333,57552,3,PG,1,100,8129
1707823982.333974,375161.000,57552,3,PG,1,100,8013
1707823982.373836,375199.667,57568,3,PG,1,100,7912
1707823982.413697,375238.333,57568,3,PG,1,100,7851
1707823982.453559,375277.000,57568,3,PG,1,100,7847
1707823982.493249,375315.500,57586,2,PG,1,100,7878
1707823982.532938,375354.000,57586,2,PG,1,100,7894
1707823982.572456,375392.333,57602,3,PG,1,100,7930
1707823982.611974,375430.667,57602,3,PG,1,100,7985
1707823982.651492,375469.000,57602,3,PG,1,100,8018
1707823982.690666,375507.000,57619,3,PG,1,100,8067
1707823982.729841,375545.000,57619,3,PG,1,100,8118
1707823982.769015,375583.000,57619,3,PG,1,100,8174
1707823982.808705,375621.500,57635,2,PG,1,100,8222
1707823982.848394,375660.000,57635,2,PG,1,100,8271
1707823982.889287,375699.667,57653,3,PG,1,100,8320
1707823982.930179,375739.333,57653,3,PG,1,100,8366
1707823982.971072,375779.000,57653,3,PG,1,100,8418
1707823983.012308,375819.000,57669,2,PG,1,100,8465
1707823983.053544,375859.000,57669,2,PG,1,100,8505
1707823983.093405,375897.667,57685,3,PG,1,100,8478
