LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707823975.075392,368120.000,56394,3,PI,1,100,156266
1707823975.075392,368120.000,56394,3,PI,1,100,156229
1707823975.075392,368120.000,56394,3,PI,1,100,155918
1707823975.115254,368158.667,56410,3,PI,1,100,155739
1707823975.155115,368197.333,56410,3,PI,1,100,155736
1707823975.194977,368236.000,56410,3,PI,1,100,155793
1707823975.234666,368274.500,56426,2,PI,1,100,155850
1707823975.274356,368313.000,56426,2,PI,1,100,155906
1707823975.313530,368351.000,56445,3,PI,1,100,155913
1707823975.352705,368389.000,56445,3,PI,1,100,155923
1707823975.391879,368427.000,56445,3,PI,1,100,155968
1707823975.432600,368466.500,56461,2,PI,1,100,156027
1707823975.473320,368506.000,56461,2,PI,1,100,156122
1707823975.513869,368545.333,56479,3,PI,1,100,156194
1707823975.554418,368584.667,56479,3,PI,1,100,156255
1707823975.594967,368624.000,56479,3,PI,1,100,156313
1707823975.634828,368662.667,56493,3,PI,1,100,156388
1707823975.674690,368701.333,56493,3,PI,1,100,156463
1707823975.714551,368740.000,56493,3,PI,1,100,156517
1707823975.754241,368778.500,56510,2,PI,1,100,156569
1707823975.793931,368817.000,56510,2,PI,1,100,156670
1707823975.833792,368855.667,56527,3,PI,1,100,156726
1707823975.873654,368894.333,56527,3,PI,1,100,156800
1707823975.913516,368933.000,56527,3,PI,1,100,156751
1707823975.953033,368971.333,56544,3,PI,1,100,156411
1707823975.992551,369009.667,56544,3,PI,1,100,156224
1707823976.032069,369048.000,56544,3,PI,1,100,156236
1707823976.072274,369087.000,56559,2,PI,1,100,156289
1707823976.112480,369126.000,56559,2,PI,1,100,156352
1707823976.153028,369165.333,56576,3,PI,1,100,156418
1707823976.193577,369204.667,56576,3,PI,1,100,156423
1707823976.234126,369244.000,56576,3,PI,1,100,156413
1707823976.273816,369282.500,56594,2,PI,1,100,156446
1707823976.313506,369321.000,56594,2,PI,1,100,156505
1707823976.353711,369360.000,56611,3,PI,1,100,156578
1707823976.393916,369399.000,56611,3,PI,1,100,156634
1707823976.434121,369438.000,56611,3,PI,1,100,156697
1707823976.473983,369476.667,56627,3,PI,1,100,156745
1707823976.513844,369515.333,56627,3,PI,1,100,156800
1707823976.553706,369554.000,56627,3,PI,1,100,156864
1707823976.592880,369592.000,56643,2,PI,1,100,156906
1707823976.632054,369630.000,56643,2,PI,1,100,156974
1707823976.672603,369669.333,56659,3,PI,1,100,157058
1707823976.713152,369708.667,56659,3,PI,1,100,157116
1707823976.753701,369748.000,56659,3,PI,1,100,157130
1707823976.794421,369787.500,56676,2,PI,1,100,156856
1707823976.835142,369827.000,56676,2,PI,1,100,156563
1707823976.875004,369865.667,56693,3,PI,1,100,156476
1707823976.914865,369904.333,56693,3,PI,1,100,156470
1707823976.954727,369943.000,56693,3,PI,1,100,156503
1707823976.994588,369981.667,56710,3,PI,1,100,156536
1707823977.034450,370020.333,56710,3,PI,1,100,156544
1707823977.074311,370059.000,56710,3,PI,1,100,156532
1707823977.114001,370097.500,56724,2,PI,1,100,156537
1707823977.153691,370136.000,56724,2,PI,1,100,156563
1707823977.192865,370174.000,56744,3,PI,1,100,156639
1707823977.232039,370212.000,56744,3,PI,1,100,156702
1707823977.271214,370250.000,56744,3,PI,1,100,156785
1707823977.311419,370289.000,56760,2,PI,1,100,156824
1707823977.351624,370328.000,56760,2,PI,1,100,156857
1707823977.391486,370366.667,56777,3,PI,1,100,156924
1707823977.431347,370405.333,56777,3,PI,1,100,156935
1707823977.471209,370444.000,56777,3,PI,1,100,156944
1707823977.511070,370482.667,56793,3,PI,1,100,156951
1707823977.550932,370521.333,56793,3,PI,1,100,156994
1707823977.590793,370560.000,56793,3,PI,1,100,156940
1707823977.629968,370598.000,56809,2,PI,1,100,156627
1707823977.669142,370636.000,56809,2,PI,1,100,156424
1707823977.709003,370674.667,56825,3,PI,1,100,156382
1707823977.748865,370713.333,56825,3,PI,1,100,156423
1707823977.788727,370752.000,56825,3,PI,1,100,156499
