LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1707823975.075392,368120.000,56395,3,PR,1,100,152162
1707823975.075392,368120.000,56395,3,PR,1,100,152138
1707823975.075392,368120.000,56395,3,PR,1,100,151997
1707823975.115254,368158.667,56411,3,PR,1,100,151915
1707823975.155115,368197.333,56411,3,PR,1,100,151921
1707823975.194977,368236.000,56411,3,PR,1,100,151927
1707823975.234666,368274.500,56427,2,PR,1,100,151940
1707823975.274356,368313.000,56427,2,PR,1,100,151981
1707823975.313530,368351.000,56446,3,PR,1,100,151982
1707823975.352705,368389.000,56446,3,PR,1,100,151976
1707823975.391879,368427.000,56446,3,PR,1,100,151996
1707823975.432600,368466.500,56462,2,PR,1,100,152018
1707823975.473320,368506.000,56462,2,PR,1,100,152055
1707823975.513869,368545.333,56480,3,PR,1,100,152087
1707823975.554418,368584.667,56480,3,PR,1,100,152117
1707823975.594967,368624.000,56480,3,PR,1,100,152130
1707823975.634828,368662.667,56494,3,PR,1,100,152174
1707823975.674690,368701.333,56494,3,PR,1,100,152227
1707823975.714551,368740.000,56494,3,PR,1,100,152241
1707823975.754241,368778.500,56511,2,PR,1,100,152256
1707823975.793931,368817.000,56511,2,PR,1,100,152292
1707823975.833792,368855.667,56528,3,PR,1,100,152310
1707823975.873654,368894.333,56528,3,PR,1,100,152346
1707823975.913516,368933.000,56528,3,PR,1,100,152320
1707823975.953033,368971.333,56545,3,PR,1,100,152171
1707823975.992551,369009.667,56545,3,PR,1,100,152092
1707823976.032069,369048.000,56545,3,PR,1,100,152091
1707823976.072274,369087.000,56560,2,PR,1,100,152107
1707823976.112480,369126.000,56560,2,PR,1,100,152126
1707823976.153028,369165.333,56577,3,PR,1,100,152161
1707823976.193577,369204.667,56577,3,PR,1,100,152155
1707823976.234126,369244.000,56577,3,PR,1,100,152136
1707823976.273816,369282.500,56595,2,PR,1,100,152149
1707823976.313506,369321.000,56595,2,PR,1,100,152176
1707823976.353711,369360.000,56612,3,PR,1,100,152204
1707823976.393916,369399.000,56612,3,PR,1,100,152236
1707823976.434121,369438.000,56612,3,PR,1,100,152262
1707823976.473983,369476.667,56628,3,PR,1,100,152276
1707823976.513844,369515.333,56628,3,PR,1,100,152291
1707823976.553706,369554.000,56628,3,PR,1,100,152310
1707823976.592880,369592.000,56644,2,PR,1,100,152328
1707823976.632054,369630.000,56644,2,PR,1,100,152352
1707823976.672603,369669.333,56660,3,PR,1,100,152396
1707823976.713152,369708.667,56660,3,PR,1,100,152410
1707823976.753701,369748.000,56660,3,PR,1,100,152425
1707823976.794421,369787.500,56677,2,PR,1,100,152295
1707823976.835142,369827.000,56677,2,PR,1,100,152165
1707823976.875004,369865.667,56694,3,PR,1,100,152111
1707823976.914865,369904.333,56694,3,PR,1,100,152088
1707823976.954727,369943.000,56694,3,PR,1,100,152087
1707823976.994588,369981.667,56711,3,PR,1,100,152098
1707823977.034450,370020.333,56711,3,PR,1,100,152104
1707823977.074311,370059.000,56711,3,PR,1,100,152098
1707823977.114001,370097.500,56725,2,PR,1,100,152102
1707823977.153691,370136.000,56725,2,PR,1,100,152108
1707823977.192865,370174.000,56745,3,PR,1,100,152142
1707823977.232039,370212.000,56745,3,PR,1,100,152172
1707823977.271214,370250.000,56745,3,PR,1,100,152197
1707823977.311419,370289.000,56761,2,PR,1,100,152216
1707823977.351624,370328.000,56761,2,PR,1,100,152233
1707823977.391486,370366.667,56778,3,PR,1,100,152249
1707823977.431347,370405.333,56778,3,PR,1,100,152252
1707823977.471209,370444.000,56778,3,PR,1,100,152254
1707823977.511070,370482.667,56794,3,PR,1,100,152232
1707823977.550932,370521.333,56794,3,PR,1,100,152238
1707823977.590793,370560.000,56794,3,PR,1,100,152211
1707823977.629968,370598.000,56810,2,PR,1,100,152080
1707823977.669142,370636.000,56810,2,PR,1,100,151985
1707823977.709003,370674.667,56826,3,PR,1,100,151960
1707823977.748865,370713.333,56826,3,PR,1,100,151977
1707823977.788727,370752.000,56826,3,PR,1,100,151999
1707823977.827901,370790.000,56844,3,PR,1,100,152020
1707823977.867075,370828.000,56844,3,PR,1,100,152003
1707823977.906249,370866.000,56844,3,PR,1,100,151996
1707823977.946455,370905.000,56860,2,PR,1,100,152020
1707823977.986660,370944.000,56860,2,PR,1,100,152055
1707823978.026521,370982.667,56877,3,PR,1,100,152073
1707823978.066383,371021.333,56877,3,PR,1,100,152099
1707823978.106244,371060.000,56877,3,PR,1,100,152113
1707823978.145934,371098.500,56893,2,PR,1,100,152147
1707823978.185624,371137.000,56893,2,PR,1,100,152187
1707823978.229953,371180.000,56913,3,PR,1,100,152197
1707823978.274281,371223.000,56913,3,PR,1,100,152215
1707823978.318610,371266.000,56913,3,PR,1,100,152258
1707823978.359846,371306.000,56929,2,PR,1,100,152287
1707823978.401082,371346.000,56929,2,PR,1,100,152260
1707823978.441288,371385.000,56946,3,PR,1,100,152121
1707823978.481493,371424.000,56946,3,PR,1,100,152024
1707823978.521698,371463.000,56946,3,PR,1,100,151996
1707823978.561388,371501.500,56961,2,PR,1,100,152016
1707823978.601077,371540.000,56961,2,PR,1,100,152073
1707823978.640252,371578.000,56978,3,PR,1,100,152089
1707823978.679426,371616.000,56978,3,PR,1,100,152086
1707823978.718600,371654.000,56978,3,PR,1,100,152074
1707823978.758118,371692.333,56996,3,PR,1,100,152091
1707823978.797636,371730.667,56996,3,PR,1,100,152144
1707823978.837154,371769.000,56996,3,PR,1,100,152181
1707823978.877359,371808.000,57014,2,PR,1,100,152204
1707823978.917564,371847.000,57014,2,PR,1,100,152224
1707823978.958457,371886.667,57028,3,PR,1,100,152235
1707823978.999349,371926.333,57028,3,PR,1,100,152251
1707823979.040242,371966.000,57028,3,PR,1,100,152270
1707823979.080447,372005.000,57045,2,PR,1,100,152287
1707823979.120652,372044.000,57045,2,PR,1,100,152322
1707823979.160514,372082.667,57062,3,PR,1,100,152303
1707823979.200375,372121.333,57062,3,PR,1,100,152175
1707823979.240237,372160.000,57062,3,PR,1,100,152076
1707823979.279755,372198.333,57079,3,PR,1,100,152081
1707823979.319273,372236.667,57079,3,PR,1,100,152159
1707823979.358791,372275.000,57079,3,PR,1,100,152177
1707823979.397965,372313.000,57095,2,PR,1,100,152256
1707823979.437139,372351.000,57095,2,PR,1,100,152322
1707823979.477602,372390.250,57118,4,PR,1,100,152325
1707823979.518065,372429.500,57118,4,PR,1,100,152348
1707823979.558528,372468.750,57118,4,PR,1,100,152336
1707823979.598991,372508.000,57118,4,PR,1,100,152194
1707823979.639883,372547.667,57134,3,PR,1,100,152192
1707823979.680776,372587.333,57134,3,PR,1,100,152166
1707823979.721668,372627.000,57134,3,PR,1,100,152194
1707823979.761530,372665.667,57151,3,PR,1,100,152295
1707823979.801391,372704.333,57151,3,PR,1,100,152366
1707823979.841253,372743.000,57151,3,PR,1,100,152402
1707823979.880942,372781.500,57168,2,PR,1,100,152370
1707823979.920632,372820.000,57168,2,PR,1,100,152215
1707823979.960494,372858.667,57185,3,PR,1,100,152088
1707823980.000355,372897.333,57185,3,PR,1,100,152100
1707823980.040217,372936.000,57185,3,PR,1,100,152110
1707823980.081109,372975.667,57201,3,PR,1,100,152134
1707823980.122002,373015.333,57201,3,PR,1,100,152145
1707823980.162894,373055.000,57201,3,PR,1,100,152125
1707823980.202584,373093.500,57219,2,PR,1,100,152120
1707823980.242274,373132.000,57219,2,PR,1,100,152134
1707823980.282135,373170.667,57233,3,PR,1,100,152142
1707823980.321997,373209.333,57233,3,PR,1,100,152141
1707823980.361858,373248.000,57233,3,PR,1,100,152156
1707823980.401548,373286.500,57252,2,PR,1,100,152183
1707823980.441238,373325.000,57252,2,PR,1,100,152193
1707823980.481099,373363.667,57269,3,PR,1,100,152214
1707823980.520961,373402.333,57269,3,PR,1,100,152301
1707823980.560822,373441.000,57269,3,PR,1,100,152399
1707823980.600684,373479.667,57286,3,PR,1,100,152367
1707823980.640546,373518.333,57286,3,PR,1,100,152177
1707823980.680407,373557.000,57286,3,PR,1,100,151982
1707823980.721128,373596.500,57300,2,PR,1,100,151865
1707823980.761848,373636.000,57300,2,PR,1,100,151799
1707823980.801710,373674.667,57318,3,PR,1,100,151760
1707823980.841571,373713.333,57318,3,PR,1,100,151799
1707823980.881433,373752.000,57318,3,PR,1,100,151827
1707823980.921638,373791.000,57334,2,PR,1,100,151822
1707823980.961843,373830.000,57334,2,PR,1,100,151832
1707823981.001361,373868.333,57351,3,PR,1,100,151787
1707823981.040879,373906.667,57351,3,PR,1,100,151725
1707823981.080397,373945.000,57351,3,PR,1,100,151708
1707823981.119915,373983.333,57367,3,PR,1,100,151722
1707823981.159433,374021.667,57367,3,PR,1,100,151790
1707823981.198951,374060.000,57367,3,PR,1,100,151863
1707823981.239156,374099.000,57385,2,PR,1,100,151922
1707823981.279361,374138.000,57385,2,PR,1,100,151952
1707823981.320254,374177.667,57401,3,PR,1,100,151946
1707823981.361146,374217.333,57401,3,PR,1,100,151790
1707823981.402039,374257.000,57401,3,PR,1,100,151528
1707823981.442244,374296.000,57418,2,PR,1,100,151331
1707823981.482449,374335.000,57418,2,PR,1,100,151215
1707823981.522311,374373.667,57435,3,PR,1,100,151098
1707823981.562172,374412.333,57435,3,PR,1,100,150983
1707823981.602034,374451.000,57435,3,PR,1,100,150970
1707823981.641895,374489.667,57451,3,PR,1,100,150975
1707823981.681757,374528.333,57451,3,PR,1,100,150975
1707823981.721618,374567.000,57451,3,PR,1,100,151008
