LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1707823979.520642,372432.000,57110,2,RD,1,100,TL
1707823979.520642,372432.000,57110,2,RD,1,100,TU
1707823982.178823,375010.500,57936,2,RD,1,100,TL
1707823984.837005,377589.000,57936,2,RD,1,100,TU
1707823987.482815,380155.500,58665,2,RD,1,100,TL
1707823990.128625,382722.000,58665,2,RD,1,100,TU
1707823992.774951,385289.000,59507,2,RD,1,100,TL
1707823995.421277,387856.000,59507,2,RD,1,100,TU
1707823998.059871,390415.500,60346,2,RD,1,100,TL
1707824000.698465,392975.000,60346,2,RD,1,100,TU
1707824003.328812,395526.500,61183,2,RD,1,100,TL
1707824005.959159,398078.000,61183,2,RD,1,100,TU
1707824008.586413,400626.500,62004,2,RD,1,100,TL
1707824011.213667,403175.000,62004,2,RD,1,100,TU
1707824013.866178,405748.000,62842,2,RD,1,100,TL
1707824016.518690,408321.000,62842,2,RD,1,100,TU
1707824019.161923,410885.000,63632,2,RD,1,100,TL
1707824021.805156,413449.000,63632,2,RD,1,100,TU
1707824024.440142,416005.000,64379,2,RD,1,100,TL
1707824027.075128,418561.000,64379,2,RD,1,100,TU
1707824029.712176,421119.000,65187,2,RD,1,100,TL
1707824032.349223,423677.000,65187,2,RD,1,100,TU
1707824034.993487,426242.000,489,2,RD,1,100,TL
1707824037.637751,428807.000,489,2,RD,1,100,TU
1707824040.269129,431359.500,1328,2,RD,1,100,TL
1707824042.900507,433912.000,1328,2,RD,1,100,TU
1707824045.537555,436470.000,2171,2,RD,1,100,TL
1707824048.174602,439028.000,2171,2,RD,1,100,TU
1707824050.808557,441583.000,2996,2,RD,1,100,TL
1707824053.442512,444138.000,2996,2,RD,1,100,TU
1707824056.093477,446709.500,3714,2,RD,1,100,TL
1707824058.744442,449281.000,3714,2,RD,1,100,TU
1707824061.368604,451826.500,4553,2,RD,1,100,TL
1707824063.992765,454372.000,4553,2,RD,1,100,TU
1707824066.654554,456954.000,5393,2,RD,1,100,TL
1707824069.316344,459536.000,5393,2,RD,1,100,TU
1707824071.949268,462090.000,6233,2,RD,1,100,TL
1707824074.582192,464644.000,6233,2,RD,1,100,TU
1707824077.210477,467193.500,7071,2,RD,1,100,TL
1707824079.838762,469743.000,7071,2,RD,1,100,TU
1707824082.471686,472297.000,7912,2,RD,1,100,TL
1707824085.104610,474851.000,7912,2,RD,1,100,TU
1707824087.747328,477414.500,8737,2,RD,1,100,TL
1707824090.390046,479978.000,8737,2,RD,1,100,TU
1707824093.039980,482548.500,9484,2,RD,1,100,TL
1707824095.689914,485119.000,9484,2,RD,1,100,TU
1707824098.324384,487674.500,10303,2,RD,1,100,TL
1707824100.958855,490230.000,10303,2,RD,1,100,TU
1707824103.604665,492796.500,11126,2,RD,1,100,TL
1707824106.250475,495363.000,11126,2,RD,1,100,TU
1707824108.873606,497907.500,11964,2,RD,1,100,TL
1707824111.496736,500452.000,11964,2,RD,1,100,TU
1707824114.146670,503022.500,12790,2,RD,1,100,TL
1707824116.796604,505593.000,12790,2,RD,1,100,TU
1707824119.408910,508127.000,13630,2,RD,1,100,TL
1707824122.021216,510661.000,13630,2,RD,1,100,TU
1707824124.669604,513230.000,14389,2,RD,1,100,TL
1707824127.317992,515799.000,14389,2,RD,1,100,TU
1707824129.955040,518357.000,15199,2,RD,1,100,TL
1707824132.592087,520915.000,15199,2,RD,1,100,TU
1707824135.246660,523490.000,16041,2,RD,1,100,TL
1707824137.901233,526065.000,16041,2,RD,1,100,TU
1707824140.607867,528690.500,16865,2,RD,1,100,TL
1707824143.314501,531316.000,16865,2,RD,1,100,TU
1707824145.928868,533852.000,17706,2,RD,1,100,TL
1707824148.543236,536388.000,17706,2,RD,1,100,TU
1707824151.198840,538964.000,18560,2,RD,1,100,TL
1707824153.854444,541540.000,18560,2,RD,1,100,TU
1707824156.501286,544107.500,19353,2,RD,1,100,TL
1707824159.148127,546675.000,19353,2,RD,1,100,TU
1707824161.795484,549243.000,20116,2,RD,1,100,TL
1707824164.442840,551811.000,20116,2,RD,1,100,TU
1707824167.073703,554363.000,20924,2,RD,1,100,TL
1707824169.704565,556915.000,20924,2,RD,1,100,TU
1707824172.345736,559477.000,21780,2,RD,1,100,TL
1707824174.986908,562039.000,21780,2,RD,1,100,TU
1707824177.619832,564593.000,22619,2,RD,1,100,TL
1707824180.252756,567147.000,22619,2,RD,1,100,TU
1707824182.911968,569726.500,23475,2,RD,1,100,TL
1707824185.571180,572306.000,23475,2,RD,1,100,TU
1707824188.210290,574866.000,24296,2,RD,1,100,TL
1707824190.849399,577426.000,24296,2,RD,1,100,TU
1707824193.509642,580006.500,25046,2,RD,1,100,TL
1707824196.169885,582587.000,25046,2,RD,1,100,TU
1707824198.823427,585161.000,25901,2,RD,1,100,TL
1707824201.476969,587735.000,25901,2,RD,1,100,TU
1707824204.109893,590289.000,26741,2,RD,1,100,TL
1707824206.742818,592843.000,26741,2,RD,1,100,TU
1707824209.376257,595397.500,27575,2,RD,1,100,TL
1707824212.009697,597952.000,27575,2,RD,1,100,TU
1707824214.657053,600520.000,28425,2,RD,1,100,TL
1707824217.304410,603088.000,28425,2,RD,1,100,TU
