LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1707824002.236571,394467,60633,1,SA,1,100,0.083879
1707824002.634499,394853,60666,1,SA,1,100,0.047515
1707824002.837587,395050,60702,1,SA,1,100,0.045539
1707824003.234485,395435,60773,1,SA,1,100,0.034504
1707824003.438603,395633,60793,1,SA,1,100,0.028485
1707824003.636536,395825,60826,1,SA,1,100,0.041955
1707824003.834470,396017,60862,1,SA,1,100,0.042184
1707824212.123096,598062,27612,1,SA,1,100,0.027879
1707824212.324122,598257,27648,1,SA,1,100,0.033000
1707824212.528241,598455,27683,1,SA,1,100,0.043740
1707824212.726174,598647,27721,1,SA,1,100,0.033815
