LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1707823975.300129,368338.000,56425,1,SF,1,100,2.4873
1707823975.568163,368598.000,56478,1,SF,1,100,2.4585
1707823975.900114,368920.000,56526,1,SF,1,100,2.4301
1707823976.234126,369244.000,56575,1,SF,1,100,2.4020
1707823976.632054,369630.000,56642,1,SF,1,100,2.3742
1707823976.968128,369956.000,56692,1,SF,1,100,2.3467
1707823977.233070,370213.000,56743,1,SF,1,100,2.3196
1707823977.562959,370533.000,56792,1,SF,1,100,2.2927
1707823977.893879,370854.000,56842,1,SF,1,100,2.2662
1707823978.291807,371240.000,56911,1,SF,1,100,2.2400
1707823978.627881,371566.000,56959,1,SF,1,100,2.2141
1707823978.890761,371821.000,57012,1,SF,1,100,2.1885
1707823979.227866,372148.000,57060,1,SF,1,100,2.1632
1707823979.626825,372535.000,57116,1,SF,1,100,2.1381
1707823979.894860,372795.000,57166,1,SF,1,100,2.1134
1707823980.228872,373119.000,57217,1,SF,1,100,2.0890
1707823980.560822,373441.000,57267,1,SF,1,100,2.0648
1707823980.894835,373765.000,57316,1,SF,1,100,2.0409
1707823981.293794,374152.000,57383,1,SF,1,100,2.0173
1707823981.561828,374412.000,57433,1,SF,1,100,1.9940
1707823981.893779,374734.000,57482,1,SF,1,100,1.9709
1707823982.226760,375057.000,57532,1,SF,1,100,1.9481
1707823982.559742,375380.000,57583,1,SF,1,100,1.9256
1707823982.958701,375767.000,57650,1,SF,1,100,1.9033
1707823983.291682,376090.000,57700,1,SF,1,100,1.8813
1707823983.558686,376349.000,57751,1,SF,1,100,1.8595
1707823983.892698,376673.000,57801,1,SF,1,100,1.8380
1707823984.293719,377062.000,57850,1,SF,1,100,1.8167
1707823984.557630,377318.000,57886,1,SF,1,100,1.7957
1707823984.891642,377642.000,57939,1,SF,1,100,1.7749
1707823985.291632,378030.000,57988,1,SF,1,100,1.7544
1707823985.625645,378354.000,58040,1,SF,1,100,1.7341
1707823985.890587,378611.000,58073,1,SF,1,100,1.7141
1707823986.291608,379000.000,58138,1,SF,1,100,1.6942
1707823986.556549,379257.000,58174,1,SF,1,100,1.6746
1707823986.953447,379642.000,58239,1,SF,1,100,1.6553
1707823987.219419,379900.000,58273,1,SF,1,100,1.6361
1707823987.549308,380220.000,58324,1,SF,1,100,1.6172
1707823987.880228,380541.000,58374,1,SF,1,100,1.5985
1707823988.214240,380865.000,58423,1,SF,1,100,1.5800
1707823988.546191,381187.000,58477,1,SF,1,100,1.5617
1707823988.948242,381577.000,58542,1,SF,1,100,1.5436
1707823989.211122,381832.000,58560,1,SF,1,100,1.5258
1707823989.680183,382287.000,58597,1,SF,1,100,1.5081
1707823989.944094,382543.000,58630,1,SF,1,100,1.4907
1707823990.214190,382805.000,58669,1,SF,1,100,1.4734
1707823990.546141,383127.000,58719,1,SF,1,100,1.4564
1707823990.944069,383513.000,58784,1,SF,1,100,1.4395
1707823991.272927,383832.000,58835,1,SF,1,100,1.4229
1707823991.538900,384090.000,58885,1,SF,1,100,1.4064
1707823991.869819,384411.000,58934,1,SF,1,100,1.3902
1707823992.200739,384732.000,58984,1,SF,1,100,1.3741
1707823992.532689,385054.000,59035,1,SF,1,100,1.3582
1707823992.931648,385441.000,59102,1,SF,1,100,1.3425
1707823993.260506,385760.000,59152,1,SF,1,100,1.3269
1707823993.530602,386022.000,59205,1,SF,1,100,1.3116
1707823993.860491,386342.000,59253,1,SF,1,100,1.2964
1707823994.194503,386666.000,59302,1,SF,1,100,1.2814
1707823994.593463,387053.000,59369,1,SF,1,100,1.2666
1707823994.927475,387377.000,59419,1,SF,1,100,1.2519
1707823995.193448,387635.000,59470,1,SF,1,100,1.2375
1707823995.526429,387958.000,59511,1,SF,1,100,1.2232
1707823995.925388,388345.000,59576,1,SF,1,100,1.2090
1707823996.258370,388668.000,59628,1,SF,1,100,1.1950
1707823996.522281,388924.000,59677,1,SF,1,100,1.1812
1707823996.854231,389246.000,59726,1,SF,1,100,1.1675
1707823997.184120,389566.000,59778,1,SF,1,100,1.1540
1707823997.516070,389888.000,59826,1,SF,1,100,1.1407
1707823997.911937,390272.000,59893,1,SF,1,100,1.1275
1707823998.179971,390532.000,59946,1,SF,1,100,1.1144
1707823998.511922,390854.000,59994,1,SF,1,100,1.1015
1707823998.841810,391174.000,60045,1,SF,1,100,1.0888
1707823999.174792,391497.000,60095,1,SF,1,100,1.0762
1707823999.575813,391886.000,60162,1,SF,1,100,1.0638
1707823999.909825,392210.000,60211,1,SF,1,100,1.0514
1707824000.175798,392468.000,60263,1,SF,1,100,1.0393
1707824000.509810,392792.000,60312,1,SF,1,100,1.0273
1707824000.908769,393179.000,60364,1,SF,1,100,1.0154
1707824001.174742,393437.000,60415,1,SF,1,100,1.0036
1707824001.505662,393758.000,60464,1,SF,1,100,0.9920
1707824001.901528,394142.000,60515,1,SF,1,100,0.9805
1707824002.171624,394404.000,60565,1,SF,1,100,0.9692
1707824002.501513,394724.000,60614,1,SF,1,100,0.9580
1707824002.837587,395050.000,60668,1,SF,1,100,5.1114
1707824003.234485,395435.000,60737,1,SF,1,100,7.1345
1707824003.571590,395762.000,60792,1,SF,1,100,9.1343
1707824003.834470,396017.000,60844,1,SF,1,100,13.1931
1707824004.169513,396342.000,60897,1,SF,1,100,15.1227
1707824004.503525,396666.000,60947,1,SF,1,100,14.9478
1707824004.901453,397052.000,61014,1,SF,1,100,14.7749
1707824005.236496,397377.000,61063,1,SF,1,100,14.6040
1707824005.501438,397634.000,61113,1,SF,1,100,14.4350
1707824005.833389,397956.000,61164,1,SF,1,100,14.2680
1707824006.164308,398277.000,61203,1,SF,1,100,14.1030
1707824006.561206,398662.000,61270,1,SF,1,100,13.9398
