LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1707824002.236571,394467,60634,1,SR,1,100,0.266667
1707824002.634499,394853,60667,1,SR,1,100,0.066667
1707824002.837587,395050,60703,1,SR,1,100,0.133333
1707824003.234485,395435,60774,1,SR,1,100,0.066667
1707824003.438603,395633,60794,1,SR,1,100,0.066667
1707824003.636536,395825,60827,1,SR,1,100,0.066667
1707824003.834470,396017,60863,1,SR,1,100,0.066667
1707824212.123096,598062,27613,1,SR,1,100,0.066667
1707824212.324122,598257,27649,1,SR,1,100,0.066667
1707824212.528241,598455,27684,1,SR,1,100,0.066667
1707824212.726174,598647,27722,1,SR,1,100,0.133333
