LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1707823975.094979,368139.000,56399,1,T1,1,100,28.689
1707823975.227966,368268.000,56431,1,T1,1,100,28.582
1707823975.359921,368396.000,56450,1,T1,1,100,28.713
1707823975.493938,368526.000,56466,1,T1,1,100,28.769
1707823975.627956,368656.000,56498,1,T1,1,100,28.794
1707823975.761973,368786.000,56515,1,T1,1,100,28.840
1707823975.893928,368914.000,56532,1,T1,1,100,28.789
1707823976.025884,369042.000,56549,1,T1,1,100,28.838
1707823976.160932,369173.000,56581,1,T1,1,100,28.788
1707823976.293918,369302.000,56599,1,T1,1,100,28.802
1707823976.426905,369431.000,56616,1,T1,1,100,28.772
1707823976.559891,369560.000,56648,1,T1,1,100,28.831
1707823976.692878,369689.000,56664,1,T1,1,100,28.785
1707823976.827926,369820.000,56681,1,T1,1,100,28.694
1707823976.961943,369950.000,56698,1,T1,1,100,28.797
1707823977.093898,370078.000,56729,1,T1,1,100,28.664
1707823977.226885,370207.000,56749,1,T1,1,100,28.713
1707823977.357809,370334.000,56765,1,T1,1,100,28.805
1707823977.490796,370463.000,56782,1,T1,1,100,28.774
1707823977.623782,370592.000,56814,1,T1,1,100,28.796
1707823977.754707,370719.000,56830,1,T1,1,100,28.770
1707823977.886662,370847.000,56848,1,T1,1,100,28.829
1707823978.020680,370977.000,56881,1,T1,1,100,28.926
1707823978.152635,371105.000,56897,1,T1,1,100,28.791
1707823978.285621,371234.000,56917,1,T1,1,100,28.909
1707823978.421700,371366.000,56933,1,T1,1,100,28.890
1707823978.554687,371495.000,56965,1,T1,1,100,28.952
1707823978.686642,371623.000,56982,1,T1,1,100,28.767
1707823978.818598,371751.000,57000,1,T1,1,100,28.828
1707823978.951584,371880.000,57032,1,T1,1,100,28.748
1707823979.088694,372013.000,57049,1,T1,1,100,28.891
1707823979.221681,372142.000,57066,1,T1,1,100,28.917
1707823979.352605,372269.000,57083,1,T1,1,100,28.929
1707823979.486107,372398.500,57122,2,T1,1,100,28.827
1707823979.619609,372528.000,57122,2,T1,1,100,28.819
