LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1707823975.108381,368152.000,56415,1,TH,1,100,28.685
1707823975.241367,368281.000,56432,1,TH,1,100,28.659
1707823975.372292,368408.000,56451,1,TH,1,100,28.659
1707823975.508371,368540.000,56467,1,TH,1,100,28.716
1707823975.642388,368670.000,56499,1,TH,1,100,28.716
1707823975.774344,368798.000,56516,1,TH,1,100,28.675
1707823975.907330,368927.000,56533,1,TH,1,100,28.675
1707823976.038255,369054.000,56564,1,TH,1,100,28.692
1707823976.174334,369186.000,56582,1,TH,1,100,28.692
1707823976.307320,369315.000,56600,1,TH,1,100,28.726
1707823976.440307,369444.000,56617,1,TH,1,100,28.733
1707823976.573293,369573.000,56649,1,TH,1,100,28.659
1707823976.707310,369703.000,56665,1,TH,1,100,28.659
1707823976.842358,369834.000,56682,1,TH,1,100,28.720
1707823976.974314,369962.000,56699,1,TH,1,100,28.720
1707823977.107300,370091.000,56730,1,TH,1,100,28.684
1707823977.238225,370218.000,56750,1,TH,1,100,28.684
1707823977.371211,370347.000,56766,1,TH,1,100,28.726
1707823977.504198,370476.000,56798,1,TH,1,100,28.725
1707823977.636153,370604.000,56815,1,TH,1,100,28.762
1707823977.769139,370733.000,56831,1,TH,1,100,28.762
1707823977.901095,370861.000,56849,1,TH,1,100,28.712
1707823978.033050,370989.000,56882,1,TH,1,100,28.712
1707823978.166037,371118.000,56898,1,TH,1,100,28.707
1707823978.299023,371247.000,56918,1,TH,1,100,28.707
1707823978.435102,371379.000,56934,1,TH,1,100,28.727
1707823978.568089,371508.000,56966,1,TH,1,100,28.735
1707823978.700044,371636.000,56983,1,TH,1,100,28.677
1707823978.832000,371764.000,57001,1,TH,1,100,28.677
1707823978.966017,371894.000,57033,1,TH,1,100,28.687
1707823979.102096,372026.000,57050,1,TH,1,100,28.687
1707823979.234051,372154.000,57067,1,TH,1,100,28.745
1707823979.364976,372281.000,57084,1,TH,1,100,28.745
1707823979.498993,372411.000,57123,2,TH,1,100,28.653
1707823979.633011,372541.000,57123,2,TH,1,100,28.653
1707823979.768059,372672.000,57156,1,TH,1,100,28.752
1707823979.901045,372801.000,57173,1,TH,1,100,28.752
