LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1707823979.516519,372428.000,57108,1,TL,1,100,2024-02-13_11-32-54-401519
1707823979.548477,372459.000,57111,1,TL,1,100,2024-02-13_11-32-59-538337
1707823984.833912,377586.000,57934,1,TL,1,100,2024-02-13_11-32-59-689712
1707823984.860715,377612.000,57937,1,TL,1,100,2024-02-13_11-33-04-845327
1707823990.125533,382719.000,58663,1,TL,1,100,2024-02-13_11-33-05-023460
1707823995.400659,387836.000,59503,1,TL,1,100,2024-02-13_11-33-10-134235
1707823995.418184,387853.000,59505,1,TL,1,100,2024-02-13_11-33-10-356223
1707823995.442926,387877.000,59508,1,TL,1,100,2024-02-13_11-33-15-432426
1707824000.692280,392969.000,60344,1,TL,1,100,2024-02-13_11-33-15-599520
1707824005.956066,398075.000,61181,1,TL,1,100,2024-02-13_11-33-20-895437
1707824005.982870,398101.000,61184,1,TL,1,100,2024-02-13_11-33-25-976725
1707824016.489824,408293.000,62838,1,TL,1,100,2024-02-13_11-33-31-236061
1707824016.512504,408315.000,62840,1,TL,1,100,2024-02-13_11-33-31-435300
1707824021.801032,413445.000,63630,1,TL,1,100,2024-02-13_11-33-36-751668
1707824021.832990,413476.000,63633,1,TL,1,100,2024-02-13_11-33-41-826488
1707824027.069973,418556.000,64377,1,TL,1,100,2024-02-13_11-33-41-977274
1707824027.116364,418601.000,64380,1,TL,1,100,2024-02-13_11-33-47-108154
1707824032.346131,423674.000,65185,1,TL,1,100,2024-02-13_11-33-47-249444
1707824032.374996,423702.000,65188,1,TL,1,100,2024-02-13_11-33-52-371937
1707824037.634659,428804.000,487,1,TL,1,100,2024-02-13_11-33-52-524877
1707824037.661462,428830.000,490,1,TL,1,100,2024-02-13_11-33-57-661696
1707824042.897414,433909.000,1326,1,TL,1,100,2024-02-13_11-33-57-726334
1707824042.930403,433941.000,1329,1,TL,1,100,2024-02-13_11-34-02-925284
1707824048.170479,439024.000,2169,1,TL,1,100,2024-02-13_11-34-03-082275
1707824048.210684,439063.000,2172,1,TL,1,100,2024-02-13_11-34-08-203325
1707824053.436327,444132.000,2994,1,TL,1,100,2024-02-13_11-34-08-264245
1707824058.705268,449243.000,3710,1,TL,1,100,2024-02-13_11-34-13-554080
1707824058.736195,449273.000,3712,1,TL,1,100,2024-02-13_11-34-13-649281
1707824058.772276,449308.000,3715,1,TL,1,100,2024-02-13_11-34-18-767573
1707824063.989672,454369.000,4551,1,TL,1,100,2024-02-13_11-34-18-849569
1707824064.016476,454395.000,4554,1,TL,1,100,2024-02-13_11-34-24-010780
1707824069.311189,459531.000,5391,1,TL,1,100,2024-02-13_11-34-24-081820
1707824069.389538,459607.000,5394,1,TL,1,100,2024-02-13_11-34-29-393461
1707824074.574976,464637.000,6231,1,TL,1,100,2024-02-13_11-34-29-527378
1707824074.634768,464695.000,6234,1,TL,1,100,2024-02-13_11-34-34-623494
1707824079.835669,469740.000,7069,1,TL,1,100,2024-02-13_11-34-34-770029
1707824079.876905,469780.000,7072,1,TL,1,100,2024-02-13_11-34-39-870676
1707824085.100487,474847.000,7910,1,TL,1,100,2024-02-13_11-34-40-014719
1707824085.124197,474870.000,7913,1,TL,1,100,2024-02-13_11-34-45-128636
1707824090.386953,479975.000,8735,1,TL,1,100,2024-02-13_11-34-45-253174
1707824095.660017,485090.000,9480,1,TL,1,100,2024-02-13_11-34-50-497003
1707824095.686821,485116.000,9482,1,TL,1,100,2024-02-13_11-34-50-597996
1707824100.955762,490227.000,10301,1,TL,1,100,2024-02-13_11-34-55-863508
1707824106.221610,495335.000,11122,1,TL,1,100,2024-02-13_11-35-02-031103
1707824106.248413,495361.000,11124,1,TL,1,100,2024-02-13_11-35-02-031163
1707824106.276248,495388.000,11127,1,TL,1,100,2024-02-13_11-35-06-269479
1707824111.491582,500447.000,11962,1,TL,1,100,2024-02-13_11-35-06-362158
1707824116.761554,505559.000,12786,1,TL,1,100,2024-02-13_11-35-11-572738
1707824116.786295,505583.000,12788,1,TL,1,100,2024-02-13_11-35-11-689791
1707824116.828562,505624.000,12791,1,TL,1,100,2024-02-13_11-35-16-826767
1707824122.018124,510658.000,13628,1,TL,1,100,2024-02-13_11-35-16-906902
1707824122.046989,510686.000,13631,1,TL,1,100,2024-02-13_11-35-22-051289
1707824127.314899,515796.000,14387,1,TL,1,100,2024-02-13_11-35-22-109761
1707824127.353042,515833.000,14390,1,TL,1,100,2024-02-13_11-35-27-358815
1707824132.584871,520908.000,15197,1,TL,1,100,2024-02-13_11-35-27-438263
1707824137.874430,526039.000,16037,1,TL,1,100,2024-02-13_11-35-32-672732
1707824137.897110,526061.000,16039,1,TL,1,100,2024-02-13_11-35-32-775886
1707824143.290790,531293.000,16861,1,TL,1,100,2024-02-13_11-35-37-928593
1707824143.311408,531313.000,16863,1,TL,1,100,2024-02-13_11-35-38-085703
1707824143.338211,531339.000,16866,1,TL,1,100,2024-02-13_11-35-43-337903
1707824148.585503,536429.000,17707,1,TL,1,100,2024-02-13_11-35-48-569492
1707824153.851352,541537.000,18558,1,TL,1,100,2024-02-13_11-35-48-692048
1707824159.127509,546655.000,19349,1,TL,1,100,2024-02-13_11-35-54-984784
1707824159.144003,546671.000,19351,1,TL,1,100,2024-02-13_11-35-54-984842
1707824164.416037,551785.000,20112,1,TL,1,100,2024-02-13_11-35-59-175722
1707824164.439748,551808.000,20114,1,TL,1,100,2024-02-13_11-35-59-326534
1707824169.681885,556893.000,20920,1,TL,1,100,2024-02-13_11-36-05-486880
1707824169.700441,556911.000,20922,1,TL,1,100,2024-02-13_11-36-05-486942
1707824169.725183,556935.000,20925,1,TL,1,100,2024-02-13_11-36-09-726076
1707824174.983815,562036.000,21778,1,TL,1,100,2024-02-13_11-36-09-783658
1707824175.017835,562069.000,21781,1,TL,1,100,2024-02-13_11-36-15-007900
1707824180.249663,567144.000,22617,1,TL,1,100,2024-02-13_11-36-15-081462
1707824180.271312,567165.000,22620,1,TL,1,100,2024-02-13_11-36-20-262312
1707824185.568087,572303.000,23473,1,TL,1,100,2024-02-13_11-36-20-322018
1707824185.591798,572326.000,23476,1,TL,1,100,2024-02-13_11-36-25-580847
1707824190.844245,577421.000,24294,1,TL,1,100,2024-02-13_11-36-25-636929
1707824190.873110,577449.000,24297,1,TL,1,100,2024-02-13_11-36-30-851560
1707824196.166792,582584.000,25044,1,TL,1,100,2024-02-13_11-36-30-945497
1707824196.188441,582605.000,25047,1,TL,1,100,2024-02-13_11-36-36-179135
1707824201.473877,587732.000,25899,1,TL,1,100,2024-02-13_11-36-36-245118
1707824201.502742,587760.000,25902,1,TL,1,100,2024-02-13_11-36-41-485424
1707824206.739725,592840.000,26739,1,TL,1,100,2024-02-13_11-36-41-647204
1707824206.768590,592868.000,26742,1,TL,1,100,2024-02-13_11-36-46-759135
1707824212.005573,597948.000,27573,1,TL,1,100,2024-02-13_11-36-46-894156
1707824217.278638,603063.000,28421,1,TL,1,100,2024-02-13_11-36-52-131234
1707824217.300287,603084.000,28423,1,TL,1,100,2024-02-13_11-36-52-166111
