RD,TS_received,TS_sent,AK,RoundTrip,
372432,372459,2024-02-13_11-32-59-538337,372462,27,
377589,377612,2024-02-13_11-33-04-845327,377614,23,
382722,387836,2024-02-13_11-33-10-134235,387845,5114,
387856,387877,2024-02-13_11-33-15-432426,387879,21,
392975,398075,2024-02-13_11-33-20-895437,398078,5100,
398078,398101,2024-02-13_11-33-25-976725,398104,23,
403175,408293,2024-02-13_11-33-31-236061,408302,5118,
408321,413445,2024-02-13_11-33-36-751668,413448,5124,
413449,413476,2024-02-13_11-33-41-826488,413479,27,
418561,418601,2024-02-13_11-33-47-108154,418603,40,
423677,423702,2024-02-13_11-33-52-371937,423704,25,
428807,428830,2024-02-13_11-33-57-661696,428832,23,
433912,433941,2024-02-13_11-34-02-925284,433945,29,
439028,439063,2024-02-13_11-34-08-203325,439066,35,
444138,449243,2024-02-13_11-34-13-554080,449259,5105,
449281,449308,2024-02-13_11-34-18-767573,449311,27,
454372,454395,2024-02-13_11-34-24-010780,454397,23,
459536,459607,2024-02-13_11-34-29-393461,459610,71,
464644,464695,2024-02-13_11-34-34-623494,464698,51,
469743,469780,2024-02-13_11-34-39-870676,469782,37,
474851,474870,2024-02-13_11-34-45-128636,474873,19,
479978,485090,2024-02-13_11-34-50-497003,485106,5112,
485119,490227,2024-02-13_11-34-55-863508,490229,5108,
490230,495335,2024-02-13_11-35-02-031103,495347,5105,
495363,495388,2024-02-13_11-35-06-269479,495393,25,
500452,505559,2024-02-13_11-35-11-572738,505573,5107,
505593,505624,2024-02-13_11-35-16-826767,505630,31,
510661,510686,2024-02-13_11-35-22-051289,510690,25,
515799,515833,2024-02-13_11-35-27-358815,515836,34,
520915,526039,2024-02-13_11-35-32-672732,526052,5124,
526065,531293,2024-02-13_11-35-37-928593,531304,5228,
531316,531339,2024-02-13_11-35-43-337903,531344,23,
536388,536429,2024-02-13_11-35-48-569492,536434,41,
541540,546655,2024-02-13_11-35-54-984784,546663,5115,
546675,551785,2024-02-13_11-35-59-175722,551799,5110,
551811,556893,2024-02-13_11-36-05-486880,556901,5082,
556915,556935,2024-02-13_11-36-09-726076,556937,20,
562039,562069,2024-02-13_11-36-15-007900,562071,30,
567147,567165,2024-02-13_11-36-20-262312,567169,18,
572306,572326,2024-02-13_11-36-25-580847,572330,20,
577426,577449,2024-02-13_11-36-30-851560,577453,23,
582587,582605,2024-02-13_11-36-36-179135,582608,18,
587735,587760,2024-02-13_11-36-41-485424,587763,25,
592843,592868,2024-02-13_11-36-46-759135,592871,25,
597952,603063,2024-02-13_11-36-52-131234,603076,5111,
603088,
