LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1707151606.805670,499685.000,13116,2,AK,1,100,12306
1707151606.805670,499685.000,13116,2,AK,1,100,RD
1707151609.439746,502237.500,13922,2,AK,1,100,13117
1707151612.073823,504790.000,13922,2,AK,1,100,RD
1707151612.079499,504795.500,13924,2,AK,1,100,13117
1707151612.085174,504801.000,13924,2,AK,1,100,RD
1707151612.123873,504838.500,13927,2,AK,1,100,13925
1707151612.162571,504876.000,13927,2,AK,1,100,RD
1707151614.760529,507393.500,14688,2,AK,1,100,13925
1707151617.358487,509911.000,14688,2,AK,1,100,RD
1707151617.377579,509929.500,14691,2,AK,1,100,14689
1707151617.396670,509948.000,14691,2,AK,1,100,RD
1707151620.018879,512489.000,15527,2,AK,1,100,14689
1707151622.641088,515030.000,15527,2,AK,1,100,RD
1707151622.654503,515043.000,15530,2,AK,1,100,15528
1707151622.667919,515056.000,15530,2,AK,1,100,RD
1707151625.304059,517610.500,16381,2,AK,1,100,15528
1707151627.940200,520165.000,16381,2,AK,1,100,RD
1707151627.951035,520175.500,16384,2,AK,1,100,16382
1707151627.961871,520186.000,16384,2,AK,1,100,RD
1707151630.585628,522728.500,17217,2,AK,1,100,16382
1707151633.209385,525271.000,17217,2,AK,1,100,RD
1707151633.230024,525291.000,17220,2,AK,1,100,17218
1707151633.250663,525311.000,17220,2,AK,1,100,RD
1707151635.865648,527845.000,18056,2,AK,1,100,17218
1707151638.480634,530379.000,18056,2,AK,1,100,RD
1707151638.493533,530391.500,18059,2,AK,1,100,18057
1707151638.506433,530404.000,18059,2,AK,1,100,RD
1707151641.142573,532958.500,18864,2,AK,1,100,18057
1707151643.778714,535513.000,18864,2,AK,1,100,RD
1707151643.791613,535525.500,18867,2,AK,1,100,18865
1707151643.804513,535538.000,18867,2,AK,1,100,RD
1707151646.443233,538095.000,19646,2,AK,1,100,18865
1707151649.081953,540652.000,19646,2,AK,1,100,RD
1707151649.094337,540664.000,19649,2,AK,1,100,19647
1707151649.106720,540676.000,19649,2,AK,1,100,RD
1707151651.729961,543218.000,20483,2,AK,1,100,19647
1707151654.353202,545760.000,20483,2,AK,1,100,RD
1707151654.374874,545781.000,20486,2,AK,1,100,20484
1707151654.396545,545802.000,20486,2,AK,1,100,RD
1707151657.012046,548336.500,21323,2,AK,1,100,20484
1707151659.627547,550871.000,21323,2,AK,1,100,RD
1707151659.638899,550882.000,21326,2,AK,1,100,21324
1707151659.650250,550893.000,21326,2,AK,1,100,RD
1707151662.284843,553446.000,22181,2,AK,1,100,21324
1707151664.919435,555999.000,22181,2,AK,1,100,RD
1707151664.936979,556016.000,22184,2,AK,1,100,22182
1707151664.954522,556033.000,22184,2,AK,1,100,RD
1707151667.572087,558569.500,23020,2,AK,1,100,22182
1707151670.189652,561106.000,23020,2,AK,1,100,RD
1707151670.206164,561122.000,23023,2,AK,1,100,23021
1707151670.222675,561138.000,23023,2,AK,1,100,RD
1707151672.841788,563676.000,23845,2,AK,1,100,23021
1707151675.460901,566214.000,23845,2,AK,1,100,RD
1707151675.472253,566225.000,23848,2,AK,1,100,23846
1707151675.483604,566236.000,23848,2,AK,1,100,RD
1707151678.110973,568782.000,24670,2,AK,1,100,23846
1707151680.738342,571328.000,24670,2,AK,1,100,RD
1707151680.751242,571340.500,24673,2,AK,1,100,24671
1707151680.764141,571353.000,24673,2,AK,1,100,RD
1707151683.385834,573893.500,25447,2,AK,1,100,24671
1707151686.007527,576434.000,25447,2,AK,1,100,RD
