LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1707151602.705695,495712.000,12489,7,AZ,1,100,-0.280
1707151602.705695,495712.000,12489,7,AZ,1,100,-0.280
1707151602.705695,495712.000,12489,7,AZ,1,100,-0.283
1707151602.705695,495712.000,12489,7,AZ,1,100,-0.278
1707151602.705695,495712.000,12489,7,AZ,1,100,-0.275
1707151602.705695,495712.000,12489,7,AZ,1,100,-0.283
1707151602.705695,495712.000,12489,7,AZ,1,100,-0.278
1707151602.745941,495751.000,12506,3,AZ,1,100,-0.277
1707151602.786188,495790.000,12506,3,AZ,1,100,-0.285
1707151602.826434,495829.000,12506,3,AZ,1,100,-0.276
1707151602.866681,495868.000,12522,2,AZ,1,100,-0.278
1707151602.906927,495907.000,12522,2,AZ,1,100,-0.282
1707151602.946485,495945.333,12538,3,AZ,1,100,-0.282
1707151602.986044,495983.667,12538,3,AZ,1,100,-0.280
1707151603.025602,496022.000,12538,3,AZ,1,100,-0.281
1707151603.065161,496060.333,12554,3,AZ,1,100,-0.279
1707151603.104719,496098.667,12554,3,AZ,1,100,-0.280
1707151603.144278,496137.000,12554,3,AZ,1,100,-0.277
1707151603.183492,496175.000,12573,2,AZ,1,100,-0.282
1707151603.222707,496213.000,12573,2,AZ,1,100,-0.280
1707151603.263297,496252.333,12589,3,AZ,1,100,-0.279
1707151603.303887,496291.667,12589,3,AZ,1,100,-0.282
1707151603.344478,496331.000,12589,3,AZ,1,100,-0.274
1707151603.384724,496370.000,12607,3,AZ,1,100,-0.279
1707151603.424971,496409.000,12607,3,AZ,1,100,-0.285
1707151603.465217,496448.000,12607,3,AZ,1,100,-0.280
1707151603.505463,496487.000,12621,2,AZ,1,100,-0.277
1707151603.545710,496526.000,12621,2,AZ,1,100,-0.284
1707151603.585268,496564.333,12638,3,AZ,1,100,-0.273
1707151603.624827,496602.667,12638,3,AZ,1,100,-0.280
1707151603.664385,496641.000,12638,3,AZ,1,100,-0.279
1707151603.704116,496679.500,12655,2,AZ,1,100,-0.280
1707151603.743846,496718.000,12655,2,AZ,1,100,-0.277
1707151603.783749,496756.667,12672,3,AZ,1,100,-0.278
1707151603.823651,496795.333,12672,3,AZ,1,100,-0.278
1707151603.863553,496834.000,12672,3,AZ,1,100,-0.275
1707151603.904832,496874.000,12687,2,AZ,1,100,-0.278
1707151603.946110,496914.000,12687,2,AZ,1,100,-0.278
1707151603.986357,496953.000,12706,3,AZ,1,100,-0.276
1707151604.026603,496992.000,12706,3,AZ,1,100,-0.278
1707151604.066849,497031.000,12706,3,AZ,1,100,-0.282
1707151604.106752,497069.667,12722,3,AZ,1,100,-0.277
1707151604.146654,497108.333,12722,3,AZ,1,100,-0.276
1707151604.186557,497147.000,12722,3,AZ,1,100,-0.278
1707151604.225771,497185.000,12739,3,AZ,1,100,-0.281
1707151604.264986,497223.000,12739,3,AZ,1,100,-0.279
1707151604.304200,497261.000,12739,3,AZ,1,100,-0.275
1707151604.344446,497300.000,12756,2,AZ,1,100,-0.275
1707151604.384693,497339.000,12756,2,AZ,1,100,-0.281
1707151604.424595,497377.667,12772,3,AZ,1,100,-0.283
1707151604.464498,497416.333,12772,3,AZ,1,100,-0.274
1707151604.504400,497455.000,12772,3,AZ,1,100,-0.276
1707151604.545163,497494.500,12787,2,AZ,1,100,-0.280
1707151604.585925,497534.000,12787,2,AZ,1,100,-0.281
1707151604.626171,497573.000,12805,3,AZ,1,100,-0.279
1707151604.666418,497612.000,12805,3,AZ,1,100,-0.278
1707151604.706664,497651.000,12805,3,AZ,1,100,-0.281
1707151604.742095,497685.333,12821,3,AZ,1,100,-0.278
1707151604.777525,497719.667,12821,3,AZ,1,100,-0.280
1707151604.812956,497754.000,12821,3,AZ,1,100,-0.278
1707151604.852171,497792.000,12840,3,AZ,1,100,-0.281
1707151604.891385,497830.000,12840,3,AZ,1,100,-0.277
1707151604.930599,497868.000,12840,3,AZ,1,100,-0.279
1707151604.971878,497908.000,12854,2,AZ,1,100,-0.281
1707151605.013156,497948.000,12854,2,AZ,1,100,-0.282
1707151605.053196,497986.800,12872,5,AZ,1,100,-0.278
1707151605.093236,498025.600,12872,5,AZ,1,100,-0.277
1707151605.133276,498064.400,12872,5,AZ,1,100,-0.282
1707151605.173316,498103.200,12872,5,AZ,1,100,-0.281
1707151605.213356,498142.000,12872,5,AZ,1,100,-0.284
1707151605.253259,498180.667,12888,3,AZ,1,100,-0.283
1707151605.293161,498219.333,12888,3,AZ,1,100,-0.277
1707151605.333064,498258.000,12888,3,AZ,1,100,-0.277
1707151605.373310,498297.000,12905,2,AZ,1,100,-0.282
1707151605.413557,498336.000,12905,2,AZ,1,100,-0.281
1707151605.452771,498374.000,12922,3,AZ,1,100,-0.279
1707151605.491985,498412.000,12922,3,AZ,1,100,-0.279
1707151605.531200,498450.000,12922,3,AZ,1,100,-0.281
1707151605.572134,498489.667,12939,3,AZ,1,100,-0.283
1707151605.613069,498529.333,12939,3,AZ,1,100,-0.280
1707151605.654003,498569.000,12939,3,AZ,1,100,-0.279
1707151605.693734,498607.500,12958,2,AZ,1,100,-0.281
1707151605.733464,498646.000,12958,2,AZ,1,100,-0.282
1707151605.773710,498685.000,12975,3,AZ,1,100,-0.281
1707151605.813957,498724.000,12975,3,AZ,1,100,-0.280
