LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1707151602.719110,495725.000,12483,2,EA,1,100,3.463300
1707151602.719110,495725.000,12483,2,EA,1,100,3.449465
1707151602.787220,495791.000,12500,1,EA,1,100,3.447753
1707151602.853781,495855.500,12516,2,EA,1,100,3.440884
1707151602.920342,495920.000,12516,2,EA,1,100,3.440884
1707151602.986388,495984.000,12533,1,EA,1,100,3.435753
1707151603.051401,496047.000,12549,2,EA,1,100,3.432333
1707151603.116415,496110.000,12549,2,EA,1,100,3.432333
1707151603.182460,496174.000,12567,2,EA,1,100,3.432333
1707151603.248506,496238.000,12567,2,EA,1,100,3.432333
1707151603.317647,496305.000,12583,1,EA,1,100,3.425526
1707151603.385240,496370.500,12601,2,EA,1,100,3.423837
1707151603.452834,496436.000,12601,2,EA,1,100,3.417051
1707151603.518879,496500.000,12617,1,EA,1,100,3.415370
1707151603.584924,496564.000,12632,2,EA,1,100,3.411991
1707151603.650970,496628.000,12632,2,EA,1,100,3.406958
1707151603.717015,496692.000,12649,1,EA,1,100,3.405275
1707151603.783577,496756.500,12666,2,EA,1,100,3.401927
1707151603.850138,496821.000,12666,2,EA,1,100,3.398575
1707151603.918247,496887.000,12682,1,EA,1,100,3.395228
1707151603.985841,496952.500,12701,2,EA,1,100,3.393569
1707151604.053434,497018.000,12701,2,EA,1,100,3.390244
1707151604.119995,497082.500,12716,2,EA,1,100,3.390244
1707151604.186557,497147.000,12716,2,EA,1,100,3.385263
1707151604.252602,497211.000,12733,1,EA,1,100,3.381943
1707151604.318648,497275.000,12750,2,EA,1,100,3.381943
1707151604.384693,497339.000,12750,2,EA,1,100,3.381943
1707151604.449706,497402.000,12767,1,EA,1,100,3.381943
1707151604.517816,497468.000,12782,2,EA,1,100,3.378629
1707151604.585925,497534.000,12782,2,EA,1,100,3.378629
1707151604.653002,497599.000,12799,2,EA,1,100,3.375334
1707151604.720080,497664.000,12799,2,EA,1,100,3.373694
1707151604.786125,497728.000,12815,1,EA,1,100,3.376987
1707151604.852171,497792.000,12834,2,EA,1,100,3.375334
1707151604.918216,497856.000,12834,2,EA,1,100,3.373694
1707151604.985293,497921.000,12850,1,EA,1,100,3.373694
1707151605.052715,497986.333,12866,3,EA,1,100,3.373694
1707151605.120136,498051.667,12866,3,EA,1,100,3.373694
1707151605.187557,498117.000,12866,3,EA,1,100,3.373694
1707151605.254119,498181.500,12882,2,EA,1,100,3.373694
1707151605.320680,498246.000,12882,2,EA,1,100,3.373694
1707151605.385694,498309.000,12900,1,EA,1,100,3.376987
1707151605.451739,498373.000,12917,2,EA,1,100,3.376987
1707151605.517784,498437.000,12917,2,EA,1,100,3.375334
1707151605.585894,498503.000,12933,2,EA,1,100,3.373694
1707151605.654003,498569.000,12933,2,EA,1,100,3.373694
1707151605.721080,498634.000,12952,1,EA,1,100,3.373694
1707151605.787642,498698.500,12969,2,EA,1,100,3.376987
1707151605.854203,498763.000,12969,2,EA,1,100,3.373694
1707151605.920249,498827.000,12985,1,EA,1,100,3.373694
1707151605.986810,498891.500,13001,2,EA,1,100,3.375334
1707151606.053371,498956.000,13001,2,EA,1,100,3.373694
1707151606.118901,499019.500,13017,2,EA,1,100,3.373694
1707151606.184430,499083.000,13017,2,EA,1,100,3.370396
1707151606.252540,499149.000,13034,2,EA,1,100,3.373694
1707151606.320649,499215.000,13034,2,EA,1,100,3.372044
1707151606.387726,499280.000,13051,1,EA,1,100,3.367105
1707151606.454288,499344.500,13068,2,EA,1,100,3.367105
1707151606.520849,499409.000,13068,2,EA,1,100,3.370396
1707151606.584831,499471.000,13086,1,EA,1,100,3.370396
1707151606.651908,499536.000,13102,2,EA,1,100,3.368762
1707151606.718985,499601.000,13102,2,EA,1,100,3.368762
1707151606.785375,499665.333,13123,3,EA,1,100,3.365474
1707151606.851764,499729.667,13123,3,EA,1,100,3.365474
1707151606.918153,499794.000,13123,3,EA,1,100,3.365474
1707151606.983167,499857.000,13139,1,EA,1,100,3.365474
1707151607.049728,499921.500,13155,2,EA,1,100,3.365474
1707151607.116290,499986.000,13155,2,EA,1,100,3.365474
1707151607.182851,500050.500,13171,2,EA,1,100,3.365474
1707151607.249412,500115.000,13171,2,EA,1,100,3.365474
1707151607.317522,500181.000,13188,1,EA,1,100,3.367105
1707151607.384083,500245.500,13205,2,EA,1,100,3.370396
1707151607.450644,500310.000,13205,2,EA,1,100,3.373694
1707151607.516690,500374.000,13224,2,EA,1,100,3.373694
1707151607.582735,500438.000,13224,2,EA,1,100,3.373694
1707151607.646717,500500.000,13239,1,EA,1,100,3.373694
1707151607.713278,500564.500,13256,2,EA,1,100,3.373694
1707151607.779840,500629.000,13256,2,EA,1,100,3.373694
1707151607.847949,500695.000,13272,1,EA,1,100,3.373694
1707151607.916058,500761.000,13289,2,EA,1,100,3.376987
1707151607.984168,500827.000,13289,2,EA,1,100,3.373694
1707151608.050213,500891.000,13306,1,EA,1,100,3.373694
1707151608.116774,500955.500,13321,2,EA,1,100,3.375334
1707151608.183336,501020.000,13321,2,EA,1,100,3.385263
1707151608.248865,501083.500,13337,2,EA,1,100,3.393569
1707151608.314395,501147.000,13337,2,EA,1,100,3.398575
1707151608.381472,501212.000,13357,1,EA,1,100,3.398575
1707151608.449065,501277.500,13373,2,EA,1,100,3.398575
1707151608.516659,501343.000,13373,2,EA,1,100,3.398575
1707151608.584252,501408.500,13390,2,EA,1,100,3.398575
1707151608.651845,501474.000,13390,2,EA,1,100,3.398575
1707151608.717891,501538.000,13407,1,EA,1,100,3.398575
1707151608.783420,501601.500,13422,2,EA,1,100,3.398575
1707151608.848950,501665.000,13422,2,EA,1,100,3.400239
1707151608.916027,501730.000,13438,1,EA,1,100,3.398575
1707151608.982072,501794.000,13456,2,EA,1,100,3.401927
1707151609.048118,501858.000,13456,2,EA,1,100,3.398575
1707151609.116227,501924.000,13474,2,EA,1,100,3.405275
1707151609.184336,501990.000,13474,2,EA,1,100,3.406958
1707151609.251414,502055.000,13491,2,EA,1,100,3.406958
1707151609.318491,502120.000,13491,2,EA,1,100,3.406958
1707151609.384537,502184.000,13508,1,EA,1,100,3.406958
1707151609.450066,502247.500,13523,2,EA,1,100,3.408630
1707151609.515595,502311.000,13523,2,EA,1,100,3.408630
1707151609.582673,502376.000,13539,1,EA,1,100,3.415370
1707151609.649234,502440.500,13557,2,EA,1,100,3.417051
1707151609.715796,502505.000,13557,2,EA,1,100,3.417051
1707151609.782357,502569.500,13573,2,EA,1,100,3.417051
1707151609.848918,502634.000,13573,2,EA,1,100,3.422138
1707151609.912900,502696.000,13589,1,EA,1,100,3.420440
1707151609.979977,502761.000,13605,2,EA,1,100,3.423837
1707151610.047055,502826.000,13605,2,EA,1,100,3.423837
1707151610.113100,502890.000,13624,1,EA,1,100,3.430638
1707151610.181209,502956.000,13640,2,EA,1,100,3.430638
1707151610.249319,503022.000,13640,2,EA,1,100,3.432333
