LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1707151602.719110,495725.000,12484,2,EL,1,100,-19125.599609
1707151602.719110,495725.000,12484,2,EL,1,100,-19124.000000
1707151602.787220,495791.000,12501,1,EL,1,100,-19123.800781
1707151602.853781,495855.500,12517,2,EL,1,100,-19123.000000
1707151602.920342,495920.000,12517,2,EL,1,100,-19123.000000
1707151602.986388,495984.000,12534,1,EL,1,100,-19122.400391
1707151603.051401,496047.000,12550,2,EL,1,100,-19122.000000
1707151603.116415,496110.000,12550,2,EL,1,100,-19122.000000
1707151603.182460,496174.000,12568,2,EL,1,100,-19122.000000
1707151603.248506,496238.000,12568,2,EL,1,100,-19122.000000
1707151603.317647,496305.000,12584,1,EL,1,100,-19121.199219
1707151603.385240,496370.500,12602,2,EL,1,100,-19121.000000
1707151603.452834,496436.000,12602,2,EL,1,100,-19120.199219
1707151603.518879,496500.000,12618,1,EL,1,100,-19120.000000
1707151603.584924,496564.000,12633,2,EL,1,100,-19119.599609
1707151603.650970,496628.000,12633,2,EL,1,100,-19119.000000
1707151603.717015,496692.000,12650,1,EL,1,100,-19118.800781
1707151603.783577,496756.500,12667,2,EL,1,100,-19118.400391
1707151603.850138,496821.000,12667,2,EL,1,100,-19118.000000
1707151603.918247,496887.000,12683,1,EL,1,100,-19117.599609
1707151603.985841,496952.500,12702,2,EL,1,100,-19117.400391
1707151604.053434,497018.000,12702,2,EL,1,100,-19117.000000
1707151604.119995,497082.500,12717,2,EL,1,100,-19117.000000
1707151604.186557,497147.000,12717,2,EL,1,100,-19116.400391
1707151604.252602,497211.000,12734,1,EL,1,100,-19116.000000
1707151604.318648,497275.000,12751,2,EL,1,100,-19116.000000
1707151604.384693,497339.000,12751,2,EL,1,100,-19116.000000
1707151604.449706,497402.000,12768,1,EL,1,100,-19116.000000
1707151604.517816,497468.000,12783,2,EL,1,100,-19115.599609
1707151604.585925,497534.000,12783,2,EL,1,100,-19115.599609
1707151604.653002,497599.000,12800,2,EL,1,100,-19115.199219
1707151604.720080,497664.000,12800,2,EL,1,100,-19115.000000
1707151604.786125,497728.000,12816,1,EL,1,100,-19115.400391
1707151604.852171,497792.000,12835,2,EL,1,100,-19115.199219
1707151604.918216,497856.000,12835,2,EL,1,100,-19115.000000
1707151604.985293,497921.000,12851,1,EL,1,100,-19115.000000
1707151605.052715,497986.333,12867,3,EL,1,100,-19115.000000
1707151605.120136,498051.667,12867,3,EL,1,100,-19115.000000
1707151605.187557,498117.000,12867,3,EL,1,100,-19115.000000
1707151605.254119,498181.500,12883,2,EL,1,100,-19115.000000
1707151605.320680,498246.000,12883,2,EL,1,100,-19115.000000
1707151605.385694,498309.000,12901,1,EL,1,100,-19115.400391
1707151605.451739,498373.000,12918,2,EL,1,100,-19115.400391
1707151605.517784,498437.000,12918,2,EL,1,100,-19115.199219
1707151605.585894,498503.000,12934,2,EL,1,100,-19115.000000
1707151605.654003,498569.000,12934,2,EL,1,100,-19115.000000
1707151605.721080,498634.000,12953,1,EL,1,100,-19115.000000
1707151605.787642,498698.500,12970,2,EL,1,100,-19115.400391
1707151605.854203,498763.000,12970,2,EL,1,100,-19115.000000
1707151605.920249,498827.000,12986,1,EL,1,100,-19115.000000
1707151605.986810,498891.500,13002,2,EL,1,100,-19115.199219
1707151606.053371,498956.000,13002,2,EL,1,100,-19115.000000
1707151606.118901,499019.500,13018,2,EL,1,100,-19115.000000
1707151606.184430,499083.000,13018,2,EL,1,100,-19114.599609
1707151606.252540,499149.000,13035,2,EL,1,100,-19115.000000
1707151606.320649,499215.000,13035,2,EL,1,100,-19114.800781
1707151606.387726,499280.000,13052,1,EL,1,100,-19114.199219
1707151606.454288,499344.500,13069,2,EL,1,100,-19114.199219
1707151606.520849,499409.000,13069,2,EL,1,100,-19114.599609
1707151606.584831,499471.000,13087,1,EL,1,100,-19114.599609
1707151606.651908,499536.000,13103,2,EL,1,100,-19114.400391
1707151606.718985,499601.000,13103,2,EL,1,100,-19114.400391
1707151606.785375,499665.333,13124,3,EL,1,100,-19114.000000
1707151606.851764,499729.667,13124,3,EL,1,100,-19114.000000
1707151606.918153,499794.000,13124,3,EL,1,100,-19114.000000
1707151606.983167,499857.000,13140,1,EL,1,100,-19114.000000
1707151607.049728,499921.500,13156,2,EL,1,100,-19114.000000
1707151607.116290,499986.000,13156,2,EL,1,100,-19114.000000
1707151607.182851,500050.500,13172,2,EL,1,100,-19114.000000
1707151607.249412,500115.000,13172,2,EL,1,100,-19114.000000
1707151607.317522,500181.000,13189,1,EL,1,100,-19114.199219
1707151607.384083,500245.500,13206,2,EL,1,100,-19114.599609
1707151607.450644,500310.000,13206,2,EL,1,100,-19115.000000
1707151607.516690,500374.000,13225,2,EL,1,100,-19115.000000
1707151607.582735,500438.000,13225,2,EL,1,100,-19115.000000
1707151607.646717,500500.000,13240,1,EL,1,100,-19115.000000
1707151607.713278,500564.500,13257,2,EL,1,100,-19115.000000
1707151607.779840,500629.000,13257,2,EL,1,100,-19115.000000
1707151607.847949,500695.000,13273,1,EL,1,100,-19115.000000
1707151607.916058,500761.000,13290,2,EL,1,100,-19115.400391
1707151607.984168,500827.000,13290,2,EL,1,100,-19115.000000
1707151608.050213,500891.000,13307,1,EL,1,100,-19115.000000
1707151608.116774,500955.500,13322,2,EL,1,100,-19115.199219
1707151608.183336,501020.000,13322,2,EL,1,100,-19116.400391
1707151608.248865,501083.500,13338,2,EL,1,100,-19117.400391
1707151608.314395,501147.000,13338,2,EL,1,100,-19118.000000
