LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1707151602.705695,495712.000,12490,7,GX,1,100,-0.458
1707151602.705695,495712.000,12490,7,GX,1,100,-0.427
1707151602.705695,495712.000,12490,7,GX,1,100,-0.244
1707151602.705695,495712.000,12490,7,GX,1,100,-0.549
1707151602.705695,495712.000,12490,7,GX,1,100,-1.617
1707151602.705695,495712.000,12490,7,GX,1,100,0.366
1707151602.705695,495712.000,12490,7,GX,1,100,-0.214
1707151602.745941,495751.000,12507,3,GX,1,100,-1.038
1707151602.786188,495790.000,12507,3,GX,1,100,1.160
1707151602.826434,495829.000,12507,3,GX,1,100,0.580
1707151602.866681,495868.000,12523,2,GX,1,100,-1.129
1707151602.906927,495907.000,12523,2,GX,1,100,-0.549
1707151602.946485,495945.333,12539,3,GX,1,100,0.061
1707151602.986044,495983.667,12539,3,GX,1,100,-0.641
1707151603.025602,496022.000,12539,3,GX,1,100,-0.641
1707151603.065161,496060.333,12555,3,GX,1,100,0.092
1707151603.104719,496098.667,12555,3,GX,1,100,-0.092
1707151603.144278,496137.000,12555,3,GX,1,100,-0.854
1707151603.183492,496175.000,12574,2,GX,1,100,-0.519
1707151603.222707,496213.000,12574,2,GX,1,100,-0.549
1707151603.263297,496252.333,12590,3,GX,1,100,-0.824
1707151603.303887,496291.667,12590,3,GX,1,100,0.275
1707151603.344478,496331.000,12590,3,GX,1,100,-0.977
1707151603.384724,496370.000,12608,3,GX,1,100,-1.434
1707151603.424971,496409.000,12608,3,GX,1,100,0.580
1707151603.465217,496448.000,12608,3,GX,1,100,-0.641
1707151603.505463,496487.000,12622,2,GX,1,100,-1.678
1707151603.545710,496526.000,12622,2,GX,1,100,-0.702
1707151603.585268,496564.333,12639,3,GX,1,100,-0.763
1707151603.624827,496602.667,12639,3,GX,1,100,-0.549
1707151603.664385,496641.000,12639,3,GX,1,100,-0.336
1707151603.704116,496679.500,12656,2,GX,1,100,-1.038
1707151603.743846,496718.000,12656,2,GX,1,100,-1.038
1707151603.783749,496756.667,12673,3,GX,1,100,-0.244
1707151603.823651,496795.333,12673,3,GX,1,100,-0.244
1707151603.863553,496834.000,12673,3,GX,1,100,-1.007
1707151603.904832,496874.000,12688,2,GX,1,100,-0.275
1707151603.946110,496914.000,12688,2,GX,1,100,0.122
1707151603.986357,496953.000,12707,3,GX,1,100,-1.068
1707151604.026603,496992.000,12707,3,GX,1,100,-0.977
1707151604.066849,497031.000,12707,3,GX,1,100,-0.305
1707151604.106752,497069.667,12723,3,GX,1,100,-0.641
1707151604.146654,497108.333,12723,3,GX,1,100,-0.488
1707151604.186557,497147.000,12723,3,GX,1,100,-0.092
1707151604.225771,497185.000,12740,3,GX,1,100,0.000
1707151604.264986,497223.000,12740,3,GX,1,100,-0.122
1707151604.304200,497261.000,12740,3,GX,1,100,-0.732
1707151604.344446,497300.000,12757,2,GX,1,100,-0.824
1707151604.384693,497339.000,12757,2,GX,1,100,0.183
1707151604.424595,497377.667,12773,3,GX,1,100,0.153
1707151604.464498,497416.333,12773,3,GX,1,100,-0.519
1707151604.504400,497455.000,12773,3,GX,1,100,-0.214
1707151604.545163,497494.500,12788,2,GX,1,100,0.122
1707151604.585925,497534.000,12788,2,GX,1,100,-0.366
1707151604.626171,497573.000,12806,3,GX,1,100,-0.488
1707151604.666418,497612.000,12806,3,GX,1,100,-0.427
1707151604.706664,497651.000,12806,3,GX,1,100,-0.671
1707151604.742095,497685.333,12822,3,GX,1,100,-0.641
1707151604.777525,497719.667,12822,3,GX,1,100,-0.031
1707151604.812956,497754.000,12822,3,GX,1,100,-0.092
1707151604.852171,497792.000,12841,3,GX,1,100,-0.031
1707151604.891385,497830.000,12841,3,GX,1,100,-0.305
1707151604.930599,497868.000,12841,3,GX,1,100,-0.397
1707151604.971878,497908.000,12855,2,GX,1,100,0.214
1707151605.013156,497948.000,12855,2,GX,1,100,-0.031
1707151605.053196,497986.800,12873,5,GX,1,100,-0.641
1707151605.093236,498025.600,12873,5,GX,1,100,-1.251
1707151605.133276,498064.400,12873,5,GX,1,100,-0.122
1707151605.173316,498103.200,12873,5,GX,1,100,0.214
1707151605.213356,498142.000,12873,5,GX,1,100,-0.549
1707151605.253259,498180.667,12889,3,GX,1,100,0.702
1707151605.293161,498219.333,12889,3,GX,1,100,-0.610
1707151605.333064,498258.000,12889,3,GX,1,100,-1.770
1707151605.373310,498297.000,12906,2,GX,1,100,0.488
1707151605.413557,498336.000,12906,2,GX,1,100,0.488
1707151605.452771,498374.000,12923,3,GX,1,100,-0.793
1707151605.491985,498412.000,12923,3,GX,1,100,-0.793
1707151605.531200,498450.000,12923,3,GX,1,100,-0.092
1707151605.572134,498489.667,12940,3,GX,1,100,-0.305
1707151605.613069,498529.333,12940,3,GX,1,100,-0.610
1707151605.654003,498569.000,12940,3,GX,1,100,-0.671
1707151605.693734,498607.500,12959,2,GX,1,100,-1.038
1707151605.733464,498646.000,12959,2,GX,1,100,-0.092
1707151605.773710,498685.000,12976,3,GX,1,100,0.275
1707151605.813957,498724.000,12976,3,GX,1,100,-0.702
1707151605.854203,498763.000,12976,3,GX,1,100,-1.099
1707151605.893934,498801.500,12990,2,GX,1,100,-0.610
1707151605.933664,498840.000,12990,2,GX,1,100,-0.214
1707151605.973567,498878.667,13008,3,GX,1,100,-0.458
1707151606.013469,498917.333,13008,3,GX,1,100,-0.336
1707151606.053371,498956.000,13008,3,GX,1,100,-0.336
1707151606.093102,498994.500,13024,4,GX,1,100,-0.763
1707151606.132832,499033.000,13024,4,GX,1,100,-0.214
1707151606.172563,499071.500,13024,4,GX,1,100,-0.610
1707151606.212293,499110.000,13024,4,GX,1,100,-0.763
1707151606.253056,499149.500,13041,2,GX,1,100,0.671
1707151606.293818,499189.000,13041,2,GX,1,100,0.336
1707151606.333720,499227.667,13058,3,GX,1,100,-0.793
1707151606.373623,499266.333,13058,3,GX,1,100,-0.458
1707151606.413525,499305.000,13058,3,GX,1,100,-0.244
1707151606.453084,499343.333,13075,3,GX,1,100,-1.068
1707151606.492642,499381.667,13075,3,GX,1,100,-0.671
1707151606.532201,499420.000,13075,3,GX,1,100,0.641
1707151606.572447,499459.000,13091,2,GX,1,100,-0.732
1707151606.612693,499498.000,13091,2,GX,1,100,-0.854
1707151606.652596,499536.667,13109,3,GX,1,100,0.641
1707151606.692498,499575.333,13109,3,GX,1,100,-0.732
1707151606.732401,499614.000,13109,3,GX,1,100,-0.916
1707151606.772234,499652.600,13130,5,GX,1,100,-0.092
1707151606.812068,499691.200,13130,5,GX,1,100,-0.793
1707151606.851902,499729.800,13130,5,GX,1,100,-0.366
1707151606.891735,499768.400,13130,5,GX,1,100,0.031
1707151606.931569,499807.000,13130,5,GX,1,100,-1.373
1707151606.970783,499845.000,13144,2,GX,1,100,-0.732
1707151607.009998,499883.000,13144,2,GX,1,100,0.427
1707151607.049900,499921.667,13162,3,GX,1,100,-1.404
1707151607.089803,499960.333,13162,3,GX,1,100,-0.763
1707151607.129705,499999.000,13162,3,GX,1,100,0.549
