LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1707151602.705695,495712.000,12491,7,GY,1,100,-0.427
1707151602.705695,495712.000,12491,7,GY,1,100,-0.397
1707151602.705695,495712.000,12491,7,GY,1,100,-0.336
1707151602.705695,495712.000,12491,7,GY,1,100,-0.671
1707151602.705695,495712.000,12491,7,GY,1,100,-0.366
1707151602.705695,495712.000,12491,7,GY,1,100,-0.122
1707151602.705695,495712.000,12491,7,GY,1,100,-0.519
1707151602.745941,495751.000,12508,3,GY,1,100,-0.763
1707151602.786188,495790.000,12508,3,GY,1,100,-0.061
1707151602.826434,495829.000,12508,3,GY,1,100,-0.397
1707151602.866681,495868.000,12524,2,GY,1,100,-1.495
1707151602.906927,495907.000,12524,2,GY,1,100,-0.458
1707151602.946485,495945.333,12540,3,GY,1,100,-0.122
1707151602.986044,495983.667,12540,3,GY,1,100,-0.488
1707151603.025602,496022.000,12540,3,GY,1,100,-0.214
1707151603.065161,496060.333,12556,3,GY,1,100,-0.031
1707151603.104719,496098.667,12556,3,GY,1,100,-0.702
1707151603.144278,496137.000,12556,3,GY,1,100,-0.671
1707151603.183492,496175.000,12575,2,GY,1,100,-0.183
1707151603.222707,496213.000,12575,2,GY,1,100,-0.549
1707151603.263297,496252.333,12591,3,GY,1,100,-0.549
1707151603.303887,496291.667,12591,3,GY,1,100,-0.305
1707151603.344478,496331.000,12591,3,GY,1,100,-0.397
1707151603.384724,496370.000,12609,3,GY,1,100,-0.366
1707151603.424971,496409.000,12609,3,GY,1,100,-0.153
1707151603.465217,496448.000,12609,3,GY,1,100,-0.366
1707151603.505463,496487.000,12623,2,GY,1,100,-0.031
1707151603.545710,496526.000,12623,2,GY,1,100,0.061
1707151603.585268,496564.333,12640,3,GY,1,100,-0.183
1707151603.624827,496602.667,12640,3,GY,1,100,-0.305
1707151603.664385,496641.000,12640,3,GY,1,100,-0.427
1707151603.704116,496679.500,12657,2,GY,1,100,-0.122
1707151603.743846,496718.000,12657,2,GY,1,100,-0.153
1707151603.783749,496756.667,12674,3,GY,1,100,-0.427
1707151603.823651,496795.333,12674,3,GY,1,100,-0.610
1707151603.863553,496834.000,12674,3,GY,1,100,-0.092
1707151603.904832,496874.000,12689,2,GY,1,100,-0.275
1707151603.946110,496914.000,12689,2,GY,1,100,-0.641
1707151603.986357,496953.000,12708,3,GY,1,100,-0.183
1707151604.026603,496992.000,12708,3,GY,1,100,-0.092
1707151604.066849,497031.000,12708,3,GY,1,100,-0.549
1707151604.106752,497069.667,12724,3,GY,1,100,-0.366
1707151604.146654,497108.333,12724,3,GY,1,100,-0.549
1707151604.186557,497147.000,12724,3,GY,1,100,-0.549
1707151604.225771,497185.000,12741,3,GY,1,100,-0.641
1707151604.264986,497223.000,12741,3,GY,1,100,-0.488
1707151604.304200,497261.000,12741,3,GY,1,100,-0.305
1707151604.344446,497300.000,12758,2,GY,1,100,-0.244
1707151604.384693,497339.000,12758,2,GY,1,100,-0.732
1707151604.424595,497377.667,12774,3,GY,1,100,-0.793
1707151604.464498,497416.333,12774,3,GY,1,100,-0.549
1707151604.504400,497455.000,12774,3,GY,1,100,-0.458
1707151604.545163,497494.500,12789,2,GY,1,100,-0.916
1707151604.585925,497534.000,12789,2,GY,1,100,-0.549
1707151604.626171,497573.000,12807,3,GY,1,100,-0.366
1707151604.666418,497612.000,12807,3,GY,1,100,-0.519
1707151604.706664,497651.000,12807,3,GY,1,100,-0.458
1707151604.742095,497685.333,12823,3,GY,1,100,-0.244
1707151604.777525,497719.667,12823,3,GY,1,100,-0.580
1707151604.812956,497754.000,12823,3,GY,1,100,-0.580
1707151604.852171,497792.000,12842,3,GY,1,100,-0.488
1707151604.891385,497830.000,12842,3,GY,1,100,-0.397
1707151604.930599,497868.000,12842,3,GY,1,100,-0.519
1707151604.971878,497908.000,12856,2,GY,1,100,-0.641
1707151605.013156,497948.000,12856,2,GY,1,100,-0.641
1707151605.053196,497986.800,12874,5,GY,1,100,-0.580
1707151605.093236,498025.600,12874,5,GY,1,100,-0.641
1707151605.133276,498064.400,12874,5,GY,1,100,-0.305
1707151605.173316,498103.200,12874,5,GY,1,100,-0.519
1707151605.213356,498142.000,12874,5,GY,1,100,-0.519
1707151605.253259,498180.667,12890,3,GY,1,100,-0.122
1707151605.293161,498219.333,12890,3,GY,1,100,-0.519
1707151605.333064,498258.000,12890,3,GY,1,100,-0.824
1707151605.373310,498297.000,12907,2,GY,1,100,-0.275
1707151605.413557,498336.000,12907,2,GY,1,100,-0.183
1707151605.452771,498374.000,12924,3,GY,1,100,-0.336
1707151605.491985,498412.000,12924,3,GY,1,100,-0.458
1707151605.531200,498450.000,12924,3,GY,1,100,-0.427
1707151605.572134,498489.667,12941,3,GY,1,100,-0.397
1707151605.613069,498529.333,12941,3,GY,1,100,-0.305
