LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1707151603.152533,496145,12563,1,HR,1,100,84
1707151603.997708,496964,12696,1,HR,1,100,81
1707151604.876938,497816,12830,1,HR,1,100,78
1707151605.760295,498672,12947,1,HR,1,100,76
1707151606.612693,499498,13082,1,HR,1,100,75
1707151607.486763,500345,13220,1,HR,1,100,73
1707151608.364961,501196,13352,1,HR,1,100,72
1707151609.211167,502016,13470,1,HR,1,100,72
1707151610.084205,502862,13620,1,HR,1,100,71
1707151610.937636,503689,13756,1,HR,1,100,71
1707151611.776619,504502,13871,1,HR,1,100,71
1707151612.647592,505346,13982,1,HR,1,100,71
1707151613.490703,506163,14086,1,HR,1,100,71
1707151614.373029,507018,14218,1,HR,1,100,70
1707151615.305920,507922,14367,1,HR,1,100,69
1707151616.181022,508770,14503,1,HR,1,100,69
1707151617.092242,509653,14654,1,HR,1,100,68
1707151617.971471,510505,14791,1,HR,1,100,68
1707151618.853797,511360,14926,1,HR,1,100,68
1707151619.745410,512224,15075,1,HR,1,100,68
1707151620.622575,513074,15209,1,HR,1,100,68
1707151621.493549,513918,15359,1,HR,1,100,68
1707151622.374842,514772,15491,1,HR,1,100,68
1707151623.291222,515660,15631,1,HR,1,100,68
1707151624.187995,516529,15780,1,HR,1,100,68
1707151625.105407,517418,15930,1,HR,1,100,67
1707151625.980509,518266,16064,1,HR,1,100,67
1707151626.894825,519152,16213,1,HR,1,100,67
1707151627.773022,520003,16348,1,HR,1,100,67
1707151628.705914,520907,16502,1,HR,1,100,67
1707151629.585143,521759,16651,1,HR,1,100,67
1707151630.496363,522642,16803,1,HR,1,100,67
1707151631.373529,523492,16936,1,HR,1,100,67
1707151632.303324,524393,17084,1,HR,1,100,67
1707151633.221768,525283,17222,1,HR,1,100,66
1707151634.102030,526136,17373,1,HR,1,100,67
1707151635.055560,527060,17522,1,HR,1,100,66
1707151635.971940,527948,17673,1,HR,1,100,66
1707151636.907928,528855,17806,1,HR,1,100,66
1707151637.826371,529745,17955,1,HR,1,100,65
1707151638.710761,530602,18094,1,HR,1,100,66
1707151639.624045,531487,18244,1,HR,1,100,66
1707151640.510498,532346,18381,1,HR,1,100,66
1707151641.437198,533244,18514,1,HR,1,100,66
1707151642.271021,534052,18648,1,HR,1,100,67
1707151643.112068,534867,18783,1,HR,1,100,68
1707151643.994393,535722,18904,1,HR,1,100,68
1707151644.888070,536588,19053,1,HR,1,100,68
1707151645.765236,537438,19190,1,HR,1,100,68
1707151646.644465,538290,19325,1,HR,1,100,68
1707151647.525759,539144,19410,1,HR,1,100,68
1707151648.449362,540039,19545,1,HR,1,100,68
1707151649.335815,540898,19700,1,HR,1,100,68
1707151650.256323,541790,19834,1,HR,1,100,67
1707151651.178895,542684,19985,1,HR,1,100,67
1707151652.059156,543537,20117,1,HR,1,100,67
1707151652.994112,544443,20267,1,HR,1,100,67
1707151653.868181,545290,20416,1,HR,1,100,67
1707151654.788689,546182,20556,1,HR,1,100,67
1707151655.667919,547034,20708,1,HR,1,100,67
1707151656.589459,547927,20840,1,HR,1,100,67
1707151657.475912,548786,20989,1,HR,1,100,67
1707151658.271553,549557,21121,1,HR,1,100,69
1707151659.070289,550331,21240,1,HR,1,100,70
1707151659.864898,551101,21379,1,HR,1,100,71
1707151660.623388,551836,21498,1,HR,1,100,73
1707151661.398390,552587,21615,1,HR,1,100,74
1707151662.194030,553358,21749,1,HR,1,100,74
1707151662.989671,554129,21882,1,HR,1,100,75
1707151663.746097,554862,21997,1,HR,1,100,76
1707151664.501492,555594,22115,1,HR,1,100,76
1707151665.262046,556331,22235,1,HR,1,100,77
1707151666.034984,557080,22372,1,HR,1,100,77
1707151666.795538,557817,22488,1,HR,1,100,78
1707151667.591178,558588,22620,1,HR,1,100,77
1707151668.468344,559438,22755,1,HR,1,100,75
1707151669.302167,560246,22888,1,HR,1,100,74
1707151670.239186,561154,23043,1,HR,1,100,72
1707151671.161758,562048,23177,1,HR,1,100,71
1707151672.079170,562937,23328,1,HR,1,100,69
1707151672.994518,563824,23477,1,HR,1,100,69
1707151673.875812,564678,23609,1,HR,1,100,68
1707151674.798383,565572,23742,1,HR,1,100,68
1707151675.638398,566386,23884,1,HR,1,100,69
1707151676.475318,567197,24016,1,HR,1,100,69
1707151677.353515,568048,24151,1,HR,1,100,69
1707151678.247192,568914,24283,1,HR,1,100,69
1707151679.085143,569726,24418,1,HR,1,100,69
1707151679.965404,570579,24551,1,HR,1,100,69
1707151680.882816,571468,24692,1,HR,1,100,68
1707151681.804356,572361,24780,1,HR,1,100,68
1707151682.733120,573261,24930,1,HR,1,100,67
1707151683.574167,574076,25062,1,HR,1,100,68
1707151684.452364,574927,25211,1,HR,1,100,68
1707151685.294443,575743,25346,1,HR,1,100,69
1707151686.134458,576557,25469,1,HR,1,100,69
1707151686.990985,577387,25604,1,HR,1,100,70
1707151687.828936,578199,25736,1,HR,1,100,70
1707151688.672047,579016,25869,1,HR,1,100,70
1707151689.585331,579901,26019,1,HR,1,100,69
1707151690.506870,580794,26153,1,HR,1,100,68
1707151691.395388,581655,26308,1,HR,1,100,68
1707151692.311768,582543,26457,1,HR,1,100,68
1707151693.233307,583436,26607,1,HR,1,100,67
1707151694.113569,584289,26739,1,HR,1,100,67
1707151695.046460,585193,26888,1,HR,1,100,67
1707151695.962840,586081,27040,1,HR,1,100,67
1707151696.874060,586964,27194,1,HR,1,100,66
1707151697.759482,587822,27328,1,HR,1,100,67
1707151698.716108,588749,27478,1,HR,1,100,66
1707151699.687182,589690,27627,1,HR,1,100,65
1707151700.604594,590579,27778,1,HR,1,100,65
1707151701.557092,591502,27927,1,HR,1,100,64
1707151702.480696,592397,28082,1,HR,1,100,65
1707151703.452802,593339,28231,1,HR,1,100,64
1707151704.411492,594268,28381,1,HR,1,100,64
1707151705.365023,595192,28534,1,HR,1,100,64
1707151706.281403,596080,28684,1,HR,1,100,64
1707151707.211198,596981,28837,1,HR,1,100,64
1707151708.129642,597871,28971,1,HR,1,100,64
1707151709.089365,598801,29120,1,HR,1,100,64
1707151710.005745,599689,29255,1,HR,1,100,64
1707151710.921093,600576,29407,1,HR,1,100,64
1707151711.887007,601512,29556,1,HR,1,100,64
1707151712.808547,602405,29693,1,HR,1,100,64
1707151713.731118,603299,29827,1,HR,1,100,65
1707151714.686713,604225,29978,1,HR,1,100,64
1707151715.571102,605082,30083,1,HR,1,100,65
