LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1707151602.705695,495712.000,12493,7,MX,1,100,35
1707151602.705695,495712.000,12493,7,MX,1,100,35
1707151602.705695,495712.000,12493,7,MX,1,100,35
1707151602.705695,495712.000,12493,7,MX,1,100,35
1707151602.705695,495712.000,12493,7,MX,1,100,36
1707151602.705695,495712.000,12493,7,MX,1,100,36
1707151602.705695,495712.000,12493,7,MX,1,100,35
1707151602.745941,495751.000,12510,3,MX,1,100,35
1707151602.786188,495790.000,12510,3,MX,1,100,35
1707151602.826434,495829.000,12510,3,MX,1,100,35
1707151602.866681,495868.000,12526,2,MX,1,100,35
1707151602.906927,495907.000,12526,2,MX,1,100,35
1707151602.946485,495945.333,12542,3,MX,1,100,34
1707151602.986044,495983.667,12542,3,MX,1,100,35
1707151603.025602,496022.000,12542,3,MX,1,100,35
1707151603.065161,496060.333,12558,3,MX,1,100,35
1707151603.104719,496098.667,12558,3,MX,1,100,35
1707151603.144278,496137.000,12558,3,MX,1,100,35
1707151603.183492,496175.000,12577,2,MX,1,100,35
1707151603.222707,496213.000,12577,2,MX,1,100,35
1707151603.263297,496252.333,12593,3,MX,1,100,35
1707151603.303887,496291.667,12593,3,MX,1,100,35
1707151603.344478,496331.000,12593,3,MX,1,100,34
1707151603.384724,496370.000,12611,3,MX,1,100,35
1707151603.424971,496409.000,12611,3,MX,1,100,35
1707151603.465217,496448.000,12611,3,MX,1,100,35
1707151603.505463,496487.000,12625,2,MX,1,100,35
1707151603.545710,496526.000,12625,2,MX,1,100,35
1707151603.585268,496564.333,12642,3,MX,1,100,35
1707151603.624827,496602.667,12642,3,MX,1,100,37
1707151603.664385,496641.000,12642,3,MX,1,100,36
1707151603.704116,496679.500,12659,2,MX,1,100,35
1707151603.743846,496718.000,12659,2,MX,1,100,35
1707151603.783749,496756.667,12676,3,MX,1,100,35
1707151603.823651,496795.333,12676,3,MX,1,100,35
1707151603.863553,496834.000,12676,3,MX,1,100,36
1707151603.904832,496874.000,12691,2,MX,1,100,35
1707151603.946110,496914.000,12691,2,MX,1,100,35
1707151603.986357,496953.000,12710,3,MX,1,100,35
1707151604.026603,496992.000,12710,3,MX,1,100,35
1707151604.066849,497031.000,12710,3,MX,1,100,36
1707151604.106752,497069.667,12726,3,MX,1,100,35
1707151604.146654,497108.333,12726,3,MX,1,100,35
1707151604.186557,497147.000,12726,3,MX,1,100,36
1707151604.225771,497185.000,12743,3,MX,1,100,36
1707151604.264986,497223.000,12743,3,MX,1,100,35
1707151604.304200,497261.000,12743,3,MX,1,100,35
1707151604.344446,497300.000,12760,2,MX,1,100,35
1707151604.384693,497339.000,12760,2,MX,1,100,35
1707151604.424595,497377.667,12776,3,MX,1,100,35
1707151604.464498,497416.333,12776,3,MX,1,100,35
1707151604.504400,497455.000,12776,3,MX,1,100,36
1707151604.545163,497494.500,12791,2,MX,1,100,35
1707151604.585925,497534.000,12791,2,MX,1,100,35
1707151604.626171,497573.000,12809,3,MX,1,100,36
1707151604.666418,497612.000,12809,3,MX,1,100,35
1707151604.706664,497651.000,12809,3,MX,1,100,36
1707151604.742095,497685.333,12825,3,MX,1,100,35
1707151604.777525,497719.667,12825,3,MX,1,100,36
1707151604.812956,497754.000,12825,3,MX,1,100,35
1707151604.852171,497792.000,12844,3,MX,1,100,35
1707151604.891385,497830.000,12844,3,MX,1,100,35
1707151604.930599,497868.000,12844,3,MX,1,100,36
1707151604.971878,497908.000,12858,2,MX,1,100,36
1707151605.013156,497948.000,12858,2,MX,1,100,35
1707151605.053196,497986.800,12876,5,MX,1,100,36
1707151605.093236,498025.600,12876,5,MX,1,100,35
1707151605.133276,498064.400,12876,5,MX,1,100,36
1707151605.173316,498103.200,12876,5,MX,1,100,35
1707151605.213356,498142.000,12876,5,MX,1,100,34
1707151605.253259,498180.667,12892,3,MX,1,100,35
1707151605.293161,498219.333,12892,3,MX,1,100,35
1707151605.333064,498258.000,12892,3,MX,1,100,36
1707151605.373310,498297.000,12909,2,MX,1,100,36
1707151605.413557,498336.000,12909,2,MX,1,100,36
1707151605.452771,498374.000,12926,3,MX,1,100,36
1707151605.491985,498412.000,12926,3,MX,1,100,35
1707151605.531200,498450.000,12926,3,MX,1,100,36
1707151605.572134,498489.667,12943,3,MX,1,100,35
1707151605.613069,498529.333,12943,3,MX,1,100,35
1707151605.654003,498569.000,12943,3,MX,1,100,36
1707151605.693734,498607.500,12962,2,MX,1,100,36
1707151605.733464,498646.000,12962,2,MX,1,100,35
1707151605.773710,498685.000,12979,3,MX,1,100,35
1707151605.813957,498724.000,12979,3,MX,1,100,36
1707151605.854203,498763.000,12979,3,MX,1,100,35
1707151605.893934,498801.500,12993,2,MX,1,100,35
1707151605.933664,498840.000,12993,2,MX,1,100,35
1707151605.973567,498878.667,13011,3,MX,1,100,36
1707151606.013469,498917.333,13011,3,MX,1,100,35
1707151606.053371,498956.000,13011,3,MX,1,100,35
1707151606.093102,498994.500,13027,4,MX,1,100,35
1707151606.132832,499033.000,13027,4,MX,1,100,35
1707151606.172563,499071.500,13027,4,MX,1,100,34
1707151606.212293,499110.000,13027,4,MX,1,100,34
1707151606.253056,499149.500,13044,2,MX,1,100,35
1707151606.293818,499189.000,13044,2,MX,1,100,35
1707151606.333720,499227.667,13061,3,MX,1,100,35
1707151606.373623,499266.333,13061,3,MX,1,100,35
1707151606.413525,499305.000,13061,3,MX,1,100,35
1707151606.453084,499343.333,13078,3,MX,1,100,35
1707151606.492642,499381.667,13078,3,MX,1,100,35
1707151606.532201,499420.000,13078,3,MX,1,100,35
1707151606.572447,499459.000,13094,2,MX,1,100,35
1707151606.612693,499498.000,13094,2,MX,1,100,36
1707151606.652596,499536.667,13112,3,MX,1,100,35
1707151606.692498,499575.333,13112,3,MX,1,100,34
1707151606.732401,499614.000,13112,3,MX,1,100,35
1707151606.772234,499652.600,13133,5,MX,1,100,37
1707151606.812068,499691.200,13133,5,MX,1,100,35
1707151606.851902,499729.800,13133,5,MX,1,100,35
1707151606.891735,499768.400,13133,5,MX,1,100,35
1707151606.931569,499807.000,13133,5,MX,1,100,37
