LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1707151602.719110,495725.000,12482,3,PG,1,100,11951
1707151602.719110,495725.000,12482,3,PG,1,100,11959
1707151602.719110,495725.000,12482,3,PG,1,100,11955
1707151602.759357,495764.000,12499,2,PG,1,100,11960
1707151602.799603,495803.000,12499,2,PG,1,100,11969
1707151602.839850,495842.000,12515,3,PG,1,100,11887
1707151602.880096,495881.000,12515,3,PG,1,100,11814
1707151602.920342,495920.000,12515,3,PG,1,100,11802
1707151602.959557,495958.000,12532,3,PG,1,100,11809
1707151602.998771,495996.000,12532,3,PG,1,100,11819
1707151603.037986,496034.000,12532,3,PG,1,100,11832
1707151603.077200,496072.000,12548,2,PG,1,100,11862
1707151603.116415,496110.000,12548,2,PG,1,100,11875
1707151603.155973,496148.333,12566,3,PG,1,100,11867
1707151603.195532,496186.667,12566,3,PG,1,100,11882
1707151603.235090,496225.000,12566,3,PG,1,100,11893
1707151603.276368,496265.000,12582,2,PG,1,100,11896
1707151603.317647,496305.000,12582,2,PG,1,100,11907
1707151603.358237,496344.333,12600,3,PG,1,100,11918
1707151603.398828,496383.667,12600,3,PG,1,100,11923
1707151603.439418,496423.000,12600,3,PG,1,100,11931
1707151603.479320,496461.667,12616,3,PG,1,100,11940
1707151603.519223,496500.333,12616,3,PG,1,100,11937
1707151603.559125,496539.000,12616,3,PG,1,100,11948
1707151603.598340,496577.000,12631,2,PG,1,100,11966
1707151603.637554,496615.000,12631,2,PG,1,100,11950
1707151603.677113,496653.333,12648,3,PG,1,100,11849
1707151603.716671,496691.667,12648,3,PG,1,100,11791
1707151603.756230,496730.000,12648,3,PG,1,100,11786
1707151603.796476,496769.000,12665,3,PG,1,100,11788
1707151603.836722,496808.000,12665,3,PG,1,100,11788
1707151603.876969,496847.000,12665,3,PG,1,100,11805
1707151603.918247,496887.000,12681,2,PG,1,100,11837
1707151603.959526,496927.000,12681,2,PG,1,100,11844
1707151603.999772,496966.000,12700,3,PG,1,100,11857
1707151604.040018,497005.000,12700,3,PG,1,100,11861
1707151604.080265,497044.000,12700,3,PG,1,100,11867
1707151604.120167,497082.667,12715,3,PG,1,100,11881
1707151604.160070,497121.333,12715,3,PG,1,100,11893
1707151604.199972,497160.000,12715,3,PG,1,100,11905
1707151604.238671,497197.500,12732,2,PG,1,100,11909
1707151604.277369,497235.000,12732,2,PG,1,100,11918
1707151604.316928,497273.333,12749,3,PG,1,100,11918
1707151604.356486,497311.667,12749,3,PG,1,100,11927
1707151604.396044,497350.000,12749,3,PG,1,100,11946
1707151604.436291,497389.000,12766,2,PG,1,100,11945
1707151604.476537,497428.000,12766,2,PG,1,100,11939
1707151604.517472,497467.667,12781,3,PG,1,100,11928
1707151604.558406,497507.333,12781,3,PG,1,100,11832
1707151604.599340,497547.000,12781,3,PG,1,100,11785
1707151604.639587,497586.000,12798,3,PG,1,100,11782
1707151604.679833,497625.000,12798,3,PG,1,100,11781
1707151604.720080,497664.000,12798,3,PG,1,100,11789
1707151604.759810,497702.500,12814,2,PG,1,100,11811
1707151604.799541,497741.000,12814,2,PG,1,100,11843
1707151604.839099,497779.333,12833,3,PG,1,100,11853
1707151604.878658,497817.667,12833,3,PG,1,100,11855
1707151604.918216,497856.000,12833,3,PG,1,100,11857
1707151604.958462,497895.000,12849,2,PG,1,100,11866
1707151604.998709,497934.000,12849,2,PG,1,100,11877
1707151605.038955,497973.000,12865,5,PG,1,100,11886
1707151605.079202,498012.000,12865,5,PG,1,100,11894
1707151605.119448,498051.000,12865,5,PG,1,100,11902
1707151605.159694,498090.000,12865,5,PG,1,100,11912
1707151605.199941,498129.000,12865,5,PG,1,100,11931
1707151605.240187,498168.000,12881,3,PG,1,100,11923
1707151605.280434,498207.000,12881,3,PG,1,100,11925
1707151605.320680,498246.000,12881,3,PG,1,100,11930
1707151605.360583,498284.667,12899,3,PG,1,100,11935
1707151605.400485,498323.333,12899,3,PG,1,100,11924
1707151605.440387,498362.000,12899,3,PG,1,100,11825
1707151605.479086,498399.500,12916,2,PG,1,100,11798
1707151605.517784,498437.000,12916,2,PG,1,100,11796
1707151605.558375,498476.333,12932,3,PG,1,100,11803
1707151605.598965,498515.667,12932,3,PG,1,100,11822
1707151605.639556,498555.000,12932,3,PG,1,100,11853
1707151605.679802,498594.000,12951,3,PG,1,100,11870
1707151605.720048,498633.000,12951,3,PG,1,100,11870
1707151605.760295,498672.000,12951,3,PG,1,100,11869
1707151605.800541,498711.000,12968,2,PG,1,100,11878
1707151605.840788,498750.000,12968,2,PG,1,100,11881
1707151605.880690,498788.667,12984,3,PG,1,100,11897
1707151605.920593,498827.333,12984,3,PG,1,100,11897
1707151605.960495,498866.000,12984,3,PG,1,100,11912
1707151606.000225,498904.500,13000,2,PG,1,100,11929
1707151606.039956,498943.000,13000,2,PG,1,100,11928
1707151606.079428,498981.250,13016,4,PG,1,100,11923
1707151606.118901,499019.500,13016,4,PG,1,100,11933
1707151606.158373,499057.750,13016,4,PG,1,100,11945
1707151606.197846,499096.000,13016,4,PG,1,100,11943
1707151606.238780,499135.667,13033,3,PG,1,100,11940
1707151606.279714,499175.333,13033,3,PG,1,100,11864
1707151606.320649,499215.000,13033,3,PG,1,100,11804
1707151606.360379,499253.500,13050,2,PG,1,100,11792
1707151606.400110,499292.000,13050,2,PG,1,100,11794
1707151606.440356,499331.000,13067,3,PG,1,100,11801
1707151606.480603,499370.000,13067,3,PG,1,100,11815
1707151606.520849,499409.000,13067,3,PG,1,100,11840
1707151606.566771,499453.500,13085,2,PG,1,100,11855
1707151606.612693,499498.000,13085,2,PG,1,100,11856
1707151606.652596,499536.667,13101,3,PG,1,100,11870
1707151606.692498,499575.333,13101,3,PG,1,100,11874
1707151606.732401,499614.000,13101,3,PG,1,100,11881
1707151606.772389,499652.750,13122,4,PG,1,100,11894
1707151606.812378,499691.500,13122,4,PG,1,100,11903
1707151606.852366,499730.250,13122,4,PG,1,100,11906
1707151606.892354,499769.000,13122,4,PG,1,100,11913
1707151606.931569,499807.000,13138,3,PG,1,100,11915
1707151606.970783,499845.000,13138,3,PG,1,100,11923
1707151607.009998,499883.000,13138,3,PG,1,100,11925
1707151607.049900,499921.667,13154,3,PG,1,100,11939
1707151607.089803,499960.333,13154,3,PG,1,100,11948
1707151607.129705,499999.000,13154,3,PG,1,100,11917
1707151607.169608,500037.667,13170,3,PG,1,100,11825
1707151607.209510,500076.333,13170,3,PG,1,100,11787
1707151607.249412,500115.000,13170,3,PG,1,100,11781
1707151607.289659,500154.000,13187,3,PG,1,100,11779
1707151607.329905,500193.000,13187,3,PG,1,100,11790
1707151607.370152,500232.000,13187,3,PG,1,100,11818
1707151607.410398,500271.000,13204,2,PG,1,100,11838
1707151607.450644,500310.000,13204,2,PG,1,100,11845
1707151607.490203,500348.333,13223,3,PG,1,100,11855
1707151607.529761,500386.667,13223,3,PG,1,100,11861
1707151607.569320,500425.000,13223,3,PG,1,100,11868
1707151607.608534,500463.000,13238,3,PG,1,100,11877
1707151607.647749,500501.000,13238,3,PG,1,100,11886
1707151607.686963,500539.000,13238,3,PG,1,100,11895
1707151607.726694,500577.500,13255,2,PG,1,100,11897
1707151607.766424,500616.000,13255,2,PG,1,100,11902
1707151607.807015,500655.333,13271,3,PG,1,100,11913
1707151607.847605,500694.667,13271,3,PG,1,100,11932
1707151607.888195,500734.000,13271,3,PG,1,100,11932
1707151607.929474,500774.000,13288,2,PG,1,100,11929
1707151607.970752,500814.000,13288,2,PG,1,100,11928
1707151608.010655,500852.667,13305,3,PG,1,100,11900
1707151608.050557,500891.333,13305,3,PG,1,100,11807
1707151608.090459,500930.000,13305,3,PG,1,100,11786
1707151608.130018,500968.333,13320,3,PG,1,100,11782
1707151608.169576,501006.667,13320,3,PG,1,100,11786
1707151608.209135,501045.000,13320,3,PG,1,100,11801
1707151608.248349,501083.000,13336,3,PG,1,100,11833
1707151608.287564,501121.000,13336,3,PG,1,100,11845
1707151608.326778,501159.000,13336,3,PG,1,100,11850
1707151608.366509,501197.500,13356,2,PG,1,100,11849
1707151608.406239,501236.000,13356,2,PG,1,100,11858
1707151608.447173,501275.667,13372,3,PG,1,100,11866
1707151608.488108,501315.333,13372,3,PG,1,100,11877
1707151608.529042,501355.000,13372,3,PG,1,100,11881
1707151608.569977,501394.667,13389,3,PG,1,100,11894
1707151608.610911,501434.333,13389,3,PG,1,100,11900
1707151608.651845,501474.000,13389,3,PG,1,100,11912
1707151608.691576,501512.500,13406,2,PG,1,100,11919
1707151608.731306,501551.000,13406,2,PG,1,100,11912
1707151608.770521,501589.000,13421,3,PG,1,100,11919
1707151608.809735,501627.000,13421,3,PG,1,100,11928
1707151608.848950,501665.000,13421,3,PG,1,100,11903
1707151608.888164,501703.000,13437,2,PG,1,100,11803
1707151608.927379,501741.000,13437,2,PG,1,100,11764
1707151608.967625,501780.000,13455,3,PG,1,100,11752
1707151609.007871,501819.000,13455,3,PG,1,100,11753
1707151609.048118,501858.000,13455,3,PG,1,100,11773
1707151609.088880,501897.500,13473,4,PG,1,100,11794
1707151609.129643,501937.000,13473,4,PG,1,100,11812
1707151609.170405,501976.500,13473,4,PG,1,100,11818
1707151609.211167,502016.000,13473,4,PG,1,100,11819
1707151609.251414,502055.000,13490,2,PG,1,100,11821
1707151609.291660,502094.000,13490,2,PG,1,100,11838
1707151609.331563,502132.667,13507,3,PG,1,100,11847
1707151609.371465,502171.333,13507,3,PG,1,100,11853
1707151609.411367,502210.000,13507,3,PG,1,100,11871
1707151609.450238,502247.667,13522,3,PG,1,100,11892
1707151609.489108,502285.333,13522,3,PG,1,100,11892
1707151609.527979,502323.000,13522,3,PG,1,100,11885
1707151609.567709,502361.500,13538,2,PG,1,100,11899
1707151609.607440,502400.000,13538,2,PG,1,100,11910
1707151609.647686,502439.000,13556,3,PG,1,100,11910
1707151609.687933,502478.000,13556,3,PG,1,100,11890
1707151609.728179,502517.000,13556,3,PG,1,100,11797
1707151609.768425,502556.000,13572,3,PG,1,100,11737
1707151609.808672,502595.000,13572,3,PG,1,100,11724
1707151609.848918,502634.000,13572,3,PG,1,100,11724
1707151609.888133,502672.000,13588,2,PG,1,100,11729
1707151609.927347,502710.000,13588,2,PG,1,100,11741
1707151609.967250,502748.667,13604,3,PG,1,100,11767
1707151610.007152,502787.333,13604,3,PG,1,100,11785
1707151610.047055,502826.000,13604,3,PG,1,100,11784
1707151610.086269,502864.000,13623,2,PG,1,100,11791
1707151610.125483,502902.000,13623,2,PG,1,100,11796
1707151610.166504,502941.750,13639,4,PG,1,100,11803
1707151610.207524,502981.500,13639,4,PG,1,100,11821
1707151610.248545,503021.250,13639,4,PG,1,100,11847
1707151610.289565,503061.000,13639,4,PG,1,100,11854
1707151610.329811,503100.000,13657,2,PG,1,100,11846
1707151610.370058,503139.000,13657,2,PG,1,100,11857
1707151610.409960,503177.667,13675,3,PG,1,100,11874
1707151610.449863,503216.333,13675,3,PG,1,100,11875
1707151610.489765,503255.000,13675,3,PG,1,100,11878
1707151610.529668,503293.667,13690,3,PG,1,100,11876
1707151610.569570,503332.333,13690,3,PG,1,100,11792
1707151610.609472,503371.000,13690,3,PG,1,100,11715
1707151610.648687,503409.000,13707,2,PG,1,100,11700
1707151610.687901,503447.000,13707,2,PG,1,100,11694
1707151610.732620,503490.333,13724,3,PG,1,100,11692
1707151610.777338,503533.667,13724,3,PG,1,100,11710
1707151610.822056,503577.000,13724,3,PG,1,100,11739
1707151610.861787,503615.500,13740,2,PG,1,100,11752
1707151610.901517,503654.000,13740,2,PG,1,100,11754
1707151610.941075,503692.333,13759,3,PG,1,100,11763
1707151610.980634,503730.667,13759,3,PG,1,100,11770
1707151611.020192,503769.000,13759,3,PG,1,100,11783
1707151611.059923,503807.500,13774,2,PG,1,100,11790
1707151611.099653,503846.000,13774,2,PG,1,100,11810
1707151611.139642,503884.750,13791,4,PG,1,100,11813
1707151611.179630,503923.500,13791,4,PG,1,100,11818
1707151611.219618,503962.250,13791,4,PG,1,100,11827
1707151611.259607,504001.000,13791,4,PG,1,100,11833
1707151611.299509,504039.667,13808,3,PG,1,100,11846
1707151611.339412,504078.333,13808,3,PG,1,100,11858
1707151611.379314,504117.000,13808,3,PG,1,100,11846
1707151611.419045,504155.500,13825,2,PG,1,100,11795
1707151611.458775,504194.000,13825,2,PG,1,100,11711
