LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1707151602.719110,495725.000,12479,1,SF,1,100,2.0344
1707151603.116415,496110.000,12545,1,SF,1,100,2.0108
1707151603.452834,496436.000,12597,1,SF,1,100,1.9876
1707151603.717015,496692.000,12645,1,SF,1,100,1.9646
1707151604.053434,497018.000,12697,1,SF,1,100,1.9418
1707151604.384693,497339.000,12746,1,SF,1,100,1.9194
1707151604.720080,497664.000,12795,1,SF,1,100,1.8972
1707151605.187557,498117.000,12862,1,SF,1,100,1.8752
1707151605.385694,498309.000,12896,1,SF,1,100,1.8535
1707151605.721080,498634.000,12948,1,SF,1,100,1.8321
1707151606.053371,498956.000,12997,1,SF,1,100,1.8109
1707151606.387726,499280.000,13047,1,SF,1,100,1.7900
1707151606.718985,499601.000,13098,1,SF,1,100,1.7692
1707151607.116290,499986.000,13151,1,SF,1,100,1.7488
1707151607.450644,500310.000,13201,1,SF,1,100,1.7285
1707151607.779840,500629.000,13252,1,SF,1,100,1.7086
1707151608.050213,500891.000,13302,1,SF,1,100,1.6888
1707151608.381472,501212.000,13353,1,SF,1,100,1.6693
1707151608.717891,501538.000,13403,1,SF,1,100,1.6499
1707151609.048118,501858.000,13452,1,SF,1,100,1.6309
1707151609.384537,502184.000,13504,1,SF,1,100,1.6120
1707151609.715796,502505.000,13553,1,SF,1,100,1.5933
1707151610.047055,502826.000,13601,1,SF,1,100,1.5749
1707151610.383473,503152.000,13654,1,SF,1,100,1.5567
1707151610.713700,503472.000,13704,1,SF,1,100,1.5387
1707151611.112037,503858.000,13771,1,SF,1,100,1.5209
1707151611.379314,504117.000,13805,1,SF,1,100,1.5033
1707151611.776619,504502.000,13872,1,SF,1,100,1.4859
1707151612.108910,504824.000,13929,1,SF,1,100,1.4687
1707151612.575355,505276.000,13963,1,SF,1,100,1.4517
1707151612.774523,505469.000,13983,1,SF,1,100,1.4349
1707151613.106814,505791.000,14017,1,SF,1,100,1.4183
1707151613.440137,506114.000,14067,1,SF,1,100,1.4019
1707151613.774492,506438.000,14118,1,SF,1,100,1.3857
1707151614.039706,506695.000,14168,1,SF,1,100,1.3697
1707151614.374061,507019.000,14219,1,SF,1,100,1.3538
1707151614.705320,507340.000,14267,1,SF,1,100,1.3382
1707151615.041738,507666.000,14318,1,SF,1,100,1.3227
1707151615.440075,508052.000,14387,1,SF,1,100,1.3074
1707151615.770302,508372.000,14435,1,SF,1,100,1.2923
1707151616.102593,508694.000,14486,1,SF,1,100,1.2773
1707151616.367806,508951.000,14536,1,SF,1,100,1.2625
1707151616.764079,509335.000,14587,1,SF,1,100,1.2479
1707151617.029292,509592.000,14635,1,SF,1,100,1.2335
1707151617.360551,509913.000,14693,1,SF,1,100,1.2192
1707151617.694906,510237.000,14741,1,SF,1,100,1.2051
1707151618.026165,510558.000,14792,1,SF,1,100,1.1912
1707151618.428629,510948.000,14857,1,SF,1,100,1.1774
1707151618.760920,511270.000,14907,1,SF,1,100,1.1638
1707151619.030262,511531.000,14958,1,SF,1,100,1.1503
1707151619.360489,511851.000,15007,1,SF,1,100,1.1370
1707151619.693812,512174.000,15057,1,SF,1,100,1.1239
1707151620.090084,512558.000,15124,1,SF,1,100,1.1109
1707151620.422375,512880.000,15174,1,SF,1,100,1.0980
1707151620.753634,513201.000,15227,1,SF,1,100,1.0853
1707151621.019880,513459.000,15275,1,SF,1,100,1.0728
1707151621.350107,513779.000,15325,1,SF,1,100,1.0603
1707151621.683430,514102.000,15376,1,SF,1,100,1.0481
1707151622.080734,514487.000,15441,1,SF,1,100,1.0360
1707151622.416121,514812.000,15492,1,SF,1,100,1.0240
1707151622.746348,515132.000,15547,1,SF,1,100,1.0121
1707151623.082767,515458.000,15596,1,SF,1,100,1.0004
1707151623.345916,515713.000,15648,1,SF,1,100,0.9888
1707151623.683367,516040.000,15697,1,SF,1,100,0.9774
1707151624.013594,516360.000,15745,1,SF,1,100,0.9661
1707151624.415026,516749.000,15812,1,SF,1,100,0.9549
1707151624.747317,517071.000,15863,1,SF,1,100,0.9439
1707151625.013563,517329.000,15911,1,SF,1,100,0.9330
1707151625.343790,517649.000,15963,1,SF,1,100,0.9222
1707151625.676081,517971.000,16014,1,SF,1,100,0.9115
1707151626.073385,518356.000,16081,1,SF,1,100,0.9009
1707151626.405676,518678.000,16130,1,SF,1,100,0.8905
1707151626.669858,518934.000,16180,1,SF,1,100,0.8802
1707151627.002149,519256.000,16231,1,SF,1,100,0.8700
1707151627.331344,519575.000,16279,1,SF,1,100,0.8600
1707151627.668794,519902.000,16330,1,SF,1,100,0.8500
1707151628.065067,520286.000,16402,1,SF,1,100,0.8402
1707151628.399422,520610.000,16450,1,SF,1,100,0.8305
1707151628.664635,520867.000,16503,1,SF,1,100,0.8209
1707151629.000022,521192.000,16551,1,SF,1,100,0.8114
1707151629.332313,521514.000,16600,1,SF,1,100,0.8020
1707151629.731681,521901.000,16667,1,SF,1,100,0.7927
1707151630.062940,522222.000,16717,1,SF,1,100,0.7835
1707151630.328154,522479.000,16766,1,SF,1,100,0.7745
1707151630.658381,522799.000,16820,1,SF,1,100,0.7655
1707151630.990672,523121.000,16869,1,SF,1,100,0.7567
1707151631.321931,523442.000,16917,1,SF,1,100,0.7479
1707151631.719235,523827.000,16984,1,SF,1,100,0.7393
1707151632.052558,524150.000,17035,1,SF,1,100,0.7307
1707151632.318804,524408.000,17085,1,SF,1,100,0.7223
1707151632.651095,524730.000,17135,1,SF,1,100,0.7139
1707151632.985450,525054.000,17184,1,SF,1,100,0.7056
1707151633.317741,525376.000,17240,1,SF,1,100,0.6975
1707151633.650032,525698.000,17289,1,SF,1,100,0.6894
1707151633.984386,526022.000,17338,1,SF,1,100,0.6814
1707151634.382723,526408.000,17405,1,SF,1,100,0.6735
1707151634.713982,526729.000,17455,1,SF,1,100,0.6658
1707151634.981259,526988.000,17504,1,SF,1,100,0.6581
1707151635.310454,527307.000,17555,1,SF,1,100,0.6504
1707151635.642745,527629.000,17607,1,SF,1,100,0.6429
1707151636.041082,528015.000,17674,1,SF,1,100,0.6355
1707151636.374405,528338.000,17722,1,SF,1,100,0.6281
1707151636.637554,528593.000,17773,1,SF,1,100,0.6209
1707151636.975005,528920.000,17823,1,SF,1,100,0.6137
1707151637.308328,529243.000,17872,1,SF,1,100,0.6066
1707151637.641651,529566.000,17922,1,SF,1,100,0.5996
1707151638.042051,529954.000,17989,1,SF,1,100,0.5926
1707151638.308297,530212.000,18038,1,SF,1,100,0.5858
1707151638.710761,530602.000,18095,1,SF,1,100,0.5790
1707151638.974942,530858.000,18144,1,SF,1,100,0.5723
1707151639.310329,531183.000,18192,1,SF,1,100,0.5657
1707151639.707634,531568.000,18245,1,SF,1,100,0.5591
1707151640.038893,531889.000,18295,1,SF,1,100,0.5527
1707151640.370152,532210.000,18346,1,SF,1,100,0.5463
1707151640.702443,532532.000,18398,1,SF,1,100,0.5400
1707151641.035765,532855.000,18447,1,SF,1,100,0.5337
1707151641.300979,533112.000,18497,1,SF,1,100,0.5275
1707151641.702411,533501.000,18548,1,SF,1,100,0.5214
1707151641.968657,533759.000,18598,1,SF,1,100,0.5154
1707151642.299916,534080.000,18649,1,SF,1,100,0.5094
1707151642.635303,534405.000,18697,1,SF,1,100,0.5035
1707151642.966562,534726.000,18748,1,SF,1,100,0.4977
1707151643.300916,535050.000,18798,1,SF,1,100,0.4920
1707151643.768394,535503.000,18869,1,SF,1,100,0.4863
1707151643.967562,535696.000,18905,1,SF,1,100,0.4806
1707151644.300885,536019.000,18953,1,SF,1,100,0.4751
1707151644.634208,536342.000,19002,1,SF,1,100,0.4696
1707151644.970627,536668.000,19054,1,SF,1,100,0.4642
1707151645.371027,537056.000,19123,1,SF,1,100,2.5410
1707151645.701254,537376.000,19172,1,SF,1,100,2.5116
1707151646.037673,537702.000,19224,1,SF,1,100,2.4826
1707151646.301855,537958.000,19273,1,SF,1,100,2.4539
1707151646.636209,538282.000,19307,1,SF,1,100,2.4255
1707151646.968500,538604.000,19343,1,SF,1,100,2.3974
1707151647.369933,538993.000,19377,1,SF,1,100,2.3697
1707151647.636178,539251.000,19428,1,SF,1,100,2.3423
1707151647.969501,539574.000,19478,1,SF,1,100,2.3152
1707151648.303856,539898.000,19527,1,SF,1,100,2.2884
1707151648.635115,540219.000,19578,1,SF,1,100,2.2619
1707151648.967406,540541.000,19628,1,SF,1,100,2.2358
1707151649.299697,540863.000,19682,1,SF,1,100,2.2099
1707151649.629924,541183.000,19734,1,SF,1,100,2.1843
1707151649.965311,541508.000,19782,1,SF,1,100,2.1591
1707151650.363647,541894.000,19851,1,SF,1,100,2.1341
1707151650.700066,542220.000,19902,1,SF,1,100,2.1094
1707151650.964247,542476.000,19950,1,SF,1,100,2.0850
1707151651.299634,542801.000,20003,1,SF,1,100,2.0609
1707151651.630893,543122.000,20051,1,SF,1,100,2.0370
1707151652.034389,543513.000,20118,1,SF,1,100,2.0135
1707151652.367712,543836.000,20167,1,SF,1,100,1.9902
1707151652.633958,544094.000,20217,1,SF,1,100,1.9672
1707151652.968313,544418.000,20268,1,SF,1,100,1.9444
1707151653.299572,544739.000,20316,1,SF,1,100,1.9219
1707151653.630831,545060.000,20367,1,SF,1,100,1.8997
1707151654.030199,545447.000,20434,1,SF,1,100,1.8777
1707151654.359394,545766.000,20487,1,SF,1,100,1.8560
1707151654.696845,546093.000,20538,1,SF,1,100,1.8345
1707151654.961027,546349.000,20588,1,SF,1,100,1.8133
1707151655.297445,546675.000,20638,1,SF,1,100,1.7923
1707151655.627672,546995.000,20689,1,SF,1,100,1.7716
1707151655.964091,547321.000,20740,1,SF,1,100,1.7511
1707151656.362427,547707.000,20805,1,SF,1,100,1.7308
1707151656.629705,547966.000,20857,1,SF,1,100,1.7108
1707151656.960964,548287.000,20906,1,SF,1,100,1.6910
1707151657.292223,548608.000,20954,1,SF,1,100,1.6715
1707151657.624514,548930.000,21007,1,SF,1,100,1.6521
1707151658.022850,549316.000,21072,1,SF,1,100,1.6330
1707151658.354109,549637.000,21122,1,SF,1,100,1.6141
1707151658.619323,549894.000,21173,1,SF,1,100,1.5954
1707151658.950582,550215.000,21221,1,SF,1,100,1.5770
1707151659.281841,550536.000,21272,1,SF,1,100,1.5587
1707151659.613100,550857.000,21327,1,SF,1,100,1.5407
1707151659.947455,551181.000,21380,1,SF,1,100,3.6051
1707151660.347855,551569.000,21448,1,SF,1,100,3.5634
1707151660.679114,551890.000,21499,1,SF,1,100,3.5222
1707151660.947423,552150.000,21548,1,SF,1,100,3.4815
1707151661.278682,552471.000,21597,1,SF,1,100,3.4412
1707151661.613037,552795.000,21649,1,SF,1,100,3.4014
1707151662.011374,553181.000,21714,1,SF,1,100,3.3620
1707151662.341601,553501.000,21764,1,SF,1,100,3.3232
1707151662.606814,553758.000,21815,1,SF,1,100,3.2847
1707151662.939105,554080.000,21863,1,SF,1,100,3.2467
1707151663.270364,554401.000,21914,1,SF,1,100,3.2092
1707151663.600591,554721.000,21964,1,SF,1,100,3.1720
1707151663.998928,555107.000,22031,1,SF,1,100,3.1353
1707151664.331219,555429.000,22080,1,SF,1,100,3.0991
1707151664.595400,555685.000,22132,1,SF,1,100,3.0632
1707151664.931819,556011.000,22186,1,SF,1,100,3.0278
1707151665.262046,556331.000,22236,1,SF,1,100,2.9928
1707151665.665542,556722.000,22303,1,SF,1,100,2.9581
1707151665.997833,557044.000,22354,1,SF,1,100,2.9239
