LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1707151606.802574,499682.000,13115,1,TL,1,100,2024-02-05_16-46-41-646160
1707151606.920217,499796.000,13118,1,TL,1,100,2024-02-05_16-46-46-893289
1707151612.082079,504798.000,13923,1,TL,1,100,2024-02-05_16-46-46-973478
1707151612.159476,504873.000,13926,1,TL,1,100,2024-02-05_16-46-52-131713
1707151617.355391,509908.000,14687,1,TL,1,100,2024-02-05_16-46-52-195898
1707151617.394606,509946.000,14690,1,TL,1,100,2024-02-05_16-46-57-375670
1707151622.637992,515027.000,15526,1,TL,1,100,2024-02-05_16-46-57-423867
1707151622.664823,515053.000,15529,1,TL,1,100,2024-02-05_16-47-02-648329
1707151627.937104,520162.000,16380,1,TL,1,100,2024-02-05_16-47-02-706078
1707151627.959807,520184.000,16383,1,TL,1,100,2024-02-05_16-47-07-950807
1707151633.206289,525268.000,17216,1,TL,1,100,2024-02-05_16-47-08-022742
1707151633.246535,525307.000,17219,1,TL,1,100,2024-02-05_16-47-13-228771
1707151638.477538,530376.000,18055,1,TL,1,100,2024-02-05_16-47-13-316921
1707151638.503337,530401.000,18058,1,TL,1,100,2024-02-05_16-47-18-496573
1707151643.776650,535511.000,18863,1,TL,1,100,2024-02-05_16-47-18-549144
1707151643.802449,535536.000,18866,1,TL,1,100,2024-02-05_16-47-23-794427
1707151649.078858,540649.000,19645,1,TL,1,100,2024-02-05_16-47-23-864616
1707151649.103625,540673.000,19648,1,TL,1,100,2024-02-05_16-47-29-087267
1707151654.350107,545757.000,20482,1,TL,1,100,2024-02-05_16-47-29-153686
1707151654.393449,545799.000,20485,1,TL,1,100,2024-02-05_16-47-34-370261
1707151659.623419,550867.000,21322,1,TL,1,100,2024-02-05_16-47-34-436546
1707151659.647154,550890.000,21325,1,TL,1,100,2024-02-05_16-47-39-635710
1707151664.915308,555995.000,22180,1,TL,1,100,2024-02-05_16-47-39-690047
1707151664.952458,556031.000,22183,1,TL,1,100,2024-02-05_16-47-44-933919
1707151670.186557,561103.000,23019,1,TL,1,100,2024-02-05_16-47-45-084094
1707151670.220611,561136.000,23022,1,TL,1,100,2024-02-05_16-47-50-205439
1707151675.458837,566212.000,23844,1,TL,1,100,2024-02-05_16-47-50-267564
1707151675.481541,566234.000,23847,1,TL,1,100,2024-02-05_16-47-55-482572
1707151680.735246,571325.000,24669,1,TL,1,100,2024-02-05_16-47-55-555891
1707151680.761045,571350.000,24672,1,TL,1,100,2024-02-05_16-48-00-756001
1707151686.005463,576432.000,25446,1,TL,1,100,2024-02-05_16-48-00-813700
1707151686.029198,576455.000,25449,1,TL,1,100,2024-02-05_16-48-06-020592
1707151691.314895,581577.000,26285,1,TL,1,100,2024-02-05_16-48-06-098364
1707151691.338630,581600.000,26288,1,TL,1,100,2024-02-05_16-48-11-328717
1707151696.620198,586718.000,27139,1,TL,1,100,2024-02-05_16-48-11-379803
1707151696.645997,586743.000,27142,1,TL,1,100,2024-02-05_16-48-16-637200
1707151701.890415,591825.000,27977,1,TL,1,100,2024-02-05_16-48-16-706924
1707151701.914150,591848.000,27980,1,TL,1,100,2024-02-05_16-48-21-906696
1707151707.193655,596964.000,28831,1,TL,1,100,2024-02-05_16-48-21-962869
1707151707.283436,597051.000,28834,1,TL,1,100,2024-02-05_16-48-27-283711
1707151712.545397,602150.000,29639,1,TL,1,100,2024-02-05_16-48-32-552468
1707151717.747505,607191.000,30382,1,TL,1,100,2024-02-05_16-48-32-653617
1707151723.059000,612338.000,31220,1,TL,1,100,2024-02-05_16-48-37-894520
1707151723.076543,612355.000,31222,1,TL,1,100,2024-02-05_16-48-37-928555
1707151723.147748,612424.000,31225,1,TL,1,100,2024-02-05_16-48-43-138881
1707151728.332313,617448.000,32060,1,TL,1,100,2024-02-05_16-48-43-200596
1707151728.403518,617517.000,32063,1,TL,1,100,2024-02-05_16-48-48-381226
1707151733.603562,622556.000,32898,1,TL,1,100,2024-02-05_16-48-48-460493
1707151733.716045,622665.000,32901,1,TL,1,100,2024-02-05_16-48-53-707433
1707151738.907834,627696.000,33738,1,TL,1,100,2024-02-05_16-48-53-774774
1707151738.932601,627720.000,33741,1,TL,1,100,2024-02-05_16-48-58-933945
1707151744.170827,632796.000,34546,1,TL,1,100,2024-02-05_16-48-59-075748
1707151744.193530,632818.000,34549,1,TL,1,100,2024-02-05_16-49-04-202532
1707151749.443108,637905.000,35340,1,TL,1,100,2024-02-05_16-49-04-349215
1707151749.479226,637940.000,35343,1,TL,1,100,2024-02-05_16-49-09-485997
1707151754.778338,643075.000,36085,1,TL,1,100,2024-02-05_16-49-09-618652
1707151754.801041,643097.000,36088,1,TL,1,100,2024-02-05_16-49-14-807839
1707151760.048555,648182.000,36910,1,TL,1,100,2024-02-05_16-49-14-956151
1707151760.082610,648215.000,36913,1,TL,1,100,2024-02-05_16-49-20-080652
1707151765.333220,653303.000,37748,1,TL,1,100,2024-02-05_16-49-20-219170
1707151765.357987,653327.000,37751,1,TL,1,100,2024-02-05_16-49-25-346864
1707151770.622012,658428.000,38584,1,TL,1,100,2024-02-05_16-49-25-496708
1707151770.657099,658462.000,38587,1,TL,1,100,2024-02-05_16-49-30-647288
1707151775.926284,663568.000,39425,1,TL,1,100,2024-02-05_16-49-35-915818
1707151781.178957,668658.000,40214,1,TL,1,100,2024-02-05_16-49-36-093447
1707151786.457430,673773.000,40972,1,TL,1,100,2024-02-05_16-49-41-360911
1707151786.576105,673888.000,40975,1,TL,1,100,2024-02-05_16-49-46-577846
1707151791.775117,678926.000,41810,1,TL,1,100,2024-02-05_16-49-46-656990
1707151791.823619,678973.000,41813,1,TL,1,100,2024-02-05_16-49-51-821614
