RD,TS_received,TS_sent,AK,RoundTrip,
499685,499796,2024-02-05_16-46-46-893289,504790,111,
504801,504873,2024-02-05_16-46-52-131713,504876,72,
509911,509946,2024-02-05_16-46-57-375670,509948,35,
515030,515053,2024-02-05_16-47-02-648329,515056,23,
520166,520184,2024-02-05_16-47-07-950807,520186,18,
525272,525307,2024-02-05_16-47-13-228771,525311,35,
530379,530401,2024-02-05_16-47-18-496573,530404,22,
535514,535536,2024-02-05_16-47-23-794427,535538,22,
540652,540673,2024-02-05_16-47-29-087267,540676,21,
545760,545799,2024-02-05_16-47-34-370261,545802,39,
550871,550890,2024-02-05_16-47-39-635710,550893,19,
555999,556031,2024-02-05_16-47-44-933919,556033,32,
561107,561136,2024-02-05_16-47-50-205439,561138,29,
566215,566234,2024-02-05_16-47-55-482572,566236,19,
571328,571350,2024-02-05_16-48-00-756001,571353,22,
576435,576455,2024-02-05_16-48-06-020592,576458,20,
581581,581600,2024-02-05_16-48-11-328717,581603,19,
586722,586743,2024-02-05_16-48-16-637200,586745,21,
591828,591848,2024-02-05_16-48-21-906696,591850,20,
596967,597051,2024-02-05_16-48-27-283711,597053,84,
602075,602150,2024-02-05_16-48-32-552468,602153,75,
607194,612338,2024-02-05_16-48-37-894520,612346,5144,
612358,612424,2024-02-05_16-48-43-138881,612428,66,
617451,617517,2024-02-05_16-48-48-381226,617520,66,
622559,622665,2024-02-05_16-48-53-707433,627687,106,
627699,627720,2024-02-05_16-48-58-933945,627723,21,
632799,632818,2024-02-05_16-49-04-202532,632822,19,
637909,637940,2024-02-05_16-49-09-485997,637942,31,
643078,643097,2024-02-05_16-49-14-807839,643099,19,
648185,648215,2024-02-05_16-49-20-080652,648219,30,
653307,653327,2024-02-05_16-49-25-346864,653329,20,
658431,658462,2024-02-05_16-49-30-647288,658465,31,
663542,663568,2024-02-05_16-49-35-915818,663571,26,
668661,673773,2024-02-05_16-49-41-360911,673775,5112,
673776,673888,2024-02-05_16-49-46-577846,678917,112,
678929,678973,2024-02-05_16-49-51-821614,678976,44,
684028,684053,2024-02-05_16-49-57-064081,684055,25,
689150,689169,2024-02-05_16-50-02-338025,689172,19,
694273,694330,2024-02-05_16-50-07-659790,694333,57,
699414,699439,2024-02-05_16-50-12-940502,699441,25,
704528,704549,2024-02-05_16-50-18-218174,704552,21,
709636,709679,2024-02-05_16-50-23-515270,709682,43,
714757,714778,2024-02-05_16-50-28-775485,714782,21,
719890,719912,2024-02-05_16-50-34-065902,719914,22,
725023,725043,2024-02-05_16-50-39-355992,725046,20,
730164,730237,2024-02-05_16-50-44-714982,730240,73,
735295,735320,2024-02-05_16-50-49-967740,735322,25,
740442,740553,2024-02-05_16-50-55-375380,745585,111,
745603,745655,2024-02-05_16-51-00-611047,745658,52,
750711,750732,2024-02-05_16-51-05-874363,750734,21,
755846,755866,2024-02-05_16-51-11-166343,755869,20,
760980,761010,2024-02-05_16-51-16-470189,761012,30,
766087,766107,2024-02-05_16-51-21-738482,766111,20,
