EpochTimestamp,TypeTag,AX,AY,AZ,ACC
1707823628.73478,ACC,-0.683444444444445,0.538111111111111,0.487,0.996909663180777
1707823628.77552,ACC,-0.691,0.533,0.484,0.997910817658572
1707823628.81626,ACC,-0.683,0.539,0.489,0.998063625226368
1707823628.85614,ACC,-0.684,0.54,0.485,0.997336954093249
1707823628.89602,ACC,-0.685,0.539,0.487,0.998456308508289
1707823628.9359,ACC,-0.687,0.535,0.486,0.997191054913751
1707823628.97578,ACC,-0.682,0.541,0.489,0.998461816996524
1707823629.01566,ACC,-0.684,0.54,0.488,0.998799279134702
1707823629.05554,ACC,-0.685,0.537,0.487,0.997378062722456
1707823629.09525,ACC,-0.683,0.534,0.485,0.993413307742553
1707823629.13496,ACC,-0.683,0.542,0.489,0.999686951000162
1707823629.17484,ACC,-0.682,0.539,0.489,0.997379566664567
1707823629.21472,ACC,-0.685,0.538,0.487,0.997916830201796
1707823629.2546,ACC,-0.69,0.535,0.489,1.0007227388243
1707823629.29517,ACC,-0.681,0.54,0.488,0.996747209677559
1707823629.33573,ACC,-0.682,0.538,0.489,0.996839505637693
1707823629.3763,ACC,-0.687,0.534,0.487,0.997142918542773
1707823629.41653,ACC,-0.682,0.54,0.488,0.997430699347077
1707823629.45675,ACC,-0.68,0.541,0.485,0.995141196011903
1707823629.49677,ACC,-0.683,0.541,0.487,0.998167821561084
1707823629.53678,ACC,-0.684,0.538,0.486,0.99674269498201
1707823629.5768,ACC,-0.681,0.54,0.488,0.996747209677559
1707823629.61682,ACC,-0.684,0.538,0.49,0.998699153899712
1707823629.65684,ACC,-0.679,0.542,0.488,0.996468263418359
1707823629.69551,ACC,-0.686,0.534,0.487,0.996454213699757
1707823629.73419,ACC,-0.684,0.54,0.492,1.00075971141928
1707823629.76994,ACC,-0.678,0.544,0.489,0.997367033744348
1707823629.8057,ACC,-0.69,0.534,0.484,0.997753476566231
1707823629.84145,ACC,-0.683,0.541,0.489,0.999145134602576
1707823629.88133,ACC,-0.683,0.541,0.488,0.998656096962313
1707823629.92121,ACC,-0.683,0.533,0.486,0.993364988309937
1707823629.96109,ACC,-0.684,0.535,0.489,0.996595203681013
1707823630.00063,ACC,-0.682,0.544,0.489,1.00009049590525
1707823630.04017,ACC,-0.683,0.538,0.485,0.995569183934497
1707823630.0797,ACC,-0.685,0.539,0.484,0.996996489462225
1707823630.11993,ACC,-0.681,0.54,0.488,0.996747209677559
1707823630.16015,ACC,-0.681,0.539,0.488,0.996205802030886
1707823630.20003,ACC,-0.682,0.538,0.488,0.996349336327375
1707823630.23991,ACC,-0.682,0.539,0.484,0.994937686490968
1707823630.27979,ACC,-0.682,0.539,0.487,0.996400521878627
1707823630.31967,ACC,-0.684,0.534,0.487,0.995078388871952
1707823630.35955,ACC,-0.668,0.557,0.497,1.00173948709233
1707823630.39943,ACC,-0.671,0.552,0.492,0.998503380064384
1707823630.43914,ACC,-0.687,0.528,0.485,0.99296424910467
1707823630.47885,ACC,-0.676,0.549,0.49,0.999238209837874
1707823630.51838,ACC,-0.666,0.552,0.487,0.992687765614143
1707823630.55792,ACC,-0.685,0.537,0.489,0.998356148876742
1707823630.59745,ACC,-0.676,0.543,0.487,0.994481774594185
1707823630.63716,ACC,-0.675,0.547,0.489,0.996972918388458
1707823630.67687,ACC,-0.675,0.545,0.488,0.995386357149826
1707823630.71675,ACC,-0.679,0.538,0.486,0.993318176618147
1707823630.75663,ACC,-0.677,0.543,0.49,0.996633332775901
1707823630.79651,ACC,-0.674,0.55,0.489,0.997946391345748
1707823630.83639,ACC,-0.683,0.539,0.49,0.998553954476172
1707823630.87627,ACC,-0.675,0.545,0.488,0.995386357149826
1707823630.91615,ACC,-0.674,0.546,0.488,0.995256750793483
1707823630.95603,ACC,-0.679,0.546,0.49,0.999628430968227
1707823630.99591,ACC,-0.68,0.542,0.488,0.997149938574937
1707823631.03579,ACC,-0.678,0.548,0.49,1.00004399903204
1707823631.0755,ACC,-0.675,0.545,0.488,0.995386357149826
1707823631.11521,ACC,-0.678,0.541,0.488,0.995243186362007
1707823631.15474,ACC,-0.68,0.542,0.488,0.997149938574937
1707823631.19428,ACC,-0.673,0.549,0.486,0.995251726951529
1707823631.23381,ACC,-0.679,0.546,0.488,0.998649588193977
1707823631.27352,ACC,-0.684,0.539,0.487,0.997770514697643
1707823631.31323,ACC,-0.68,0.544,0.489,0.998727690614414
1707823631.35311,ACC,-0.677,0.545,0.488,0.996743698249455
1707823631.39299,ACC,-0.685,0.541,0.487,0.999537392997381
1707823631.43287,ACC,-0.678,0.542,0.489,0.996277571764014
1707823631.47275,ACC,-0.677,0.544,0.487,0.995707788460048
1707823631.51263,ACC,-0.678,0.542,0.486,0.994808524289976
1707823631.55251,ACC,-0.684,0.542,0.491,1.00134958930435
1707823631.59273,ACC,-0.687,0.535,0.483,0.995732393768527
1707823631.63296,ACC,-0.684,0.539,0.487,0.997770514697643
1707823631.67249,ACC,-0.679,0.543,0.489,0.99750238094954
1707823631.71203,ACC,-0.686,0.539,0.485,0.998169324313265
1707823631.75157,ACC,-0.683,0.541,0.485,0.997193561952744
1707823631.79076,ACC,-0.679,0.542,0.485,0.995002512559642
1707823631.82995,ACC,-0.681,0.54,0.489,0.997237183422279
1707823631.86983,ACC,-0.673,0.544,0.484,0.991524583658923
1707823631.90971,ACC,-0.697,0.527,0.49,1.00181734862199
1707823631.94959,ACC,-0.704,0.518,0.485,0.99958241281047
1707823631.98947,ACC,-0.667,0.55,0.487,0.992248960694845
1707823632.02935,ACC,-0.678,0.547,0.493,1.00097052903669
1707823632.06923,ACC,-0.691,0.529,0.485,0.996266530603131
1707823632.10499,ACC,-0.683,0.536,0.487,0.995466724707562
1707823632.14074,ACC,-0.675,0.549,0.492,0.999544896440375
1707823632.17649,ACC,-0.687,0.536,0.489,0.999192674112456
1707823632.2162,ACC,-0.696,0.519,0.477,0.990608903654717
1707823632.25591,ACC,-0.681,0.542,0.491,0.999302756926048
1707823632.29579,ACC,-0.678,0.547,0.492,1.00047838557362
1707823632.33567,ACC,-0.689,0.529,0.482,0.993421360752828
1707823632.37555,ACC,-0.688,0.534,0.489,0.998809791702104
1707823632.41526,ACC,-0.68,0.539,0.49,0.996504390356611
1707823632.45497,ACC,-0.681,0.539,0.488,0.996205802030886
1707823632.49485,ACC,-0.687,0.534,0.487,0.997142918542773
1707823632.53473,ACC,-0.685,0.532,0.486,0.994205713119775
1707823632.57461,ACC,-0.681,0.542,0.487,0.997343471427973
1707823632.61517,ACC,-0.688,0.536,0.488,0.999391815055537
1707823632.65574,ACC,-0.684,0.535,0.489,0.996595203681013
1707823632.69631,ACC,-0.682,0.539,0.491,0.998361657917611
1707823632.73653,ACC,-0.682,0.535,0.484,0.992776409872837
1707823632.77676,ACC,-0.686,0.541,0.492,1.00266694370564
1707823632.81664,ACC,-0.687,0.535,0.488,0.998167320643187
1707823632.85652,ACC,-0.685,0.537,0.488,0.997866724567966
1707823632.8964,ACC,-0.677,0.541,0.487,0.994071928987033
1707823632.93662,ACC,-0.689,0.534,0.487,0.99852190762146
1707823632.97684,ACC,-0.685,0.535,0.487,0.996302664856418
1707823633.01604,ACC,-0.683,0.541,0.487,0.998167821561084
1707823633.05523,ACC,-0.681,0.541,0.49,0.998269502689529
1707823633.09442,ACC,-0.691,0.532,0.483,0.996892170698516
1707823633.1343,ACC,-0.68,0.539,0.49,0.996504390356611
1707823633.17418,ACC,-0.684,0.537,0.485,0.995715822913345
1707823633.21406,ACC,-0.681,0.538,0.488,0.995665104339808
1707823633.25428,ACC,-0.688,0.535,0.486,0.997880253337043
1707823633.29451,ACC,-0.682,0.536,0.483,0.992828786850986
1707823633.33473,ACC,-0.683,0.542,0.492,1.00115782971518
1707823633.37496,ACC,-0.685,0.536,0.485,0.995864448607339
1707823633.41518,ACC,-0.685,0.538,0.487,0.997916830201796
