LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1707823628.734784,32348.000,2404,9,AY,1,100,0.541
1707823628.734784,32348.000,2404,9,AY,1,100,0.536
1707823628.734784,32348.000,2404,9,AY,1,100,0.538
1707823628.734784,32348.000,2404,9,AY,1,100,0.540
1707823628.734784,32348.000,2404,9,AY,1,100,0.538
1707823628.734784,32348.000,2404,9,AY,1,100,0.534
1707823628.734784,32348.000,2404,9,AY,1,100,0.539
1707823628.734784,32348.000,2404,9,AY,1,100,0.541
1707823628.734784,32348.000,2404,9,AY,1,100,0.536
1707823628.775523,32387.500,2419,2,AY,1,100,0.533
1707823628.816263,32427.000,2419,2,AY,1,100,0.539
1707823628.856143,32465.667,2435,3,AY,1,100,0.540
1707823628.896023,32504.333,2435,3,AY,1,100,0.539
1707823628.935903,32543.000,2435,3,AY,1,100,0.535
1707823628.975783,32581.667,2453,3,AY,1,100,0.541
1707823629.015663,32620.333,2453,3,AY,1,100,0.540
1707823629.055543,32659.000,2453,3,AY,1,100,0.537
1707823629.095251,32697.500,2469,2,AY,1,100,0.534
1707823629.134959,32736.000,2469,2,AY,1,100,0.542
1707823629.174839,32774.667,2485,3,AY,1,100,0.539
1707823629.214719,32813.333,2485,3,AY,1,100,0.538
1707823629.254599,32852.000,2485,3,AY,1,100,0.535
1707823629.295166,32891.333,2503,3,AY,1,100,0.540
1707823629.335734,32930.667,2503,3,AY,1,100,0.538
1707823629.376301,32970.000,2503,3,AY,1,100,0.534
1707823629.416525,33009.000,2520,2,AY,1,100,0.540
1707823629.456749,33048.000,2520,2,AY,1,100,0.541
1707823629.496766,33086.800,2536,5,AY,1,100,0.541
1707823629.536784,33125.600,2536,5,AY,1,100,0.538
1707823629.576801,33164.400,2536,5,AY,1,100,0.540
1707823629.616819,33203.200,2536,5,AY,1,100,0.538
1707823629.656836,33242.000,2536,5,AY,1,100,0.542
1707823629.695513,33279.500,2553,2,AY,1,100,0.534
1707823629.734190,33317.000,2553,2,AY,1,100,0.540
1707823629.769944,33351.667,2569,3,AY,1,100,0.544
1707823629.805698,33386.333,2569,3,AY,1,100,0.534
1707823629.841453,33421.000,2569,3,AY,1,100,0.541
1707823629.881333,33459.667,2586,3,AY,1,100,0.541
1707823629.921213,33498.333,2586,3,AY,1,100,0.533
1707823629.961093,33537.000,2586,3,AY,1,100,0.535
1707823630.000629,33575.333,2603,3,AY,1,100,0.544
1707823630.040165,33613.667,2603,3,AY,1,100,0.538
1707823630.079701,33652.000,2603,3,AY,1,100,0.539
1707823630.119925,33691.000,2618,2,AY,1,100,0.540
1707823630.160149,33730.000,2618,2,AY,1,100,0.539
1707823630.200029,33768.667,2636,3,AY,1,100,0.538
1707823630.239909,33807.333,2636,3,AY,1,100,0.539
1707823630.279789,33846.000,2636,3,AY,1,100,0.539
1707823630.319669,33884.667,2654,3,AY,1,100,0.534
1707823630.359549,33923.333,2654,3,AY,1,100,0.557
1707823630.399429,33962.000,2654,3,AY,1,100,0.552
1707823630.439137,34000.500,2670,2,AY,1,100,0.528
1707823630.478845,34039.000,2670,2,AY,1,100,0.549
1707823630.518381,34077.333,2692,3,AY,1,100,0.552
1707823630.557917,34115.667,2692,3,AY,1,100,0.537
1707823630.597453,34154.000,2692,3,AY,1,100,0.543
1707823630.637161,34192.500,2707,2,AY,1,100,0.547
