LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1707823628.582140,32200,2393,1,BI,1,100,840
1707823629.348454,32943,2493,1,BI,1,100,760
1707823630.197278,33766,2626,1,BI,1,100,840
1707823631.073950,34616,2766,1,BI,1,100,880
1707823631.949590,35465,2898,1,BI,1,100,880
1707823632.828325,36317,3048,1,BI,1,100,880
1707823633.664773,37128,3182,1,BI,1,100,840
1707823634.545570,37982,3317,1,BI,1,100,880
1707823635.421210,38831,3466,1,BI,1,100,880
1707823636.349451,39731,3603,1,BI,1,100,920
1707823637.226123,40581,3735,1,BI,1,100,880
1707823638.108983,41437,3868,1,BI,1,100,880
1707823638.984623,42286,4018,1,BI,1,100,880
1707823639.707619,42987,4137,1,BI,1,100,720
1707823640.586354,43839,4269,1,BI,1,100,880
1707823641.393923,44622,4411,1,BI,1,100,800
1707823642.228308,45431,4543,1,BI,1,100,840
1707823643.114262,46290,4661,1,BI,1,100,880
1707823643.950710,47101,4797,1,BI,1,100,840
1707823644.873794,47996,4932,1,BI,1,100,920
1707823645.715399,48812,5033,1,BI,1,100,840
1707823646.604447,49674,5174,1,BI,1,100,880
1707823647.441926,50486,5259,1,BI,1,100,840
1707823648.324786,51342,5361,1,BI,1,100,880
1707823649.243745,52233,5513,1,BI,1,100,920
1707823650.244182,53203,5681,1,BI,1,100,1000
1707823650.963052,53900,5796,1,BI,1,100,720
1707823651.897481,54806,5936,1,BI,1,100,920
1707823652.814377,55695,6086,1,BI,1,100,920
1707823653.773559,56625,6237,1,BI,1,100,960
1707823654.693548,57517,6387,1,BI,1,100,920
1707823655.653762,58448,6535,1,BI,1,100,960
1707823656.583034,59349,6685,1,BI,1,100,920
1707823657.465894,60205,6825,1,BI,1,100,880
1707823658.339471,61052,6974,1,BI,1,100,880
1707823659.223363,61909,7108,1,BI,1,100,880
1707823660.097971,62757,7258,1,BI,1,100,880
1707823660.934419,63568,7390,1,BI,1,100,840
1707823661.786338,64394,7524,1,BI,1,100,840
1707823662.672292,65253,7645,1,BI,1,100,880
1707823663.590219,66143,7795,1,BI,1,100,920
1707823664.512271,67037,7946,1,BI,1,100,920
1707823665.429167,67926,8096,1,BI,1,100,920
1707823666.355345,68824,8245,1,BI,1,100,920
1707823667.237173,69679,8377,1,BI,1,100,880
1707823668.119002,70534,8518,1,BI,1,100,880
1707823668.958544,71348,8652,1,BI,1,100,840
1707823669.838310,72201,8802,1,BI,1,100,880
1707823670.711887,73048,8935,1,BI,1,100,880
1707823671.596810,73906,9083,1,BI,1,100,880
1707823672.482764,74765,9217,1,BI,1,100,880
1707823673.359436,75615,9355,1,BI,1,100,880
1707823674.202072,76432,9490,1,BI,1,100,840
1707823675.116905,77319,9640,1,BI,1,100,920
1707823675.992545,78168,9774,1,BI,1,100,880
1707823676.882625,79031,9923,1,BI,1,100,880
1707823677.763422,79885,10056,1,BI,1,100,880
1707823678.642156,80737,10182,1,BI,1,100,880
1707823679.560083,81627,10317,1,BI,1,100,920
1707823680.472853,82512,10451,1,BI,1,100,920
1707823681.397999,83409,10602,1,BI,1,100,920
1707823682.280859,84265,10737,1,BI,1,100,880
1707823683.197755,85154,10839,1,BI,1,100,920
1707823684.078552,86008,10965,1,BI,1,100,880
1707823684.996479,86898,11100,1,BI,1,100,920
1707823685.870056,87745,11248,1,BI,1,100,880
1707823686.798297,88645,11398,1,BI,1,100,920
1707823687.677031,89497,11531,1,BI,1,100,880
1707823688.599084,90391,11681,1,BI,1,100,920
1707823689.473693,91239,11819,1,BI,1,100,880
1707823690.307047,92047,11952,1,BI,1,100,840
